Design,Genus Runtime,Innovus Runtime
fft_8,0:29:34,0:03:51
fft_16,0:49:57,0:27:59
fft_32,0:55:20,1:06:24
fft_64,2:48:47,4:56:52
,,
,,
sys_4,0:26:59,0:07:21
sys_8,1:49:38,0:52:33
sys_16,2:53:54,4:06:14
sys_32,9:26:29,18:09:00
sys_64,,
,,
,,
tnn_96x2,0:04:05,0:55:13
tnn_152x2,0:06:20,0:59:14
tnn_343x2,0:15:16,3:24:27
,,
,,
TNN MACROS,,
flogic,0:00:16,0:03:18
incdec,0:00:17,0:02:57
register,0:00:30,0:03:01
adder,0:00:31,0:03:14
and_gate_5,0:00:30,0:03:07
less_equal,0:00:33,0:03:04
pulse2edge,0:00:17,0:02:52
edge2pulse,0:00:37,0:02:40
stdp_case_gen,0:00:31,0:03:07
fsm_simple,0:00:34,0:02:42
fsm_output,0:00:16,0:02:52
fsm_weight update,0:00:30,0:03:08
