config_id,arch_config,arch_path,workload_name,work_config,work_path,event_path,metric_path,run_path,checkpoint_path
0,0,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_0.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_0/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_0/config_0/checkpoint.json
1,0,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_0.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_0/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_0/config_1/checkpoint.json
2,1,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_1.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_1/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_1/config_0/checkpoint.json
3,1,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_1.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_1/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_1/config_1/checkpoint.json
4,2,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_2.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_2/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_2/config_0/checkpoint.json
5,2,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_2.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_2/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_2/config_1/checkpoint.json
6,3,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_3.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_3/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_3/config_0/checkpoint.json
7,3,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_3.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_3/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_3/config_1/checkpoint.json
8,4,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_4.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_4/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_4/config_0/checkpoint.json
9,4,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_4.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_4/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_4/config_1/checkpoint.json
