model,array_dim,batch_size,cycle_count
llama_3_70b,128x128,32,12727368354560.0
llama_3_70b,128x128,64,16695900228352.0
llama_3_70b,128x128,128,24632963975936.0
llama_3_70b,128x128,256,40507091471104.0
llama_3_70b,128x128,512,72255346461440.0
llama_3_70b,256x256,32,7541248160448.0
llama_3_70b,256x256,64,10685836276416.0
llama_3_70b,256x256,128,16975012508352.0
llama_3_70b,256x256,256,29553364972224.0
llama_3_70b,256x256,512,54710069899968.0
llama_3_70b,32x32,32,64072149938176.0
llama_3_70b,32x32,64,93936560549888.0
llama_3_70b,32x32,128,153665381773312.0
llama_3_70b,32x32,256,273123024220160.0
llama_3_70b,32x32,512,512038309113856.0
llama_3_70b,512x512,32,5207264018592.0
llama_3_70b,512x512,64,8211821101216.001
llama_3_70b,512x512,128,14220935266464.002
llama_3_70b,512x512,256,26239163596960.004
llama_3_70b,512x512,512,50275620257952.01
llama_3_70b,64x64,32,27627417086976.0
llama_3_70b,64x64,64,37875095645184.0
llama_3_70b,64x64,128,58370452761600.0
llama_3_70b,64x64,256,99361166994432.0
llama_3_70b,64x64,512,181342595460096.0
llama_3_8b,128x128,32,2190989944192.0
llama_3_8b,128x128,64,3436217951616.0
llama_3_8b,128x128,128,5926673966464.0
llama_3_8b,128x128,256,10907585996160.0
llama_3_8b,128x128,512,20869410055552.0
llama_3_8b,256x256,32,1642535471456.0
llama_3_8b,256x256,64,2810328238432.0
llama_3_8b,256x256,128,5145913772384.0
llama_3_8b,256x256,256,9817084840288.0
llama_3_8b,256x256,512,19159426976096.0
llama_3_8b,32x32,32,10167705622528.0
llama_3_8b,32x32,64,16641726830592.0
llama_3_8b,32x32,128,29589769246720.0
llama_3_8b,32x32,256,55485854078976.0
llama_3_8b,32x32,512,107278023743488.0
llama_3_8b,512x512,32,1414833630288.0002
llama_3_8b,512x512,64,2591797242960.0005
llama_3_8b,512x512,128,4945724468304.001
llama_3_8b,512x512,256,9653578918992.002
llama_3_8b,512x512,512,19069287820368.004
llama_3_8b,64x64,32,4607499310592.0
llama_3_8b,64x64,64,7338368636416.0
llama_3_8b,64x64,128,12800107288064.0
llama_3_8b,64x64,256,23723584591360.0
llama_3_8b,64x64,512,45570539197952.0
