technology_nm,array_dim,chiplet_size,workload,batch_size,flops,execution_time_s,energy_j,power_w,cycle_count,throughput
7,256x512,16x16,llama_3_70b,32,9466402.19275264,18096.14430208,5.739942434364154,8.199681024e-05,1809614430207.9995,523.1170814472648
7,512x512,16x16,llama_3_70b,32,18932804.38550528,18096.14430208,10.659368014636632,0.00016089428991999998,1809614430207.9995,1046.2341628945296
7,256x256,16x16,llama_3_70b,32,18932804.38550528,29939.819151359996,10.578141705640132,4.099840512e-05,2993981915135.9995,632.3620156084099
7,128x512,16x16,llama_3_70b,32,4733201.09637632,18096.14430208,3.280229644227915,4.25480704e-05,1809614430207.9995,261.5585407236324
7,128x256,16x16,llama_3_70b,32,9466402.19275264,29939.819151359996,5.658716125367653,2.12740352e-05,2993981915135.9995,316.18100780420497
7,128x128,16x16,llama_3_70b,32,18932804.38550528,53692.740239360006,10.811881704598035,1.06370176e-05,5369274023935.999,352.61385992042176
7,64x512,16x16,llama_3_70b,32,2366600.54818816,18096.14430208,2.0503732491597955,2.282370048e-05,1809614430207.9995,130.7792703618162
7,64x256,16x16,llama_3_70b,32,4733201.09637632,29939.819151359996,3.1990033352314136,1.141185024e-05,2993981915135.9995,158.09050390210248
7,64x128,16x16,llama_3_70b,32,9466402.19275264,53692.740239360006,5.892456124325556,5.70592512e-06,5369274023935.999,176.30692996021088
7,32x32,16x16,llama_3_70b,32,18932804.38550528,205506.43220480002,12.899048486926254,8.1009472e-07,20550643220480.0,92.12755134903786
7,64x64,16x16,llama_3_70b,32,18932804.38550528,102057.39941888,11.475686066687642,2.85296256e-06,10205739941888.0,185.51133473231366
7,64x64,32x32,llama_3_70b,32,18932804.38550528,102057.39941888001,13.042804795989097,3.22793088e-06,10205739941888.0,185.51133473231363
7,32x32,32x32,llama_3_70b,32,18932804.38550528,205506.43220480002,15.819813459625097,9.9757888e-07,20550643220480.0,92.12755134903786
7,64x64,64x64,llama_3_70b,32,18932804.38550528,102057.39941888001,16.177042254592013,3.97786752e-06,10205739941888.0,185.51133473231363
7,64x128,64x64,llama_3_70b,32,9466402.19275264,53692.740239360006,8.70697349122295,7.95573504e-06,5369274023935.999,176.30692996021088
7,64x128,32x32,llama_3_70b,32,9466402.19275264,53692.740239360006,6.83062857995802,6.45586176e-06,5369274023935.999,176.30692996021088
7,64x256,32x32,llama_3_70b,32,4733201.09637632,29939.819151359996,3.920864836116281,1.291172352e-05,2993981915135.9995,158.09050390210248
7,64x256,64x64,llama_3_70b,32,4733201.09637632,29939.819151359996,5.364587837886017,1.591147008e-05,2993981915135.9995,158.09050390210248
7,64x512,64x64,llama_3_70b,32,2366600.54818816,18096.14430208,4.485780245119362,3.182294016e-05,1809614430207.9995,130.7792703618162
7,64x512,32x32,llama_3_70b,32,2366600.54818816,18096.14430208,2.8621755811463174,2.582344704e-05,1809614430207.9995,130.7792703618162
7,128x128,32x32,llama_3_70b,32,18932804.38550528,53692.740239360006,11.7500541602305,1.138695424e-05,5369274023936.0,352.61385992042176
7,128x128,64x64,llama_3_70b,32,18932804.38550528,53692.74023936,13.626399071495428,1.288682752e-05,5369274023935.999,352.6138599204218
7,128x256,64x64,llama_3_70b,32,9466402.19275264,29939.819151359996,7.824300628022256,2.577365504e-05,2993981915135.9995,316.18100780420497
7,128x256,32x32,llama_3_70b,32,9466402.19275264,29939.819151359996,6.380577626252521,2.277390848e-05,2993981915135.9995,316.18100780420497
7,128x512,32x32,llama_3_70b,32,4733201.09637632,18096.14430208,4.092031976214438,4.554781696e-05,1809614430207.9995,261.5585407236324
7,128x512,64x64,llama_3_70b,32,4733201.09637632,18096.14430208,5.715636640187482,5.154731008e-05,1809614430207.9995,261.5585407236324
7,256x256,64x64,llama_3_70b,32,18932804.38550528,29939.819151359996,12.743726208294733,4.549802495999999e-05,2993981915135.9995,632.3620156084099
7,256x256,32x32,llama_3_70b,32,18932804.38550528,29939.819151359996,11.300003206524998,4.24982784e-05,2993981915135.9995,632.3620156084099
7,256x512,32x32,llama_3_70b,32,9466402.19275264,18096.14430208,6.5517447663506765,8.49965568e-05,1809614430207.9995,523.1170814472648
7,512x512,32x32,llama_3_70b,32,18932804.38550528,18096.14430208,11.471170346623154,0.00016389403648,1809614430207.9995,1046.2341628945296
7,512x512,64x64,llama_3_70b,32,18932804.38550528,18096.14430208,13.094775010596202,0.0001698935296,1809614430207.9995,1046.2341628945296
7,256x512,64x64,llama_3_70b,32,9466402.19275264,18096.14430208,8.17534943032372,9.099604991999999e-05,1809614430207.9995,523.1170814472648
7,256x512,64x64,llama_3_70b,64,18932804.38550528,36567.45017344004,14.6357649237585,9.099604991999999e-05,3656745017344.003,517.7501930188369
7,512x512,64x64,llama_3_70b,64,37865608.77101056,36567.45017344004,24.47461608430346,0.0001698935296,3656745017344.003,1035.5003860376737
7,512x512,32x32,llama_3_70b,64,37865608.77101056,36567.45017344004,22.084873724801838,0.00016389403648,3656745017344.003,1035.5003860376737
7,256x512,32x32,llama_3_70b,64,18932804.38550528,36567.45017344004,12.246022564256881,8.49965568e-05,3656745017344.003,517.7501930188369
7,256x256,32x32,llama_3_70b,64,37865608.77101056,49198.97980928004,22.37267253358618,4.24982784e-05,4919897980928.003,769.6421535120583
7,256x256,64x64,llama_3_70b,64,37865608.77101056,49198.97980928004,25.03278465766183,4.549802495999999e-05,4919897980928.003,769.6421535120583
7,128x512,64x64,llama_3_70b,64,9466402.19275264,36567.45017344004,9.716339343486023,5.154731008e-05,3656745017344.003,258.8750965094184
7,128x512,32x32,llama_3_70b,64,9466402.19275264,36567.45017344004,7.3265969839844045,4.554781696e-05,3656745017344.003,258.8750965094184
7,128x256,32x32,llama_3_70b,64,18932804.38550528,49198.979809280034,12.533821373041222,2.277390848e-05,4919897980928.003,384.8210767560292
7,128x256,64x64,llama_3_70b,64,18932804.38550528,49198.979809280034,15.193933497116873,2.577365504e-05,4919897980928.003,384.8210767560292
7,128x128,64x64,llama_3_70b,64,37865608.77101056,74800.40669184002,27.026026869919264,1.288682752e-05,7480040669184.002,506.22196383246836
7,128x128,32x32,llama_3_70b,64,37865608.77101056,74800.40669184002,23.3867226839252,1.138695424e-05,7480040669184.002,506.22196383246836
7,64x512,32x32,llama_3_70b,64,4733201.09637632,36567.45017344004,4.866884193848165,2.582344704e-05,3656745017344.003,129.4375482547092
7,64x512,64x64,llama_3_70b,64,4733201.09637632,36567.45017344004,7.256626553349784,3.182294016e-05,3656745017344.003,129.4375482547092
7,64x256,64x64,llama_3_70b,64,9466402.19275264,49198.979809280034,10.274507916844392,1.591147008e-05,4919897980928.003,192.4105383780146
7,64x256,32x32,llama_3_70b,64,9466402.19275264,49198.97980928004,7.614395792768742,1.291172352e-05,4919897980928.003,192.41053837801456
7,64x128,32x32,llama_3_70b,64,18932804.38550528,74800.40669184002,13.547871523380243,6.45586176e-06,7480040669184.002,253.11098191623418
7,64x128,64x64,llama_3_70b,64,18932804.38550528,74800.40669184002,17.187175709374305,7.95573504e-06,7480040669184.002,253.11098191623418
7,64x64,64x64,llama_3_70b,64,37865608.77101056,126574.7689472,32.259909536749454,3.97786752e-06,12657476894720.0,299.1560568189226
7,64x64,32x32,llama_3_70b,64,37865608.77101056,126574.76894720002,26.03852210576091,3.22793088e-06,12657476894720.0,299.15605681892254
7,32x32,32x32,llama_3_70b,64,37865608.77101056,411012.86440960004,31.70700746303583,9.9757888e-07,41101286440960.0,92.12755134903786
7,32x32,16x16,llama_3_70b,64,37865608.77101056,411012.86440960004,25.83178724574533,8.1009472e-07,41101286440960.0,92.12755134903786
7,64x64,16x16,llama_3_70b,64,37865608.77101056,126574.7689472,22.927828390266637,2.85296256e-06,12657476894720.0,299.1560568189226
7,64x128,16x16,llama_3_70b,64,18932804.38550528,74800.40669184002,11.728219430383213,5.70592512e-06,7480040669184.002,253.11098191623418
7,64x256,16x16,llama_3_70b,64,9466402.19275264,49198.97980928004,6.284339730730917,1.141185024e-05,4919897980928.003,192.41053837801456
7,64x512,16x16,llama_3_70b,64,4733201.09637632,36567.45017344004,3.6720130140973555,2.282370048e-05,3656745017344.003,129.4375482547092
