technology_nm,array_dim,chiplet_size,workload,batch_size,flops,execution_time_s,energy_j,power_w,cycle_count,throughput
7,256x512,16x16,llama_3_70b,32,9.466e+06,1.810e+04,5.740e+00,8.200e-05,1.810e+12,5.231e+02
7,512x512,16x16,llama_3_70b,32,1.893e+07,1.810e+04,1.066e+01,1.609e-04,1.810e+12,1.046e+03
7,256x256,16x16,llama_3_70b,32,1.893e+07,2.994e+04,1.058e+01,4.100e-05,2.994e+12,6.324e+02
7,128x512,16x16,llama_3_70b,32,4.733e+06,1.810e+04,3.280e+00,4.255e-05,1.810e+12,2.616e+02
7,128x256,16x16,llama_3_70b,32,9.466e+06,2.994e+04,5.659e+00,2.127e-05,2.994e+12,3.162e+02
7,128x128,16x16,llama_3_70b,32,1.893e+07,5.369e+04,1.081e+01,1.064e-05,5.369e+12,3.526e+02
7,64x512,16x16,llama_3_70b,32,2.367e+06,1.810e+04,2.050e+00,2.282e-05,1.810e+12,1.308e+02
7,64x256,16x16,llama_3_70b,32,4.733e+06,2.994e+04,3.199e+00,1.141e-05,2.994e+12,1.581e+02
7,64x128,16x16,llama_3_70b,32,9.466e+06,5.369e+04,5.892e+00,5.706e-06,5.369e+12,1.763e+02
7,32x32,16x16,llama_3_70b,32,1.893e+07,2.055e+05,1.290e+01,8.101e-07,2.055e+13,9.213e+01
7,64x64,16x16,llama_3_70b,32,1.893e+07,1.021e+05,1.148e+01,2.853e-06,1.021e+13,1.855e+02
7,64x64,32x32,llama_3_70b,32,1.893e+07,1.021e+05,1.304e+01,3.228e-06,1.021e+13,1.855e+02
7,32x32,32x32,llama_3_70b,32,1.893e+07,2.055e+05,1.582e+01,9.976e-07,2.055e+13,9.213e+01
7,64x64,64x64,llama_3_70b,32,1.893e+07,1.021e+05,1.618e+01,3.978e-06,1.021e+13,1.855e+02
7,64x128,64x64,llama_3_70b,32,9.466e+06,5.369e+04,8.707e+00,7.956e-06,5.369e+12,1.763e+02
7,64x128,32x32,llama_3_70b,32,9.466e+06,5.369e+04,6.831e+00,6.456e-06,5.369e+12,1.763e+02
7,64x256,32x32,llama_3_70b,32,4.733e+06,2.994e+04,3.921e+00,1.291e-05,2.994e+12,1.581e+02
7,64x256,64x64,llama_3_70b,32,4.733e+06,2.994e+04,5.365e+00,1.591e-05,2.994e+12,1.581e+02
7,64x512,64x64,llama_3_70b,32,2.367e+06,1.810e+04,4.486e+00,3.182e-05,1.810e+12,1.308e+02
7,64x512,32x32,llama_3_70b,32,2.367e+06,1.810e+04,2.862e+00,2.582e-05,1.810e+12,1.308e+02
7,128x128,32x32,llama_3_70b,32,1.893e+07,5.369e+04,1.175e+01,1.139e-05,5.369e+12,3.526e+02
7,128x128,64x64,llama_3_70b,32,1.893e+07,5.369e+04,1.363e+01,1.289e-05,5.369e+12,3.526e+02
7,128x256,64x64,llama_3_70b,32,9.466e+06,2.994e+04,7.824e+00,2.577e-05,2.994e+12,3.162e+02
7,128x256,32x32,llama_3_70b,32,9.466e+06,2.994e+04,6.381e+00,2.277e-05,2.994e+12,3.162e+02
7,128x512,32x32,llama_3_70b,32,4.733e+06,1.810e+04,4.092e+00,4.555e-05,1.810e+12,2.616e+02
7,128x512,64x64,llama_3_70b,32,4.733e+06,1.810e+04,5.716e+00,5.155e-05,1.810e+12,2.616e+02
7,256x256,64x64,llama_3_70b,32,1.893e+07,2.994e+04,1.274e+01,4.550e-05,2.994e+12,6.324e+02
7,256x256,32x32,llama_3_70b,32,1.893e+07,2.994e+04,1.130e+01,4.250e-05,2.994e+12,6.324e+02
7,256x512,32x32,llama_3_70b,32,9.466e+06,1.810e+04,6.552e+00,8.500e-05,1.810e+12,5.231e+02
7,512x512,32x32,llama_3_70b,32,1.893e+07,1.810e+04,1.147e+01,1.639e-04,1.810e+12,1.046e+03
7,512x512,64x64,llama_3_70b,32,1.893e+07,1.810e+04,1.309e+01,1.699e-04,1.810e+12,1.046e+03
7,256x512,64x64,llama_3_70b,32,9.466e+06,1.810e+04,8.175e+00,9.100e-05,1.810e+12,5.231e+02
7,256x512,64x64,llama_3_70b,64,1.893e+07,3.657e+04,1.464e+01,9.100e-05,3.657e+12,5.178e+02
7,512x512,64x64,llama_3_70b,64,3.787e+07,3.657e+04,2.447e+01,1.699e-04,3.657e+12,1.036e+03
7,512x512,32x32,llama_3_70b,64,3.787e+07,3.657e+04,2.208e+01,1.639e-04,3.657e+12,1.036e+03
7,256x512,32x32,llama_3_70b,64,1.893e+07,3.657e+04,1.225e+01,8.500e-05,3.657e+12,5.178e+02
7,256x256,32x32,llama_3_70b,64,3.787e+07,4.920e+04,2.237e+01,4.250e-05,4.920e+12,7.696e+02
7,256x256,64x64,llama_3_70b,64,3.787e+07,4.920e+04,2.503e+01,4.550e-05,4.920e+12,7.696e+02
7,128x512,64x64,llama_3_70b,64,9.466e+06,3.657e+04,9.716e+00,5.155e-05,3.657e+12,2.589e+02
7,128x512,32x32,llama_3_70b,64,9.466e+06,3.657e+04,7.327e+00,4.555e-05,3.657e+12,2.589e+02
7,128x256,32x32,llama_3_70b,64,1.893e+07,4.920e+04,1.253e+01,2.277e-05,4.920e+12,3.848e+02
7,128x256,64x64,llama_3_70b,64,1.893e+07,4.920e+04,1.519e+01,2.577e-05,4.920e+12,3.848e+02
7,128x128,64x64,llama_3_70b,64,3.787e+07,7.480e+04,2.703e+01,1.289e-05,7.480e+12,5.062e+02
7,128x128,32x32,llama_3_70b,64,3.787e+07,7.480e+04,2.339e+01,1.139e-05,7.480e+12,5.062e+02
7,64x512,32x32,llama_3_70b,64,4.733e+06,3.657e+04,4.867e+00,2.582e-05,3.657e+12,1.294e+02
7,64x512,64x64,llama_3_70b,64,4.733e+06,3.657e+04,7.257e+00,3.182e-05,3.657e+12,1.294e+02
7,64x256,64x64,llama_3_70b,64,9.466e+06,4.920e+04,1.027e+01,1.591e-05,4.920e+12,1.924e+02
7,64x256,32x32,llama_3_70b,64,9.466e+06,4.920e+04,7.614e+00,1.291e-05,4.920e+12,1.924e+02
7,64x128,32x32,llama_3_70b,64,1.893e+07,7.480e+04,1.355e+01,6.456e-06,7.480e+12,2.531e+02
7,64x128,64x64,llama_3_70b,64,1.893e+07,7.480e+04,1.719e+01,7.956e-06,7.480e+12,2.531e+02
7,64x64,64x64,llama_3_70b,64,3.787e+07,1.266e+05,3.226e+01,3.978e-06,1.266e+13,2.992e+02
7,64x64,32x32,llama_3_70b,64,3.787e+07,1.266e+05,2.604e+01,3.228e-06,1.266e+13,2.992e+02
7,32x32,32x32,llama_3_70b,64,3.787e+07,4.110e+05,3.171e+01,9.976e-07,4.110e+13,9.213e+01
7,32x32,16x16,llama_3_70b,64,3.787e+07,4.110e+05,2.583e+01,8.101e-07,4.110e+13,9.213e+01
7,64x64,16x16,llama_3_70b,64,3.787e+07,1.266e+05,2.293e+01,2.853e-06,1.266e+13,2.992e+02
7,64x128,16x16,llama_3_70b,64,1.893e+07,7.480e+04,1.173e+01,5.706e-06,7.480e+12,2.531e+02
7,64x256,16x16,llama_3_70b,64,9.466e+06,4.920e+04,6.284e+00,1.141e-05,4.920e+12,1.924e+02
7,64x512,16x16,llama_3_70b,64,4.733e+06,3.657e+04,3.672e+00,2.282e-05,3.657e+12,1.294e+02
7,128x128,16x16,llama_3_70b,64,3.787e+07,7.480e+04,2.157e+01,1.064e-05,7.480e+12,5.062e+02
7,128x256,16x16,llama_3_70b,64,1.893e+07,4.920e+04,1.120e+01,2.127e-05,4.920e+12,3.848e+02
7,128x512,16x16,llama_3_70b,64,9.466e+06,3.657e+04,6.132e+00,4.255e-05,3.657e+12,2.589e+02
7,256x256,16x16,llama_3_70b,64,3.787e+07,4.920e+04,2.104e+01,4.100e-05,4.920e+12,7.696e+02
7,256x512,16x16,llama_3_70b,64,1.893e+07,3.657e+04,1.105e+01,8.200e-05,3.657e+12,5.178e+02
7,512x512,16x16,llama_3_70b,64,3.787e+07,3.657e+04,2.089e+01,1.609e-04,3.657e+12,1.036e+03
7,512x512,16x16,llama_3_70b,128,7.573e+07,7.124e+04,4.135e+01,1.609e-04,7.124e+12,1.063e+03
7,256x512,16x16,llama_3_70b,128,3.787e+07,7.124e+04,2.167e+01,8.200e-05,7.124e+12,5.316e+02
7,256x256,16x16,llama_3_70b,128,7.573e+07,8.232e+04,4.187e+01,4.100e-05,8.232e+12,9.200e+02
7,128x512,16x16,llama_3_70b,128,1.893e+07,7.124e+04,1.183e+01,4.255e-05,7.124e+12,2.658e+02
7,128x256,16x16,llama_3_70b,128,3.787e+07,8.232e+04,2.219e+01,2.127e-05,8.232e+12,4.600e+02
7,128x128,16x16,llama_3_70b,128,7.573e+07,1.114e+05,4.323e+01,1.064e-05,1.114e+13,6.798e+02
7,64x512,16x16,llama_3_70b,128,9.466e+06,7.124e+04,6.915e+00,2.282e-05,7.124e+12,1.329e+02
7,64x256,16x16,llama_3_70b,128,1.893e+07,8.232e+04,1.235e+01,1.141e-05,8.232e+12,2.300e+02
7,64x128,16x16,llama_3_70b,128,3.787e+07,1.114e+05,2.355e+01,5.706e-06,1.114e+13,3.399e+02
7,32x32,16x16,llama_3_70b,128,7.573e+07,8.220e+05,5.173e+01,8.101e-07,8.220e+13,9.213e+01
7,64x64,16x16,llama_3_70b,128,7.573e+07,2.587e+05,4.596e+01,2.853e-06,2.587e+13,2.927e+02
7,64x64,32x32,llama_3_70b,128,7.573e+07,2.587e+05,5.229e+01,3.228e-06,2.587e+13,2.927e+02
7,32x32,32x32,llama_3_70b,128,7.573e+07,8.220e+05,6.354e+01,9.976e-07,8.220e+13,9.213e+01
7,64x64,64x64,llama_3_70b,128,7.573e+07,2.587e+05,6.494e+01,3.978e-06,2.587e+13,2.927e+02
7,64x128,64x64,llama_3_70b,128,3.787e+07,1.114e+05,3.476e+01,7.956e-06,1.114e+13,3.399e+02
7,64x128,32x32,llama_3_70b,128,3.787e+07,1.114e+05,2.729e+01,6.456e-06,1.114e+13,3.399e+02
7,64x256,32x32,llama_3_70b,128,1.893e+07,8.232e+04,1.480e+01,1.291e-05,8.232e+12,2.300e+02
7,64x256,64x64,llama_3_70b,128,1.893e+07,8.232e+04,1.969e+01,1.591e-05,8.232e+12,2.300e+02
7,64x512,64x64,llama_3_70b,128,9.466e+06,7.124e+04,1.280e+01,3.182e-05,7.124e+12,1.329e+02
7,64x512,32x32,llama_3_70b,128,9.466e+06,7.124e+04,8.876e+00,2.582e-05,7.124e+12,1.329e+02
7,128x128,32x32,llama_3_70b,128,7.573e+07,1.114e+05,4.697e+01,1.139e-05,1.114e+13,6.798e+02
7,128x128,64x64,llama_3_70b,128,7.573e+07,1.114e+05,5.444e+01,1.289e-05,1.114e+13,6.798e+02
7,128x256,64x64,llama_3_70b,128,3.787e+07,8.232e+04,2.953e+01,2.577e-05,8.232e+12,4.600e+02
7,128x256,32x32,llama_3_70b,128,3.787e+07,8.232e+04,2.464e+01,2.277e-05,8.232e+12,4.600e+02
7,128x512,32x32,llama_3_70b,128,1.893e+07,7.124e+04,1.380e+01,4.555e-05,7.124e+12,2.658e+02
7,128x512,64x64,llama_3_70b,128,1.893e+07,7.124e+04,1.772e+01,5.155e-05,7.124e+12,2.658e+02
7,256x256,64x64,llama_3_70b,128,7.573e+07,8.232e+04,4.921e+01,4.550e-05,8.232e+12,9.200e+02
7,256x256,32x32,llama_3_70b,128,7.573e+07,8.232e+04,4.432e+01,4.250e-05,8.232e+12,9.200e+02
7,256x512,32x32,llama_3_70b,128,3.787e+07,7.124e+04,2.363e+01,8.500e-05,7.124e+12,5.316e+02
7,512x512,32x32,llama_3_70b,128,7.573e+07,7.124e+04,4.331e+01,1.639e-04,7.124e+12,1.063e+03
7,512x512,64x64,llama_3_70b,128,7.573e+07,7.124e+04,4.723e+01,1.699e-04,7.124e+12,1.063e+03
7,256x512,64x64,llama_3_70b,128,3.787e+07,7.124e+04,2.756e+01,9.100e-05,7.124e+12,5.316e+02
16,256x512,64x64,llama_3_70b,128,3.787e+07,7.124e+04,4.119e+01,6.089e-03,7.124e+12,5.316e+02
16,512x512,64x64,llama_3_70b,128,7.573e+07,7.124e+04,6.330e+01,1.080e-02,7.124e+12,1.063e+03
16,512x512,32x32,llama_3_70b,128,7.573e+07,7.124e+04,5.378e+01,1.012e-02,7.124e+12,1.063e+03
16,256x512,32x32,llama_3_70b,128,3.787e+07,7.124e+04,3.167e+01,5.405e-03,7.124e+12,5.316e+02
16,256x256,32x32,llama_3_70b,128,7.573e+07,8.232e+04,5.617e+01,2.703e-03,8.232e+12,9.200e+02
16,256x256,64x64,llama_3_70b,128,7.573e+07,8.232e+04,6.804e+01,3.045e-03,8.232e+12,9.200e+02
16,128x512,64x64,llama_3_70b,128,1.893e+07,7.124e+04,3.013e+01,3.732e-03,7.124e+12,2.658e+02
16,128x512,32x32,llama_3_70b,128,1.893e+07,7.124e+04,2.061e+01,3.048e-03,7.124e+12,2.658e+02
16,128x256,32x32,llama_3_70b,128,3.787e+07,8.232e+04,3.406e+01,1.524e-03,8.232e+12,4.600e+02
16,128x256,64x64,llama_3_70b,128,3.787e+07,8.232e+04,4.593e+01,1.866e-03,8.232e+12,4.600e+02
16,128x128,64x64,llama_3_70b,128,7.573e+07,1.114e+05,8.066e+01,9.331e-04,1.114e+13,6.798e+02
16,128x128,32x32,llama_3_70b,128,7.573e+07,1.114e+05,6.252e+01,7.621e-04,1.114e+13,6.798e+02
16,64x512,32x32,llama_3_70b,128,9.466e+06,7.124e+04,1.509e+01,1.870e-03,7.124e+12,1.329e+02
16,64x512,64x64,llama_3_70b,128,9.466e+06,7.124e+04,2.461e+01,2.554e-03,7.124e+12,1.329e+02
16,64x256,64x64,llama_3_70b,128,1.893e+07,8.232e+04,3.488e+01,1.277e-03,8.232e+12,2.300e+02
16,64x256,32x32,llama_3_70b,128,1.893e+07,8.232e+04,2.301e+01,9.349e-04,8.232e+12,2.300e+02
16,64x128,32x32,llama_3_70b,128,3.787e+07,1.114e+05,4.041e+01,4.675e-04,1.114e+13,3.399e+02
16,64x128,64x64,llama_3_70b,128,3.787e+07,1.114e+05,5.855e+01,6.385e-04,1.114e+13,3.399e+02
16,64x64,64x64,llama_3_70b,128,7.573e+07,2.587e+05,1.060e+02,3.192e-04,2.587e+13,2.927e+02
16,64x64,32x32,llama_3_70b,128,7.573e+07,2.587e+05,7.524e+01,2.337e-04,2.587e+13,2.927e+02
16,64x64,16x16,llama_3_70b,128,7.573e+07,2.587e+05,5.989e+01,1.910e-04,2.587e+13,2.927e+02
16,64x128,16x16,llama_3_70b,128,3.787e+07,1.114e+05,3.134e+01,3.819e-04,1.114e+13,3.399e+02
16,64x256,16x16,llama_3_70b,128,1.893e+07,8.232e+04,1.707e+01,7.639e-04,8.232e+12,2.300e+02
16,64x512,16x16,llama_3_70b,128,9.466e+06,7.124e+04,1.033e+01,1.528e-03,7.124e+12,1.329e+02
16,128x128,16x16,llama_3_70b,128,7.573e+07,1.114e+05,5.345e+01,6.766e-04,1.114e+13,6.798e+02
16,128x256,16x16,llama_3_70b,128,3.787e+07,8.232e+04,2.812e+01,1.353e-03,8.232e+12,4.600e+02
16,128x512,16x16,llama_3_70b,128,1.893e+07,7.124e+04,1.585e+01,2.706e-03,7.124e+12,2.658e+02
16,256x256,16x16,llama_3_70b,128,7.573e+07,8.232e+04,5.024e+01,2.532e-03,8.232e+12,9.200e+02
16,256x512,16x16,llama_3_70b,128,3.787e+07,7.124e+04,2.691e+01,5.063e-03,7.124e+12,5.316e+02
16,512x512,16x16,llama_3_70b,128,7.573e+07,7.124e+04,4.902e+01,9.777e-03,7.124e+12,1.063e+03
16,512x512,16x16,llama_3_70b,64,3.787e+07,3.657e+04,2.503e+01,9.777e-03,3.657e+12,1.036e+03
16,256x512,16x16,llama_3_70b,64,1.893e+07,3.657e+04,1.397e+01,5.063e-03,3.657e+12,5.178e+02
16,256x256,16x16,llama_3_70b,64,3.787e+07,4.920e+04,2.538e+01,2.532e-03,4.920e+12,7.696e+02
16,128x512,16x16,llama_3_70b,64,9.466e+06,3.657e+04,8.447e+00,2.706e-03,3.657e+12,2.589e+02
16,128x256,16x16,llama_3_70b,64,1.893e+07,4.920e+04,1.432e+01,1.353e-03,4.920e+12,3.848e+02
16,64x256,16x16,llama_3_70b,64,9.466e+06,4.920e+04,8.795e+00,7.639e-04,4.920e+12,1.924e+02
16,64x512,16x16,llama_3_70b,64,4.733e+06,3.657e+04,5.683e+00,1.528e-03,3.657e+12,1.294e+02
16,64x512,16x16,llama_3_70b,32,2.367e+06,1.810e+04,3.362e+00,1.528e-03,1.810e+12,1.308e+02
16,64x256,16x16,llama_3_70b,32,4.733e+06,2.994e+04,4.535e+00,7.639e-04,2.994e+12,1.581e+02
16,128x256,16x16,llama_3_70b,32,9.466e+06,2.994e+04,7.299e+00,1.353e-03,2.994e+12,3.162e+02
16,128x512,16x16,llama_3_70b,32,4.733e+06,1.810e+04,4.744e+00,2.706e-03,1.810e+12,2.616e+02
16,256x512,16x16,llama_3_70b,32,9.466e+06,1.810e+04,7.508e+00,5.063e-03,1.810e+12,5.231e+02
16,512x512,16x16,llama_3_70b,32,1.893e+07,1.810e+04,1.304e+01,9.777e-03,1.810e+12,1.046e+03
16,256x256,16x16,llama_3_70b,32,1.893e+07,2.994e+04,1.283e+01,2.532e-03,2.994e+12,6.324e+02
16,256x256,32x32,llama_3_70b,32,1.893e+07,2.994e+04,1.458e+01,2.703e-03,2.994e+12,6.324e+02
16,256x256,64x64,llama_3_70b,32,1.893e+07,2.994e+04,1.808e+01,3.045e-03,2.994e+12,6.324e+02
16,256x512,64x64,llama_3_70b,32,9.466e+06,1.810e+04,1.342e+01,6.089e-03,1.810e+12,5.231e+02
16,256x512,32x32,llama_3_70b,32,9.466e+06,1.810e+04,9.478e+00,5.405e-03,1.810e+12,5.231e+02
16,512x512,32x32,llama_3_70b,32,1.893e+07,1.810e+04,1.501e+01,1.012e-02,1.810e+12,1.046e+03
16,512x512,64x64,llama_3_70b,32,1.893e+07,1.810e+04,1.895e+01,1.080e-02,1.810e+12,1.046e+03
16,128x512,64x64,llama_3_70b,32,4.733e+06,1.810e+04,1.066e+01,3.732e-03,1.810e+12,2.616e+02
16,128x512,32x32,llama_3_70b,32,4.733e+06,1.810e+04,6.714e+00,3.048e-03,1.810e+12,2.616e+02
16,128x256,32x32,llama_3_70b,32,9.466e+06,2.994e+04,9.051e+00,1.524e-03,2.994e+12,3.162e+02
16,128x256,64x64,llama_3_70b,32,9.466e+06,2.994e+04,1.256e+01,1.866e-03,2.994e+12,3.162e+02
16,64x256,64x64,llama_3_70b,32,4.733e+06,2.994e+04,9.792e+00,1.277e-03,2.994e+12,1.581e+02
16,64x256,32x32,llama_3_70b,32,4.733e+06,2.994e+04,6.288e+00,9.349e-04,2.994e+12,1.581e+02
16,64x512,32x32,llama_3_70b,32,2.367e+06,1.810e+04,5.332e+00,1.870e-03,1.810e+12,1.308e+02
16,64x512,64x64,llama_3_70b,32,2.367e+06,1.810e+04,9.273e+00,2.554e-03,1.810e+12,1.308e+02
16,64x512,64x64,llama_3_70b,64,4.733e+06,3.657e+04,1.438e+01,2.554e-03,3.657e+12,1.294e+02
16,64x512,32x32,llama_3_70b,64,4.733e+06,3.657e+04,8.584e+00,1.870e-03,3.657e+12,1.294e+02
16,64x256,32x32,llama_3_70b,64,9.466e+06,4.920e+04,1.202e+01,9.349e-04,4.920e+12,1.924e+02
16,64x256,64x64,llama_3_70b,64,9.466e+06,4.920e+04,1.848e+01,1.277e-03,4.920e+12,1.924e+02
16,128x256,64x64,llama_3_70b,64,1.893e+07,4.920e+04,2.401e+01,1.866e-03,4.920e+12,3.848e+02
16,128x256,32x32,llama_3_70b,64,1.893e+07,4.920e+04,1.755e+01,1.524e-03,4.920e+12,3.848e+02
16,128x512,32x32,llama_3_70b,64,9.466e+06,3.657e+04,1.135e+01,3.048e-03,3.657e+12,2.589e+02
16,128x512,64x64,llama_3_70b,64,9.466e+06,3.657e+04,1.715e+01,3.732e-03,3.657e+12,2.589e+02
16,256x512,64x64,llama_3_70b,64,1.893e+07,3.657e+04,2.268e+01,6.089e-03,3.657e+12,5.178e+02
16,256x512,32x32,llama_3_70b,64,1.893e+07,3.657e+04,1.688e+01,5.405e-03,3.657e+12,5.178e+02
16,512x512,32x32,llama_3_70b,64,3.787e+07,3.657e+04,2.793e+01,1.012e-02,3.657e+12,1.036e+03
