model,array_dim,batch_size,cycle_count
llama_3_70b,128x128,32,1.273e+13
llama_3_70b,128x128,64,1.670e+13
llama_3_70b,128x128,128,2.463e+13
llama_3_70b,128x128,256,4.051e+13
llama_3_70b,128x128,512,7.226e+13
llama_3_70b,256x256,32,7.541e+12
llama_3_70b,256x256,64,1.069e+13
llama_3_70b,256x256,128,1.698e+13
llama_3_70b,256x256,256,2.955e+13
llama_3_70b,256x256,512,5.471e+13
llama_3_70b,32x32,32,6.407e+13
llama_3_70b,32x32,64,9.394e+13
llama_3_70b,32x32,128,1.537e+14
llama_3_70b,32x32,256,2.731e+14
llama_3_70b,32x32,512,5.120e+14
llama_3_70b,512x512,32,5.207e+12
llama_3_70b,512x512,64,8.212e+12
llama_3_70b,512x512,128,1.422e+13
llama_3_70b,512x512,256,2.624e+13
llama_3_70b,512x512,512,5.028e+13
llama_3_70b,64x64,32,2.763e+13
llama_3_70b,64x64,64,3.788e+13
llama_3_70b,64x64,128,5.837e+13
llama_3_70b,64x64,256,9.936e+13
llama_3_70b,64x64,512,1.813e+14
llama_3_8b,128x128,32,2.191e+12
llama_3_8b,128x128,64,3.436e+12
llama_3_8b,128x128,128,5.927e+12
llama_3_8b,128x128,256,1.091e+13
llama_3_8b,128x128,512,2.087e+13
llama_3_8b,256x256,32,1.643e+12
llama_3_8b,256x256,64,2.810e+12
llama_3_8b,256x256,128,5.146e+12
llama_3_8b,256x256,256,9.817e+12
llama_3_8b,256x256,512,1.916e+13
llama_3_8b,32x32,32,1.017e+13
llama_3_8b,32x32,64,1.664e+13
llama_3_8b,32x32,128,2.959e+13
llama_3_8b,32x32,256,5.549e+13
llama_3_8b,32x32,512,1.073e+14
llama_3_8b,512x512,32,1.415e+12
llama_3_8b,512x512,64,2.592e+12
llama_3_8b,512x512,128,4.946e+12
llama_3_8b,512x512,256,9.654e+12
llama_3_8b,512x512,512,1.907e+13
llama_3_8b,64x64,32,4.607e+12
llama_3_8b,64x64,64,7.338e+12
llama_3_8b,64x64,128,1.280e+13
llama_3_8b,64x64,256,2.372e+13
llama_3_8b,64x64,512,4.557e+13
