technology_nm,array_dim,chiplet_size,workload,batch_size
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
7,32x32,16x16,llama_3_8b,32
