arch,subarch,arch_dim,accumulator,fifo,pe,nonlinear,vector,tc,value_reuse,total
mugi,vlp,128x8,60.07441331949687,33.39441769242689,1.919420868371002,1.1433239970881144,0.4115597985342018,0.2016018851518223,2.8552624389311023,117.36318459457294
mugi,vlp,256x8,60.350031483517974,33.82372853476567,2.12901935617305,1.3546757480745824,0.45758039017399776,0.21192995329202552,1.6730345340026935,195.77264831604958
mugi,lut,128x8,57.74304585563744,32.098447335319996,1.8449319950769094,4.979753273438332,0.3955879883954622,0.19377812042862788,2.744455431703227,122.10170688698508
mugi,lut,256x8,57.5556364577146,32.257584218876026,2.030439107704516,5.92226248551687,0.4363929883653244,0.20211693426386285,1.5955678075587942,205.27764466935452
carat,,128x8,45.00137329782438,46.70770783940961,1.5674100294791917,0.0,3.3705991526131274,0.4214213745291673,2.931488306144529,168.25685360377494
carat,,256x8,37.9851186159768,55.260237212581195,1.4940307589103314,0.0,3.3978398403433765,0.3830309819674252,1.4797425902208667,324.95175777848203
systolic,figna,8x8,34.3363604609327,5.309267723319128,59.67983752226414,0.0,0.6745342934840325,0.0,0.0,108.03719369782759
systolic,figna,16x16,32.8696890603376,5.69639434416996,60.777920068946514,0.0,0.6559965265459305,0.0,0.0,221.6461306678183
simd,figna,8x8,33.357721872590425,5.802688691947893,60.09255448421915,0.0,0.7470349512425394,0.0,0.0,98.85044948453071
simd,figna,16x16,32.70450789681132,6.022003564200763,60.56735202063338,0.0,0.7061365183545473,0.0,0.0,209.6617432525358
