arch,subarch,arch_dim,max_seq_len,attn_size,throughput,energy_per_token
mugi,vlp,64x8,max_seq_len_128,attn_size_1,8.542203742203741,5.146903000250883e-05
mugi,vlp,64x8,max_seq_len_128,attn_size_2,16.018713450292395,4.471804208380163e-05
mugi,vlp,64x8,max_seq_len_128,attn_size_4,28.48388214904679,4.134254812444803e-05
mugi,vlp,64x8,max_seq_len_128,attn_size_8,46.62468085106382,3.966297000237121e-05
mugi,vlp,64x8,max_seq_len_256,attn_size_1,6.504331625523986,9.64974331106198e-05
mugi,vlp,64x8,max_seq_len_256,attn_size_2,12.817622762735198,7.97325851490774e-05
mugi,vlp,64x8,max_seq_len_256,attn_size_4,24.90378956754347,7.135016116830624e-05
mugi,vlp,64x8,max_seq_len_256,attn_size_8,47.11868409953606,6.71630336067206e-05
mugi,vlp,64x8,max_seq_len_512,attn_size_1,6.237586247222548,0.00018918076229101772
mugi,vlp,64x8,max_seq_len_512,attn_size_2,12.42866130723523,0.00015406690128029452
mugi,vlp,64x8,max_seq_len_512,attn_size_4,24.673343356077247,0.00013650997077493295
mugi,vlp,64x8,max_seq_len_512,attn_size_8,48.62687179487178,0.00012773354773665211
mugi,vlp,64x8,max_seq_len_1024,attn_size_1,6.262858501500875,0.0003756414204538758
mugi,vlp,64x8,max_seq_len_1024,attn_size_2,12.513815730870865,0.0003046688868630358
mugi,vlp,64x8,max_seq_len_1024,attn_size_4,24.980161811338643,0.0002691826200676159
mugi,vlp,64x8,max_seq_len_1024,attn_size_8,49.771521360455836,0.00025144050777710586
mugi,vlp,64x8,max_seq_len_2048,attn_size_1,6.3167943695438025,0.0007491097366806234
mugi,vlp,64x8,max_seq_len_2048,attn_size_2,12.630549604203784,0.0006068395346886721
mugi,vlp,64x8,max_seq_len_2048,attn_size_4,25.248951437781297,0.0005357044336926964
mugi,vlp,64x8,max_seq_len_2048,attn_size_8,50.449381826370896,0.0005001373937483087
mugi,vlp,64x8,max_seq_len_4096,attn_size_1,6.354630721558535,0.001496319869084634
mugi,vlp,64x8,max_seq_len_4096,attn_size_2,12.708491649931178,0.0012116641686700214
mugi,vlp,64x8,max_seq_len_4096,attn_size_4,25.413904686562546,0.0010693363184627153
mugi,vlp,64x8,max_seq_len_4096,attn_size_8,50.81549939357924,0.000998172648635862
mugi,vlp,256x8,max_seq_len_128,attn_size_1,16.534406438631787,5.00510093993793e-05
mugi,vlp,256x8,max_seq_len_128,attn_size_2,30.156330275229347,4.3558898003481694e-05
mugi,vlp,256x8,max_seq_len_128,attn_size_4,51.27987519500779,4.0312842305532895e-05
mugi,vlp,256x8,max_seq_len_128,attn_size_8,78.9205282112845,3.869789909015848e-05
mugi,vlp,256x8,max_seq_len_256,attn_size_1,15.699606520517142,9.285798409085783e-05
mugi,vlp,256x8,max_seq_len_256,attn_size_2,30.57427476737821,7.675626851711384e-05
mugi,vlp,256x8,max_seq_len_256,attn_size_4,58.09589183567341,6.870541073024185e-05
mugi,vlp,256x8,max_seq_len_256,attn_size_8,105.64387706855791,6.468402415360584e-05
mugi,vlp,256x8,max_seq_len_512,attn_size_1,15.453455019556714,0.00018173882474803392
mugi,vlp,256x8,max_seq_len_512,attn_size_2,30.693482952093223,0.0001480387115115043
mugi,vlp,256x8,max_seq_len_512,attn_size_4,60.55070242656449,0.00013118865489323954
mugi,vlp,256x8,max_seq_len_512,attn_size_8,117.88943224202238,0.00012276564774250711
mugi,vlp,256x8,max_seq_len_1024,attn_size_1,15.984101338794698,0.00036059596973029234
mugi,vlp,256x8,max_seq_len_1024,attn_size_2,31.91011167897027,0.0002925103772872788
mugi,vlp,256x8,max_seq_len_1024,attn_size_4,63.58912149673717,0.0002584675810657719
mugi,vlp,256x8,max_seq_len_1024,attn_size_8,126.26380556491775,0.00024144719353421857
mugi,vlp,256x8,max_seq_len_2048,attn_size_1,16.446456993510115,0.0007188579915287624
mugi,vlp,256x8,max_seq_len_2048,attn_size_2,32.877466318353925,0.0005824070987323245
mugi,vlp,256x8,max_seq_len_2048,attn_size_4,65.69322893756782,0.0005141816523341054
mugi,vlp,256x8,max_seq_len_2048,attn_size_8,131.14033660178546,0.0004800694344245958
mugi,vlp,256x8,max_seq_len_4096,attn_size_1,16.73518029705955,0.001435655901042679
mugi,vlp,256x8,max_seq_len_4096,attn_size_2,33.466356633195986,0.0011626772365691642
mugi,vlp,256x8,max_seq_len_4096,attn_size_4,66.91670316910965,0.0010261879043324065
mugi,vlp,256x8,max_seq_len_4096,attn_size_8,133.7694118819031,0.0009579434908588275
carat,none,64x8,max_seq_len_128,attn_size_1,8.542203742203741,6.116347691096319e-05
carat,none,64x8,max_seq_len_128,attn_size_2,16.018713450292395,5.3965293735547186e-05
carat,none,64x8,max_seq_len_128,attn_size_4,28.48388214904679,5.03662021478392e-05
carat,none,64x8,max_seq_len_128,attn_size_8,46.62468085106382,4.857482521158518e-05
carat,none,64x8,max_seq_len_256,attn_size_1,6.504331625523986,0.00011355829791379842
carat,none,64x8,max_seq_len_256,attn_size_2,12.817622762735198,9.56865666607928e-05
carat,none,64x8,max_seq_len_256,attn_size_4,24.90378956754347,8.675070103429002e-05
carat,none,64x8,max_seq_len_256,attn_size_8,47.11868409953606,8.228685264983861e-05
carat,none,64x8,max_seq_len_512,attn_size_1,6.237586247222548,0.0002219902876242592
carat,none,64x8,max_seq_len_512,attn_size_2,12.42866130723523,0.00018456751849189564
carat,none,64x8,max_seq_len_512,attn_size_4,24.673343356077247,0.0001658561339257138
carat,none,64x8,max_seq_len_512,attn_size_8,48.62687179487178,0.00015650248385702285
carat,none,64x8,max_seq_len_1024,attn_size_1,6.262858501500875,0.00044045034356928153
carat,none,64x8,max_seq_len_1024,attn_size_2,12.513815730870865,0.0003648235278161125
carat,none,64x8,max_seq_len_1024,attn_size_4,24.980161811338643,0.00032701011993952806
carat,none,64x8,max_seq_len_1024,attn_size_8,49.771521360455836,0.00030810443710843584
carat,none,64x8,max_seq_len_2048,attn_size_1,6.3167943695438025,0.0008781684937213769
carat,none,64x8,max_seq_len_2048,attn_size_2,12.630549604203784,0.0007265825992955521
carat,none,64x8,max_seq_len_2048,attn_size_4,25.248951437781297,0.0006507896520826401
carat,none,64x8,max_seq_len_2048,attn_size_8,50.449381826370896,0.0006128936890297838
carat,none,64x8,max_seq_len_4096,attn_size_1,6.354630721558535,0.0017540038131565923
carat,none,64x8,max_seq_len_4096,attn_size_2,12.708491649931178,0.0014507242686699344
carat,none,64x8,max_seq_len_4096,attn_size_4,25.413904686562546,0.0012990844964266054
carat,none,64x8,max_seq_len_4096,attn_size_8,50.81549939357924,0.001223264865581741
carat,none,256x8,max_seq_len_128,attn_size_1,16.534406438631787,7.36654582808232e-05
carat,none,256x8,max_seq_len_128,attn_size_2,30.156330275229347,6.50735253698548e-05
carat,none,256x8,max_seq_len_128,attn_size_4,51.27987519500779,6.0777558914370593e-05
