arch,subarch,arch_dim,max_seq_len,attn_size,throughput,energy_per_token
mugi,vlp,64x8,max_seq_len_128,attn_size_1,0.8835758835758837,0.6885963910854712
mugi,vlp,64x8,max_seq_len_128,attn_size_2,1.6569200779727098,0.598275941742307
mugi,vlp,64x8,max_seq_len_128,attn_size_4,2.9462738301559797,0.553115717070725
mugi,vlp,64x8,max_seq_len_128,attn_size_8,4.822695035460994,0.5306448946489339
mugi,vlp,64x8,max_seq_len_256,attn_size_1,0.9217512808570097,0.7065444086242492
mugi,vlp,64x8,max_seq_len_256,attn_size_2,1.8164295548416702,0.5837938938506096
mugi,vlp,64x8,max_seq_len_256,attn_size_4,3.5292019616584933,0.5224186364637902
mugi,vlp,64x8,max_seq_len_256,attn_size_8,6.677351328553353,0.4917609135433943
mugi,vlp,64x8,max_seq_len_512,attn_size_1,0.9541574084902352,0.711649841369208
mugi,vlp,64x8,max_seq_len_512,attn_size_2,1.9012000466037513,0.5795604401239522
mugi,vlp,64x8,max_seq_len_512,attn_size_4,3.774256967734474,0.5135157395013245
mugi,vlp,64x8,max_seq_len_512,attn_size_8,7.4384045584045575,0.48050107148040927
mugi,vlp,64x8,max_seq_len_1024,attn_size_1,0.9750349213897226,0.7127963542149744
mugi,vlp,64x8,max_seq_len_1024,attn_size_2,1.9482169898156119,0.5781228053506733
mugi,vlp,64x8,max_seq_len_1024,attn_size_4,3.8890436534985033,0.5107860309185228
mugi,vlp,64x8,max_seq_len_1024,attn_size_8,7.748693572672788,0.4771195812989152
mugi,vlp,64x8,max_seq_len_2048,attn_size_1,0.9869464851004978,0.7129989610053313
mugi,vlp,64x8,max_seq_len_2048,attn_size_2,1.9734181306992071,0.5775868828607279
mugi,vlp,64x8,max_seq_len_2048,attn_size_4,3.944938273460227,0.5098808437884261
mugi,vlp,64x8,max_seq_len_2048,attn_size_8,7.882295537289362,0.47602831019467945
mugi,vlp,64x8,max_seq_len_4096,attn_size_1,0.9933218118181996,0.7130061391164313
mugi,vlp,64x8,max_seq_len_4096,attn_size_2,1.9865232936918844,0.5773658484783962
mugi,vlp,64x8,max_seq_len_4096,attn_size_4,3.9725653550549604,0.5095457031593787
mugi,vlp,64x8,max_seq_len_4096,attn_size_8,7.943206480092203,0.4756357521409235
mugi,vlp,256x8,max_seq_len_128,attn_size_1,1.710261569416499,0.6696249072678776
mugi,vlp,256x8,max_seq_len_128,attn_size_2,3.1192660550458715,0.5827679278858678
