carbon,type,arch,subarch,arch_dim,model,normalized_carbon
0.08956483308900927,onchip,mugi,vlp,128x8,llama_2_7b,0.013295222798436718
6.5890440756,offchip,mugi,vlp,128x8,llama_2_7b,0.9780938119625825
0.08956483308900927,onchip,mugi,vlp,128x8,llama_2_13b,0.013295222798436718
6.5890440756,offchip,mugi,vlp,128x8,llama_2_13b,0.9780938119625825
0.08956483308900927,onchip,mugi,vlp,128x8,llama_2_70b,0.013295222798436718
6.5890440756,offchip,mugi,vlp,128x8,llama_2_70b,0.9780938119625825
0.08956483308900927,onchip,mugi,vlp,128x8,llama_2_70b_GQA,0.013295222798436718
6.5890440756,offchip,mugi,vlp,128x8,llama_2_70b_GQA,0.9780938119625825
0.11666355881017183,onchip,mugi,lut,128x8,llama_2_7b,0.017317823897447703
6.5890440756,offchip,mugi,lut,128x8,llama_2_7b,0.9780938119625825
0.11666355881017183,onchip,mugi,lut,128x8,llama_2_13b,0.017317823897447703
6.5890440756,offchip,mugi,lut,128x8,llama_2_13b,0.9780938119625825
0.11666355881017183,onchip,mugi,lut,128x8,llama_2_70b,0.017317823897447703
6.5890440756,offchip,mugi,lut,128x8,llama_2_70b,0.9780938119625825
0.11666355881017183,onchip,mugi,lut,128x8,llama_2_70b_GQA,0.017317823897447703
6.5890440756,offchip,mugi,lut,128x8,llama_2_70b_GQA,0.9780938119625825
0.14757361384108958,onchip,mugi,vlp,256x8,llama_2_7b,0.02190618803741751
6.5890440756,offchip,mugi,vlp,256x8,llama_2_7b,0.9780938119625825
0.14757361384108958,onchip,mugi,vlp,256x8,llama_2_13b,0.02190618803741751
6.5890440756,offchip,mugi,vlp,256x8,llama_2_13b,0.9780938119625825
0.14757361384108958,onchip,mugi,vlp,256x8,llama_2_70b,0.02190618803741751
6.5890440756,offchip,mugi,vlp,256x8,llama_2_70b,0.9780938119625825
0.14757361384108958,onchip,mugi,vlp,256x8,llama_2_70b_GQA,0.02190618803741751
6.5890440756,offchip,mugi,vlp,256x8,llama_2_70b_GQA,0.9780938119625825
0.20177222567486167,onchip,mugi,lut,256x8,llama_2_7b,0.029951562486782875
6.5890440756,offchip,mugi,lut,256x8,llama_2_7b,0.9780938119625825
0.20177222567486167,onchip,mugi,lut,256x8,llama_2_13b,0.029951562486782875
6.5890440756,offchip,mugi,lut,256x8,llama_2_13b,0.9780938119625825
