carbon,layer,arch,subarch,arch_dim,model,normalized_carbon
0.0003646559301187841,projection,mugi,vlp,128x8,llama_2_7b,0.2412085866305557
0.000660141556381161,attention,mugi,vlp,128x8,llama_2_7b,0.43666316283112827
0.0007344020129929291,ffn,mugi,vlp,128x8,llama_2_7b,0.4857841514189993
5.973864574847033e-06,nonlinear,mugi,vlp,128x8,llama_2_7b,0.003951526114910074
4.426985793309138e-06,onchip_em,mugi,vlp,128x8,llama_2_7b,0.0029283137830497076
2.0498462288787423e-05,offchip_em,mugi,vlp,128x8,llama_2_7b,0.013559096968936046
0.000711656024497406,projection,mugi,vlp,128x8,llama_2_13b,0.2617035610783969
0.0010314711818408147,attention,mugi,vlp,128x8,llama_2_13b,0.3793120161220075
0.0014401470482680082,ffn,mugi,vlp,128x8,llama_2_13b,0.5295980052644849
9.34511017023996e-06,nonlinear,mugi,vlp,128x8,llama_2_13b,0.0034365599756552827
7.968996721232795e-06,onchip_em,mugi,vlp,128x8,llama_2_13b,0.0029305096119175656
3.68991874824962e-05,offchip_em,mugi,vlp,128x8,llama_2_13b,0.013569264409569907
0.003639358161831356,projection,mugi,vlp,128x8,llama_2_70b,0.2621445935286963
0.0033007077818678074,attention,mugi,vlp,128x8,llama_2_70b,0.23775145543777246
0.009548814462709509,ffn,mugi,vlp,128x8,llama_2_70b,0.6878053697106592
3.117006299040433e-05,nonlinear,mugi,vlp,128x8,llama_2_70b,0.0022451935559900083
4.0755513100248526e-05,onchip_em,mugi,vlp,128x8,llama_2_70b,0.0029356378077231918
0.00018871200120142061,offchip_em,mugi,vlp,128x8,llama_2_70b,0.013593009714668923
0.0020471389660639133,projection,mugi,vlp,128x8,llama_2_70b_GQA,0.20441838454317066
0.000498642842827977,attention,mugi,vlp,128x8,llama_2_70b_GQA,0.04979230334855871
0.009548814462709509,ffn,mugi,vlp,128x8,llama_2_70b_GQA,0.9535030396703418
3.117006299040433e-05,nonlinear,mugi,vlp,128x8,llama_2_70b_GQA,0.0031125067854374444
2.9216442340137995e-05,onchip_em,mugi,vlp,128x8,llama_2_70b_GQA,0.002917426732760085
0.00013528214669832574,offchip_em,mugi,vlp,128x8,llama_2_70b_GQA,0.013508686192796836
0.0003652085115242713,projection,mugi,lut,128x8,llama_2_7b,0.24157410208994362
0.0006612462854124116,attention,mugi,lut,128x8,llama_2_7b,0.43739390681807205
0.0007355158098883644,ffn,mugi,lut,128x8,llama_2_7b,0.48652089351682815
5.9860876634438105e-06,nonlinear,mugi,lut,128x8,llama_2_7b,0.003959611308872855
4.990923084304868e-06,onchip_em,mugi,lut,128x8,llama_2_7b,0.0033013408084570134
2.0498462288787423e-05,offchip_em,mugi,lut,128x8,llama_2_7b,0.013559096968936046
0.0007127352850549983,projection,mugi,lut,128x8,llama_2_13b,0.26210044710413216
0.0010331973209521434,attention,mugi,lut,128x8,llama_2_13b,0.3799467845168517
0.0014423325508971325,ffn,mugi,lut,128x8,llama_2_13b,0.5304016994665989
9.364221540890022e-06,nonlinear,mugi,lut,128x8,llama_2_13b,0.003443587968932994
8.984137639398387e-06,onchip_em,mugi,lut,128x8,llama_2_13b,0.0033038163558152945
3.68991874824962e-05,offchip_em,mugi,lut,128x8,llama_2_13b,0.013569264409569907
0.0036448839758862284,projection,mugi,lut,128x8,llama_2_70b,0.26254262038258547
0.0033062314270240595,attention,mugi,lut,128x8,llama_2_70b,0.23814932606492553
0.009563319724603548,ffn,mugi,lut,128x8,llama_2_70b,0.6888501902021182
3.1233869980662066e-05,nonlinear,mugi,lut,128x8,llama_2_70b,0.002249789601990874
4.5947206664215234e-05,onchip_em,mugi,lut,128x8,llama_2_70b,0.003309597813453089
0.00018871200120142061,offchip_em,mugi,lut,128x8,llama_2_70b,0.013593009714668923
0.0020502472364697785,projection,mugi,lut,128x8,llama_2_70b_GQA,0.2047287628934553
0.0004993337343277337,attention,mugi,lut,128x8,llama_2_70b_GQA,0.04986129276579717
0.009563319724603546,ffn,mugi,lut,128x8,llama_2_70b_GQA,0.9549514719716701
3.1233869980662066e-05,nonlinear,mugi,lut,128x8,llama_2_70b_GQA,0.003118878273688741
3.2938216503211255e-05,onchip_em,mugi,lut,128x8,llama_2_70b_GQA,0.0032890668972344857
0.00013528214669832574,offchip_em,mugi,lut,128x8,llama_2_70b_GQA,0.013508686192796836
0.00029730554530438887,projection,mugi,vlp,256x8,llama_2_7b,0.19665839619538997
0.0005965915100045623,attention,mugi,vlp,256x8,llama_2_7b,0.39462677839111
0.0005986487497944513,ffn,mugi,vlp,256x8,llama_2_7b,0.3959875786992734
3.1083637266974297e-06,nonlinear,mugi,vlp,256x8,llama_2_7b,0.002056086187892635
3.817483163922579e-06,onchip_em,mugi,vlp,256x8,llama_2_7b,0.0025251466996731964
1.2315035257311017e-05,offchip_em,mugi,vlp,256x8,llama_2_7b,0.008146013826660753
0.0005801121710137757,projection,mugi,vlp,256x8,llama_2_13b,0.21332977696133928
0.0009321742343735788,attention,mugi,vlp,256x8,llama_2_13b,0.3427966718238369
0.0011737705186106882,ffn,mugi,vlp,256x8,llama_2_13b,0.4316410091886652
4.867112370738441e-06,nonlinear,mugi,vlp,256x8,llama_2_13b,0.0017898262583957247
6.719685016504359e-06,onchip_em,mugi,vlp,256x8,llama_2_13b,0.0024710891745577386
2.1677412667681384e-05,offchip_em,mugi,vlp,256x8,llama_2_13b,0.007971626593205139
0.002965852609493873,projection,mugi,vlp,256x8,llama_2_70b,0.21363168784425407
0.0029829575499544154,attention,mugi,vlp,256x8,llama_2_70b,0.21486376434372811
0.007780861322702659,ffn,mugi,vlp,256x8,llama_2_70b,0.5604589155678602
1.6210846814681605e-05,nonlinear,mugi,vlp,256x8,llama_2_70b,0.0011676745349109147
3.245084544732837e-05,onchip_em,mugi,vlp,256x8,llama_2_70b,0.0023374488882874174
0.00010468502116529684,offchip_em,mugi,vlp,256x8,llama_2_70b,0.00754050882095934
0.0016682920929011,projection,mugi,vlp,256x8,llama_2_70b_GQA,0.16658838517088773
0.0004587896826799843,attention,mugi,vlp,256x8,llama_2_70b_GQA,0.04581274028447575
0.007780861322702657,ffn,mugi,vlp,256x8,llama_2_70b_GQA,0.7769629362287548
1.6210846814681605e-05,nonlinear,mugi,vlp,256x8,llama_2_70b_GQA,0.0016187445859161854
2.1368485089225176e-05,onchip_em,mugi,vlp,256x8,llama_2_70b_GQA,0.00213376388925512
6.893380690086252e-05,offchip_em,mugi,vlp,256x8,llama_2_70b_GQA,0.006883429840710308
0.00029785982637586307,projection,mugi,lut,256x8,llama_2_7b,0.1970250359311069
0.0005982620103921402,attention,mugi,lut,256x8,llama_2_7b,0.3957317625807876
0.0005997659725791413,ffn,mugi,lut,256x8,llama_2_7b,0.39672658691657775
3.12065987949885e-06,nonlinear,mugi,lut,256x8,llama_2_7b,0.002064219711560433
4.496906748720396e-06,onchip_em,mugi,lut,256x8,llama_2_7b,0.00297456432619901
1.2315035257311017e-05,offchip_em,mugi,lut,256x8,llama_2_7b,0.008146013826660753
0.0005811947512314988,projection,mugi,lut,256x8,llama_2_13b,0.213727883755041
0.0009347843912291694,attention,mugi,lut,256x8,llama_2_13b,0.34375652787868255
0.001175962743551577,ffn,mugi,lut,256x8,llama_2_13b,0.43244717544591105
4.88633768256608e-06,nonlinear,mugi,lut,256x8,llama_2_13b,0.0017968961522699305
7.915633311908068e-06,onchip_em,mugi,lut,256x8,llama_2_13b,0.0029108858136627446
2.1677412667681384e-05,offchip_em,mugi,lut,256x8,llama_2_13b,0.007971626593205139
0.0029713954202086144,projection,mugi,lut,256x8,llama_2_70b,0.2140309389751434
0.0029913100518923043,attention,mugi,lut,256x8,llama_2_70b,0.21546539878807028
0.0077954112008288565,ffn,mugi,lut,256x8,llama_2_70b,0.5615069497864447
