carbon,layer,arch,subarch,arch_dim,model
5.251038283218875e-06,projection,mugi,vlp,128x8,llama_2_7b
9.446200830507801e-06,attention,mugi,vlp,128x8,llama_2_7b
1.0584055410657867e-05,ffn,mugi,vlp,128x8,llama_2_7b
2.727742839307064e-07,nonlinear,mugi,vlp,128x8,llama_2_7b
4.327709533824631e-06,onchip_em,mugi,vlp,128x8,llama_2_7b
1.000247576953645e-05,projection,mugi,vlp,128x8,llama_2_13b
1.4683068884648756e-05,attention,mugi,vlp,128x8,llama_2_13b
2.025492701196476e-05,ffn,mugi,vlp,128x8,llama_2_13b
4.3109678509222556e-07,nonlinear,mugi,vlp,128x8,llama_2_13b
7.790289984128737e-06,onchip_em,mugi,vlp,128x8,llama_2_13b
4.861771764601603e-05,projection,mugi,vlp,128x8,llama_2_70b
4.649545298820007e-05,attention,mugi,vlp,128x8,llama_2_70b
0.00012762130547750854,ffn,mugi,vlp,128x8,llama_2_70b
1.410239369413565e-06,nonlinear,mugi,vlp,128x8,llama_2_70b
3.984156056394727e-05,onchip_em,mugi,vlp,128x8,llama_2_70b
2.7347466176296747e-05,projection,mugi,vlp,128x8,llama_2_70b_GQA
6.0778579739187146e-06,attention,mugi,vlp,128x8,llama_2_70b_GQA
0.00012762130547750854,ffn,mugi,vlp,128x8,llama_2_70b_GQA
1.410239369413565e-06,nonlinear,mugi,vlp,128x8,llama_2_70b_GQA
2.8561256340815958e-05,onchip_em,mugi,vlp,128x8,llama_2_70b_GQA
5.791227913001708e-06,projection,mugi,lut,128x8,llama_2_7b
1.0526156037967758e-05,attention,mugi,lut,128x8,llama_2_7b
1.1672875133188892e-05,ffn,mugi,lut,128x8,llama_2_7b
2.8472326672008114e-07,nonlinear,mugi,lut,128x8,llama_2_7b
4.879000390553845e-06,onchip_em,mugi,lut,128x8,llama_2_7b
1.1057533640206047e-05,projection,mugi,lut,128x8,llama_2_13b
1.6370498896304935e-05,attention,mugi,lut,128x8,llama_2_13b
2.2391419200070692e-05,ffn,mugi,lut,128x8,llama_2_13b
4.4977957849349256e-07,nonlinear,mugi,lut,128x8,llama_2_13b
8.782666114262378e-06,onchip_em,mugi,lut,128x8,llama_2_13b
5.4019613943844364e-05,projection,mugi,lut,128x8,llama_2_70b
5.189522902549984e-05,attention,mugi,lut,128x8,llama_2_70b
0.00014180128325930793,ffn,mugi,lut,128x8,llama_2_70b
1.472615472016008e-06,nonlinear,mugi,lut,128x8,llama_2_70b
4.4916829106130676e-05,onchip_em,mugi,lut,128x8,llama_2_70b
3.0386032843825194e-05,projection,mugi,lut,128x8,llama_2_70b_GQA
6.7532560596443415e-06,attention,mugi,lut,128x8,llama_2_70b_GQA
0.00014180128325930793,ffn,mugi,lut,128x8,llama_2_70b_GQA
1.472615472016008e-06,nonlinear,mugi,lut,128x8,llama_2_70b_GQA
3.2199568790929945e-05,onchip_em,mugi,lut,128x8,llama_2_70b_GQA
4.141837037903975e-06,projection,mugi,vlp,256x8,llama_2_7b
1.0807373878225048e-05,attention,mugi,vlp,256x8,llama_2_7b
8.348317257380787e-06,ffn,mugi,vlp,256x8,llama_2_7b
2.549688599715202e-07,nonlinear,mugi,vlp,256x8,llama_2_7b
3.731875152771491e-06,onchip_em,mugi,vlp,256x8,llama_2_7b
7.84117756195889e-06,projection,mugi,vlp,256x8,llama_2_13b
1.6811420929030335e-05,attention,mugi,vlp,256x8,llama_2_13b
1.587829260969654e-05,ffn,mugi,vlp,256x8,llama_2_13b
4.055844438255684e-07,nonlinear,mugi,vlp,256x8,llama_2_13b
6.568994405669127e-06,onchip_em,mugi,vlp,256x8,llama_2_13b
3.7604231239599356e-05,projection,mugi,vlp,256x8,llama_2_70b
5.331590213761085e-05,attention,mugi,vlp,256x8,llama_2_70b
9.871089064522284e-05,ffn,mugi,vlp,256x8,llama_2_70b
1.316584462250277e-06,nonlinear,mugi,vlp,256x8,llama_2_70b
3.17231271524132e-05,onchip_em,mugi,vlp,256x8,llama_2_70b
2.1152380073017553e-05,projection,mugi,vlp,256x8,llama_2_70b_GQA
6.93064925107945e-06,attention,mugi,vlp,256x8,llama_2_70b_GQA
9.871089064522284e-05,ffn,mugi,vlp,256x8,llama_2_70b_GQA
1.316584462250277e-06,nonlinear,mugi,vlp,256x8,llama_2_70b_GQA
2.0889291486725937e-05,onchip_em,mugi,vlp,256x8,llama_2_70b_GQA
4.683688218240459e-06,projection,mugi,lut,256x8,llama_2_7b
1.2440412878373913e-05,attention,mugi,lut,256x8,llama_2_7b
9.440486042746511e-06,ffn,mugi,lut,256x8,llama_2_7b
2.6698926848254215e-07,nonlinear,mugi,lut,256x8,llama_2_7b
4.396062494388626e-06,onchip_em,mugi,lut,256x8,llama_2_7b
8.899480648553584e-06,projection,mugi,lut,256x8,llama_2_13b
1.936304436676294e-05,attention,mugi,lut,256x8,llama_2_13b
1.8021356360050795e-05,ffn,mugi,lut,256x8,llama_2_13b
4.2437862324511405e-07,nonlinear,mugi,lut,256x8,llama_2_13b
7.738123262554648e-06,onchip_em,mugi,lut,256x8,llama_2_13b
4.302274304296418e-05,projection,mugi,lut,256x8,llama_2_70b
6.148109713835518e-05,attention,mugi,lut,256x8,llama_2_70b
0.00011293448412905553,ffn,mugi,lut,256x8,llama_2_70b
1.3793334215402265e-06,nonlinear,mugi,lut,256x8,llama_2_70b
3.736910903245971e-05,onchip_em,mugi,lut,256x8,llama_2_70b
2.4200292962410267e-05,projection,mugi,lut,256x8,llama_2_70b_GQA
7.95215340943474e-06,attention,mugi,lut,256x8,llama_2_70b_GQA
0.00011293448412905553,ffn,mugi,lut,256x8,llama_2_70b_GQA
1.3793334215402265e-06,nonlinear,mugi,lut,256x8,llama_2_70b_GQA
2.4607101545438667e-05,onchip_em,mugi,lut,256x8,llama_2_70b_GQA
6.035291578865591e-06,projection,carat,,128x8,llama_2_7b
1.0661230763923776e-05,attention,carat,,128x8,llama_2_7b
1.2164810172029362e-05,ffn,carat,,128x8,llama_2_7b
8.445960711585003e-07,nonlinear,carat,,128x8,llama_2_7b
4.877493743627609e-06,onchip_em,carat,,128x8,llama_2_7b
1.1452868132398496e-05,projection,carat,,128x8,llama_2_13b
1.6561716393635114e-05,attention,carat,,128x8,llama_2_13b
2.3191964258287175e-05,ffn,carat,,128x8,llama_2_13b
1.3904993118603856e-06,nonlinear,carat,,128x8,llama_2_13b
8.785531479175162e-06,onchip_em,carat,,128x8,llama_2_13b
5.5210716842202806e-05,projection,carat,,128x8,llama_2_70b
5.23801698140869e-05,attention,carat,,128x8,llama_2_70b
0.00014492791121708875,ffn,carat,,128x8,llama_2_70b
4.399128500049791e-06,nonlinear,carat,,128x8,llama_2_70b
4.477765203586687e-05,onchip_em,carat,,128x8,llama_2_70b
3.1056028223739076e-05,projection,carat,,128x8,llama_2_70b_GQA
6.900844696026037e-06,attention,carat,,128x8,llama_2_70b_GQA
0.00014492791121708875,ffn,carat,,128x8,llama_2_70b_GQA
4.399128500049791e-06,nonlinear,carat,,128x8,llama_2_70b_GQA
3.214626049695121e-05,onchip_em,carat,,128x8,llama_2_70b_GQA
5.217457152466526e-06,projection,carat,,256x8,llama_2_7b
1.314561930354893e-05,attention,carat,,256x8,llama_2_7b
1.051636844517913e-05,ffn,carat,,256x8,llama_2_7b
7.90793051662316e-07,nonlinear,carat,,256x8,llama_2_7b
4.644596798878642e-06,onchip_em,carat,,256x8,llama_2_7b
9.810756332086015e-06,projection,carat,,256x8,llama_2_13b
2.0430826560950682e-05,attention,carat,,256x8,llama_2_13b
1.986669515233044e-05,ffn,carat,,256x8,llama_2_13b
1.408487935953571e-06,nonlinear,carat,,256x8,llama_2_13b
8.201668349000784e-06,onchip_em,carat,,256x8,llama_2_13b
4.634452969650367e-05,projection,carat,,256x8,llama_2_70b
6.467974194963728e-05,attention,carat,,256x8,llama_2_70b
0.00012165418711180744,ffn,carat,,256x8,llama_2_70b
4.11869775879891e-06,nonlinear,carat,,256x8,llama_2_70b
3.939997936756731e-05,onchip_em,carat,,256x8,llama_2_70b
2.6068797954283316e-05,projection,carat,,256x8,llama_2_70b_GQA
8.491808424017101e-06,attention,carat,,256x8,llama_2_70b_GQA
0.00012165418711180744,ffn,carat,,256x8,llama_2_70b_GQA
4.11869775879891e-06,nonlinear,carat,,256x8,llama_2_70b_GQA
2.5988869225522268e-05,onchip_em,carat,,256x8,llama_2_70b_GQA
6.5760726571408775e-06,projection,systolic,mac,16x16,llama_2_7b
1.1528583234988371e-05,attention,systolic,mac,16x16,llama_2_7b
1.3254827821788368e-05,ffn,systolic,mac,16x16,llama_2_7b
2.8563183933676426e-06,nonlinear,systolic,mac,16x16,llama_2_7b
5.512020281749776e-06,onchip_em,systolic,mac,16x16,llama_2_7b
1.2478308286132884e-05,projection,systolic,mac,16x16,llama_2_13b
1.791499303179311e-05,attention,systolic,mac,16x16,llama_2_13b
2.5268487859275333e-05,ffn,systolic,mac,16x16,llama_2_13b
4.465976167979498e-06,nonlinear,systolic,mac,16x16,llama_2_13b
9.831044924454244e-06,onchip_em,systolic,mac,16x16,llama_2_13b
6.014581761717645e-05,projection,systolic,mac,16x16,llama_2_70b
5.669810074329675e-05,attention,systolic,mac,16x16,llama_2_70b
0.00015788256790357348,ffn,systolic,mac,16x16,llama_2_70b
1.4901157062089825e-05,nonlinear,systolic,mac,16x16,llama_2_70b
4.921036751065114e-05,onchip_em,systolic,mac,16x16,llama_2_70b
3.383202240966175e-05,projection,systolic,mac,16x16,llama_2_70b_GQA
7.473826919579332e-06,attention,systolic,mac,16x16,llama_2_70b_GQA
0.00015788256790357348,ffn,systolic,mac,16x16,llama_2_70b_GQA
1.4901157062089825e-05,nonlinear,systolic,mac,16x16,llama_2_70b_GQA
3.58978359741607e-05,onchip_em,systolic,mac,16x16,llama_2_70b_GQA
7.153924040584912e-06,projection,systolic,figna,16x16,llama_2_7b
1.2637091816894494e-05,attention,systolic,figna,16x16,llama_2_7b
1.441955951654275e-05,ffn,systolic,figna,16x16,llama_2_7b
3.0829631358533126e-06,nonlinear,systolic,figna,16x16,llama_2_7b
6.007837969222304e-06,onchip_em,systolic,figna,16x16,llama_2_7b
1.3597920157930181e-05,projection,systolic,figna,16x16,llama_2_13b
1.9645320647848374e-05,attention,systolic,figna,16x16,llama_2_13b
2.7535701899664865e-05,ffn,systolic,figna,16x16,llama_2_13b
4.820348518506749e-06,nonlinear,systolic,figna,16x16,llama_2_13b
1.071536786064164e-05,onchip_em,systolic,figna,16x16,llama_2_13b
6.578602829910225e-05,projection,systolic,figna,16x16,llama_2_70b
6.222416003861847e-05,attention,systolic,figna,16x16,llama_2_70b
0.00017268812094362867,ffn,systolic,figna,16x16,llama_2_70b
1.6084288376343733e-05,nonlinear,systolic,figna,16x16,llama_2_70b
5.3636942409076374e-05,onchip_em,systolic,figna,16x16,llama_2_70b
3.7004640918245004e-05,projection,systolic,figna,16x16,llama_2_70b_GQA
8.174693832737766e-06,attention,systolic,figna,16x16,llama_2_70b_GQA
