carbon,layer,arch,subarch,arch_dim,model,normalized_carbon
5.251038283218875e-06,projection,mugi,vlp,128x8,llama_2_7b,0.19245589553512252
9.446200830507801e-06,attention,mugi,vlp,128x8,llama_2_7b,0.3462128710906257
1.0584055410657867e-05,ffn,mugi,vlp,128x8,llama_2_7b,0.3879163991169503
2.727742839307064e-07,nonlinear,mugi,vlp,128x8,llama_2_7b,0.009997455029151933
4.327709533824631e-06,onchip_em,mugi,vlp,128x8,llama_2_7b,0.15861495746657273
1.000247576953645e-05,projection,mugi,vlp,128x8,llama_2_13b,0.21055419049692936
1.4683068884648756e-05,attention,mugi,vlp,128x8,llama_2_13b,0.30908164680924244
2.025492701196476e-05,ffn,mugi,vlp,128x8,llama_2_13b,0.4263704165690043
4.3109678509222556e-07,nonlinear,mugi,vlp,128x8,llama_2_13b,0.009074676780259658
7.790289984128737e-06,onchip_em,mugi,vlp,128x8,llama_2_13b,0.16398722067792412
4.861771764601603e-05,projection,mugi,vlp,128x8,llama_2_70b,0.21833905343202364
4.649545298820007e-05,attention,mugi,vlp,128x8,llama_2_70b,0.20880809889619828
0.00012762130547750854,ffn,mugi,vlp,128x8,llama_2_70b,0.5731391020574105
1.410239369413565e-06,nonlinear,mugi,vlp,128x8,llama_2_70b,0.00633329460819647
3.984156056394727e-05,onchip_em,mugi,vlp,128x8,llama_2_70b,0.1789258945498797
2.7347466176296747e-05,projection,mugi,vlp,128x8,llama_2_70b_GQA,0.18354029284236545
6.0778579739187146e-06,attention,mugi,vlp,128x8,llama_2_70b_GQA,0.04079104898406374
0.00012762130547750854,ffn,mugi,vlp,128x8,llama_2_70b_GQA,0.8565200018628858
1.410239369413565e-06,nonlinear,mugi,vlp,128x8,llama_2_70b_GQA,0.00946470671803382
2.8561256340815958e-05,onchip_em,mugi,vlp,128x8,llama_2_70b_GQA,0.1916865467149868
5.791227913001708e-06,projection,mugi,lut,128x8,llama_2_7b,0.21225439506061303
1.0526156037967758e-05,attention,mugi,lut,128x8,llama_2_7b,0.3857943282004979
1.1672875133188892e-05,ffn,mugi,lut,128x8,llama_2_7b,0.4278227497230172
2.8472326672008114e-07,nonlinear,mugi,lut,128x8,llama_2_7b,0.010435397405388657
4.879000390553845e-06,onchip_em,mugi,lut,128x8,llama_2_7b,0.17882032825413957
1.1057533640206047e-05,projection,mugi,lut,128x8,llama_2_13b,0.23276337760266788
1.6370498896304935e-05,attention,mugi,lut,128x8,llama_2_13b,0.34460239870214665
2.2391419200070692e-05,ffn,mugi,lut,128x8,llama_2_13b,0.4713440204581248
4.4977957849349256e-07,nonlinear,mugi,lut,128x8,llama_2_13b,0.009467953458100333
8.782666114262378e-06,onchip_em,mugi,lut,128x8,llama_2_13b,0.18487694413870365
5.4019613943844364e-05,projection,mugi,lut,128x8,llama_2_70b,0.2425986234306256
5.189522902549984e-05,attention,mugi,lut,128x8,llama_2_70b,0.23305814694068042
0.00014180128325930793,ffn,mugi,lut,128x8,llama_2_70b,0.6368204733037407
1.472615472016008e-06,nonlinear,mugi,lut,128x8,llama_2_70b,0.006613421686521221
4.4916829106130676e-05,onchip_em,mugi,lut,128x8,llama_2_70b,0.20171860023552918
3.0386032843825194e-05,projection,mugi,lut,128x8,llama_2_70b_GQA,0.20393338565703376
6.7532560596443415e-06,attention,mugi,lut,128x8,llama_2_70b_GQA,0.045323928251200324
0.00014180128325930793,ffn,mugi,lut,128x8,llama_2_70b_GQA,0.9516877683313376
1.472615472016008e-06,nonlinear,mugi,lut,128x8,llama_2_70b_GQA,0.009883338852514374
3.2199568790929945e-05,onchip_em,mugi,lut,128x8,llama_2_70b_GQA,0.21610478452323892
4.141837037903975e-06,projection,mugi,vlp,256x8,llama_2_7b,0.1518025413826759
1.0807373878225048e-05,attention,mugi,vlp,256x8,llama_2_7b,0.3961012481595718
8.348317257380787e-06,ffn,mugi,vlp,256x8,llama_2_7b,0.30597432113857
2.549688599715202e-07,nonlinear,mugi,vlp,256x8,llama_2_7b,0.009344868125643946
3.731875152771491e-06,onchip_em,mugi,vlp,256x8,llama_2_7b,0.13677702119353838
7.84117756195889e-06,projection,mugi,vlp,256x8,llama_2_13b,0.1650584147505966
1.6811420929030335e-05,attention,mugi,vlp,256x8,llama_2_13b,0.3538838989838574
1.587829260969654e-05,ffn,mugi,vlp,256x8,llama_2_13b,0.3342413542345395
4.055844438255684e-07,nonlinear,mugi,vlp,256x8,llama_2_13b,0.008537636702697806
6.568994405669127e-06,onchip_em,mugi,vlp,256x8,llama_2_13b,0.13827869532830867
3.7604231239599356e-05,projection,mugi,vlp,256x8,llama_2_70b,0.1688781919725897
5.331590213761085e-05,attention,mugi,vlp,256x8,llama_2_70b,0.23943829881850232
9.871089064522284e-05,ffn,mugi,vlp,256x8,llama_2_70b,0.443304282274881
1.316584462250277e-06,nonlinear,mugi,vlp,256x8,llama_2_70b,0.005912696423637883
3.17231271524132e-05,onchip_em,mugi,vlp,256x8,llama_2_70b,0.1424665305103891
2.1152380073017553e-05,projection,mugi,vlp,256x8,llama_2_70b_GQA,0.1419624768118236
6.93064925107945e-06,attention,mugi,vlp,256x8,llama_2_70b_GQA,0.046514488213660825
9.871089064522284e-05,ffn,mugi,vlp,256x8,llama_2_70b_GQA,0.6624901063579368
1.316584462250277e-06,nonlinear,mugi,vlp,256x8,llama_2_70b_GQA,0.008836149433199393
2.0889291486725937e-05,onchip_em,mugi,vlp,256x8,llama_2_70b_GQA,0.14019677918337933
4.683688218240459e-06,projection,mugi,lut,256x8,llama_2_7b,0.1716619384264347
1.2440412878373913e-05,attention,mugi,lut,256x8,llama_2_7b,0.4559537889840834
9.440486042746511e-06,ffn,mugi,lut,256x8,llama_2_7b,0.3460034183048962
2.6698926848254215e-07,nonlinear,mugi,lut,256x8,llama_2_7b,0.009785428327248233
4.396062494388626e-06,onchip_em,mugi,lut,256x8,llama_2_7b,0.16112016301418047
8.899480648553584e-06,projection,mugi,lut,256x8,llama_2_13b,0.1873359143249519
1.936304436676294e-05,attention,mugi,lut,256x8,llama_2_13b,0.40759610181878403
1.8021356360050795e-05,ffn,mugi,lut,256x8,llama_2_13b,0.379353290872609
4.2437862324511405e-07,nonlinear,mugi,lut,256x8,llama_2_13b,0.008933258079336228
7.738123262554648e-06,onchip_em,mugi,lut,256x8,llama_2_13b,0.16288910036401508
4.302274304296418e-05,projection,mugi,lut,256x8,llama_2_70b,0.19321238114146094
6.148109713835518e-05,attention,mugi,lut,256x8,llama_2_70b,0.2761076661576024
0.00011293448412905553,ffn,mugi,lut,256x8,llama_2_70b,0.5071815288431681
1.3793334215402265e-06,nonlinear,mugi,lut,256x8,llama_2_70b,0.0061944979774451875
3.736910903245971e-05,onchip_em,mugi,lut,256x8,llama_2_70b,0.16782227321224194
2.4200292962410267e-05,projection,mugi,lut,256x8,llama_2_70b_GQA,0.16241829603364344
7.95215340943474e-06,attention,mugi,lut,256x8,llama_2_70b_GQA,0.053370230210216515
0.00011293448412905553,ffn,mugi,lut,256x8,llama_2_70b_GQA,0.7579505960597629
1.3793334215402265e-06,nonlinear,mugi,lut,256x8,llama_2_70b_GQA,0.009257283964983301
2.4607101545438667e-05,onchip_em,mugi,lut,256x8,llama_2_70b_GQA,0.16514855871971768
6.035291578865591e-06,projection,carat,,128x8,llama_2_7b,0.22119957672716622
1.0661230763923776e-05,attention,carat,,128x8,llama_2_7b,0.39074495433306755
1.2164810172029362e-05,ffn,carat,,128x8,llama_2_7b,0.4458526693958008
8.445960711585003e-07,nonlinear,carat,,128x8,llama_2_7b,0.030955305307851226
4.877493743627609e-06,onchip_em,carat,,128x8,llama_2_7b,0.17876510811141644
1.1452868132398496e-05,projection,carat,,128x8,llama_2_13b,0.24108525069658823
1.6561716393635114e-05,attention,carat,,128x8,llama_2_13b,0.3486275666992365
2.3191964258287175e-05,ffn,carat,,128x8,llama_2_13b,0.4881956600494397
1.3904993118603856e-06,nonlinear,carat,,128x8,llama_2_13b,0.029270299048059483
8.785531479175162e-06,onchip_em,carat,,128x8,llama_2_13b,0.18493726066469085
5.5210716842202806e-05,projection,carat,,128x8,llama_2_70b,0.2479477901945046
5.23801698140869e-05,attention,carat,,128x8,llama_2_70b,0.2352359849363181
0.00014492791121708875,ffn,carat,,128x8,llama_2_70b,0.6508619590375307
4.399128500049791e-06,nonlinear,carat,,128x8,llama_2_70b,0.01975620409868042
4.477765203586687e-05,onchip_em,carat,,128x8,llama_2_70b,0.2010935649345697
3.1056028223739076e-05,projection,carat,,128x8,llama_2_70b_GQA,0.2084300051039575
6.900844696026037e-06,attention,carat,,128x8,llama_2_70b_GQA,0.04631445736885513
0.00014492791121708875,ffn,carat,,128x8,llama_2_70b_GQA,0.9726718773263279
4.399128500049791e-06,nonlinear,carat,,128x8,llama_2_70b_GQA,0.029524392788175695
3.214626049695121e-05,onchip_em,carat,,128x8,llama_2_70b_GQA,0.21574701024811196
5.217457152466526e-06,projection,carat,,256x8,llama_2_7b,0.1912251129272944
1.314561930354893e-05,attention,carat,,256x8,llama_2_7b,0.4818003219503187
1.051636844517913e-05,ffn,carat,,256x8,llama_2_7b,0.38543560296680685
7.90793051662316e-07,nonlinear,carat,,256x8,llama_2_7b,0.02898336990362401
4.644596798878642e-06,onchip_em,carat,,256x8,llama_2_7b,0.17022919813485074
9.810756332086015e-06,projection,carat,,256x8,llama_2_13b,0.20651845655615383
2.0430826560950682e-05,attention,carat,,256x8,llama_2_13b,0.43007313857492047
1.986669515233044e-05,ffn,carat,,256x8,llama_2_13b,0.4181980553642533
1.408487935953571e-06,nonlinear,carat,,256x8,llama_2_13b,0.02964896331792252
8.201668349000784e-06,onchip_em,carat,,256x8,llama_2_13b,0.1726468206209089
4.634452969650367e-05,projection,carat,,256x8,llama_2_70b,0.2081303120677469
6.467974194963728e-05,attention,carat,,256x8,llama_2_70b,0.29047257496400775
0.00012165418711180744,ffn,carat,,256x8,llama_2_70b,0.5463411559841278
4.11869775879891e-06,nonlinear,carat,,256x8,llama_2_70b,0.018496807616028475
3.939997936756731e-05,onchip_em,carat,,256x8,llama_2_70b,0.17694278170338676
2.6068797954283316e-05,projection,carat,,256x8,llama_2_70b_GQA,0.17495861516869543
8.491808424017101e-06,attention,carat,,256x8,llama_2_70b_GQA,0.05699208090643009
0.00012165418711180744,ffn,carat,,256x8,llama_2_70b_GQA,0.8164721727438904
4.11869775879891e-06,nonlinear,carat,,256x8,llama_2_70b_GQA,0.027642304698574188
2.5988869225522268e-05,onchip_em,carat,,256x8,llama_2_70b_GQA,0.17442218001273804
6.5760726571408775e-06,projection,systolic,mac,16x16,llama_2_7b,0.24101975344165036
1.1528583234988371e-05,attention,systolic,mac,16x16,llama_2_7b,0.4225343048500499
1.3254827821788368e-05,ffn,systolic,mac,16x16,llama_2_7b,0.4858029252535555
2.8563183933676426e-06,nonlinear,systolic,mac,16x16,llama_2_7b,0.10468697516180318
5.512020281749776e-06,onchip_em,systolic,mac,16x16,llama_2_7b,0.20202115130679082
1.2478308286132884e-05,projection,systolic,mac,16x16,llama_2_13b,0.2626709787150623
1.791499303179311e-05,attention,systolic,mac,16x16,llama_2_13b,0.3771143207420276
2.5268487859275333e-05,ffn,systolic,mac,16x16,llama_2_13b,0.5319069127360426
4.465976167979498e-06,nonlinear,systolic,mac,16x16,llama_2_13b,0.09400972504141142
9.831044924454244e-06,onchip_em,systolic,mac,16x16,llama_2_13b,0.20694553563545787
6.014581761717645e-05,projection,systolic,mac,16x16,llama_2_70b,0.27011101142271643
5.669810074329675e-05,attention,systolic,mac,16x16,llama_2_70b,0.2546275359493219
0.00015788256790357348,ffn,systolic,mac,16x16,llama_2_70b,0.7090404917909229
1.4901157062089825e-05,nonlinear,systolic,mac,16x16,llama_2_70b,0.06692014116473471
4.921036751065114e-05,onchip_em,systolic,mac,16x16,llama_2_70b,0.2210006059837743
3.383202240966175e-05,projection,systolic,mac,16x16,llama_2_70b_GQA,0.2270608640847637
7.473826919579332e-06,attention,systolic,mac,16x16,llama_2_70b_GQA,0.05015998091485709
0.00015788256790357348,ffn,systolic,mac,16x16,llama_2_70b_GQA,1.0596160010188758
1.4901157062089825e-05,nonlinear,systolic,mac,16x16,llama_2_70b_GQA,0.10000790249579178
3.58978359741607e-05,onchip_em,systolic,mac,16x16,llama_2_70b_GQA,0.240925403641796
7.153924040584912e-06,projection,systolic,figna,16x16,llama_2_7b,0.2621985945562421
1.2637091816894494e-05,attention,systolic,figna,16x16,llama_2_7b,0.4631622721838426
1.441955951654275e-05,ffn,systolic,figna,16x16,llama_2_7b,0.5284915268751545
3.0829631358533126e-06,nonlinear,systolic,figna,16x16,llama_2_7b,0.11299373556437035
6.007837969222304e-06,onchip_em,systolic,figna,16x16,llama_2_7b,0.22019337400218217
1.3597920157930181e-05,projection,systolic,figna,16x16,llama_2_13b,0.2862390409397166
1.9645320647848374e-05,attention,systolic,figna,16x16,llama_2_13b,0.41353807610893334
2.7535701899664865e-05,ffn,systolic,figna,16x16,llama_2_13b,0.5796322387409676
4.820348518506749e-06,nonlinear,systolic,figna,16x16,llama_2_13b,0.10146933655349383
1.071536786064164e-05,onchip_em,systolic,figna,16x16,llama_2_13b,0.22556071694225888
6.578602829910225e-05,projection,systolic,figna,16x16,llama_2_70b,0.29544083604375726
6.222416003861847e-05,attention,systolic,figna,16x16,llama_2_70b,0.2794447140105107
0.00017268812094362867,ffn,systolic,figna,16x16,llama_2_70b,0.7755312814211548
1.6084288376343733e-05,nonlinear,systolic,figna,16x16,llama_2_70b,0.07223350805539855
5.3636942409076374e-05,onchip_em,systolic,figna,16x16,llama_2_70b,0.24088007009817666
3.7004640918245004e-05,projection,systolic,figna,16x16,llama_2_70b_GQA,0.248353634917302
8.174693832737766e-06,attention,systolic,figna,16x16,llama_2_70b_GQA,0.05486379214385202
0.00017268812094362867,ffn,systolic,figna,16x16,llama_2_70b_GQA,1.1589822649040546
1.6084288376343733e-05,nonlinear,systolic,figna,16x16,llama_2_70b_GQA,0.10794839199084234
3.9126920975336776e-05,onchip_em,systolic,figna,16x16,llama_2_70b_GQA,0.2625971447423458
6.610902629495042e-06,projection,systolic,taylor,16x16,llama_2_7b,0.24229630736476807
1.1597829610689027e-05,attention,systolic,taylor,16x16,llama_2_7b,0.4250722549713851
