technology,frequency,dynamic_uw,leakage_uw,area_mm2,num_instances,interpolation,instruction
45,400,0.81179699,0.037600194615384615,0.0016096683076923077,1,linear,jal
45,400,0.95576517,0.037600194615384615,0.0016096683076923077,1,linear,beq
45,400,0.8177744,0.037600194615384615,0.0016096683076923077,1,linear,jalr
45,400,0.20670696,0.037600194615384615,0.0016096683076923077,1,linear,andi
45,400,0.96080827,0.037600194615384615,0.0016096683076923077,1,linear,blt
45,400,0.41388015,0.037600194615384615,0.0016096683076923077,1,linear,addi
45,400,0.39527366,0.037600194615384615,0.0016096683076923077,1,linear,lw
45,400,0.95152375,0.037600194615384615,0.0016096683076923077,1,linear,add
45,400,0.39627379,0.037600194615384615,0.0016096683076923077,1,linear,sw
45,400,0.72687184,0.037600194615384615,0.0016096683076923077,1,linear,addi_0
45,400,0.4918836,0.037600194615384615,0.0016096683076923077,1,linear,lui
45,400,0.43440194,0.037600194615384615,0.0016096683076923077,1,linear,srli
45,400,0.42974927,0.037600194615384615,0.0016096683076923077,1,linear,slli
