arch,bitwidth,area jj,baseline area jj,area_percent_dif
256,4,105028.0,138052.0,-23.921420913858547
256,6,110532.0,138052.0,-19.934517428215457
256,8,116036.0,138052.0,-15.947613942572364
256,10,121540.0,138052.0,-11.960710456929274
256,12,127044.0,138052.0,-7.973806971286182
256,14,132548.0,138052.0,-3.986903485643091
256,16,138052.0,138052.0,0.0
32,16,17316.0,17316.0,0.0
32,14,16628.0,17316.0,-3.9732039732039732
32,12,15940.0,17316.0,-7.9464079464079465
32,10,15252.0,17316.0,-11.919611919611919
32,8,14564.0,17316.0,-15.892815892815893
32,6,13876.0,17316.0,-19.866019866019865
32,4,13188.0,17316.0,-23.839223839223838
