arch,bitwidth,throughput GOPs,baseline_throughput GOPs,throughput_percent_dif
256,4,199.99999999999997,14.0,1328.5714285714282
256,6,33.33333333333333,4.3,675.1937984496122
256,8,6.249999999999999,0.85,635.2941176470588
256,10,1.25,0.18,594.4444444444445
256,12,0.26041666666666663,0.04,551.0416666666665
256,14,0.055803571428571425,0.008,597.5446428571428
256,16,0.012207031249999998,0.0018,578.1684027777777
32,16,0.0015258789062499998,0.0018,-15.228949652777787
32,14,0.006975446428571428,0.008,-12.806919642857151
32,12,0.03255208333333333,0.04,-18.61979166666668
32,10,0.15625,0.18,-13.194444444444443
32,8,0.7812499999999999,0.85,-8.088235294117657
32,6,4.166666666666666,4.3,-3.100775193798459
32,4,24.999999999999996,14.0,78.57142857142854
