model,array_dim,batch_size,cycle_count
deepseek_v4,128x128,32,9.002e+11
deepseek_v4,128x128,64,1.092e+12
deepseek_v4,128x128,128,1.474e+12
deepseek_v4,128x128,256,2.240e+12
deepseek_v4,128x128,512,3.772e+12
deepseek_v4,256x256,32,4.688e+11
deepseek_v4,256x256,64,5.783e+11
deepseek_v4,256x256,128,7.973e+11
deepseek_v4,256x256,256,1.235e+12
deepseek_v4,256x256,512,2.111e+12
deepseek_v4,32x32,32,4.590e+12
deepseek_v4,32x32,64,6.426e+12
deepseek_v4,32x32,128,1.010e+13
deepseek_v4,32x32,256,1.744e+13
deepseek_v4,32x32,512,3.213e+13
deepseek_v4,512x512,32,2.719e+11
deepseek_v4,512x512,64,3.602e+11
deepseek_v4,512x512,128,5.369e+11
deepseek_v4,512x512,256,8.903e+11
deepseek_v4,512x512,512,1.597e+12
deepseek_v4,64x64,32,1.892e+12
deepseek_v4,64x64,64,2.385e+12
deepseek_v4,64x64,128,3.371e+12
deepseek_v4,64x64,256,5.343e+12
deepseek_v4,64x64,512,9.287e+12
llama_3_1_405b,128x128,32,2.965e+13
llama_3_1_405b,128x128,64,3.406e+13
llama_3_1_405b,128x128,128,4.287e+13
llama_3_1_405b,128x128,256,6.049e+13
llama_3_1_405b,128x128,512,9.574e+13
llama_3_1_405b,256x256,32,1.466e+13
llama_3_1_405b,256x256,64,1.665e+13
llama_3_1_405b,256x256,128,2.062e+13
llama_3_1_405b,256x256,256,2.857e+13
llama_3_1_405b,256x256,512,4.446e+13
llama_3_1_405b,32x32,32,1.556e+14
llama_3_1_405b,32x32,64,2.126e+14
llama_3_1_405b,32x32,128,3.266e+14
llama_3_1_405b,32x32,256,5.546e+14
llama_3_1_405b,32x32,512,1.011e+15
llama_3_1_405b,512x512,32,7.780e+12
llama_3_1_405b,512x512,64,9.212e+12
llama_3_1_405b,512x512,128,1.208e+13
llama_3_1_405b,512x512,256,1.780e+13
llama_3_1_405b,512x512,512,2.926e+13
llama_3_1_405b,64x64,32,6.545e+13
llama_3_1_405b,64x64,64,8.081e+13
llama_3_1_405b,64x64,128,1.115e+14
llama_3_1_405b,64x64,256,1.730e+14
llama_3_1_405b,64x64,512,2.958e+14
llama_3_1_70b,128x128,32,5.626e+12
llama_3_1_70b,128x128,64,6.907e+12
llama_3_1_70b,128x128,128,9.468e+12
llama_3_1_70b,128x128,256,1.459e+13
llama_3_1_70b,128x128,512,2.484e+13
llama_3_1_70b,256x256,32,3.058e+12
llama_3_1_70b,256x256,64,3.934e+12
llama_3_1_70b,256x256,128,5.687e+12
llama_3_1_70b,256x256,256,9.192e+12
llama_3_1_70b,256x256,512,1.620e+13
llama_3_1_70b,32x32,32,2.890e+13
llama_3_1_70b,32x32,64,4.082e+13
llama_3_1_70b,32x32,128,6.467e+13
llama_3_1_70b,32x32,256,1.124e+14
llama_3_1_70b,32x32,512,2.078e+14
llama_3_1_70b,512x512,32,1.903e+12
llama_3_1_70b,512x512,64,2.712e+12
llama_3_1_70b,512x512,128,4.332e+12
llama_3_1_70b,512x512,256,7.571e+12
llama_3_1_70b,512x512,512,1.405e+13
llama_3_1_70b,64x64,32,1.231e+13
llama_3_1_70b,64x64,64,1.599e+13
llama_3_1_70b,64x64,128,2.336e+13
llama_3_1_70b,64x64,256,3.810e+13
llama_3_1_70b,64x64,512,6.758e+13
llama_3_1_8b,128x128,32,8.147e+11
llama_3_1_8b,128x128,64,1.160e+12
llama_3_1_8b,128x128,128,1.851e+12
llama_3_1_8b,128x128,256,3.233e+12
llama_3_1_8b,128x128,512,5.997e+12
llama_3_1_8b,256x256,32,5.432e+11
llama_3_1_8b,256x256,64,8.509e+11
llama_3_1_8b,256x256,128,1.466e+12
llama_3_1_8b,256x256,256,2.697e+12
llama_3_1_8b,256x256,512,5.158e+12
llama_3_1_8b,32x32,32,3.935e+12
llama_3_1_8b,32x32,64,6.038e+12
llama_3_1_8b,32x32,128,1.024e+13
llama_3_1_8b,32x32,256,1.866e+13
llama_3_1_8b,32x32,512,3.548e+13
llama_3_1_8b,512x512,32,4.306e+11
llama_3_1_8b,512x512,64,7.431e+11
llama_3_1_8b,512x512,128,1.368e+12
llama_3_1_8b,512x512,256,2.618e+12
llama_3_1_8b,512x512,512,5.119e+12
llama_3_1_8b,64x64,32,1.738e+12
llama_3_1_8b,64x64,64,2.545e+12
llama_3_1_8b,64x64,128,4.159e+12
llama_3_1_8b,64x64,256,7.387e+12
llama_3_1_8b,64x64,512,1.384e+13
