model,array_dim,batch_size,cycle_count
deepseek_v4,128x128,32,6.613e+15
deepseek_v4,128x128,64,1.304e+16
deepseek_v4,128x128,128,2.590e+16
deepseek_v4,128x128,256,5.162e+16
deepseek_v4,128x128,512,1.031e+17
deepseek_v4,256x256,32,5.449e+15
deepseek_v4,256x256,64,1.081e+16
deepseek_v4,256x256,128,2.152e+16
deepseek_v4,256x256,256,4.294e+16
deepseek_v4,256x256,512,8.579e+16
deepseek_v4,32x32,32,2.657e+16
deepseek_v4,32x32,64,5.243e+16
deepseek_v4,32x32,128,1.041e+17
deepseek_v4,32x32,256,2.076e+17
deepseek_v4,32x32,512,4.144e+17
deepseek_v4,512x512,32,4.872e+15
deepseek_v4,512x512,64,9.697e+15
deepseek_v4,512x512,128,1.935e+16
deepseek_v4,512x512,256,3.864e+16
deepseek_v4,512x512,512,7.724e+16
deepseek_v4,64x64,32,8.975e+15
deepseek_v4,64x64,64,1.759e+16
deepseek_v4,64x64,128,3.481e+16
deepseek_v4,64x64,256,6.925e+16
deepseek_v4,64x64,512,1.381e+17
llama_3_1_405b,128x128,32,2.093e+15
llama_3_1_405b,128x128,64,3.367e+15
llama_3_1_405b,128x128,128,5.914e+15
llama_3_1_405b,128x128,256,1.101e+16
llama_3_1_405b,128x128,512,2.119e+16
llama_3_1_405b,256x256,32,1.578e+15
llama_3_1_405b,256x256,64,2.745e+15
llama_3_1_405b,256x256,128,5.078e+15
llama_3_1_405b,256x256,256,9.745e+15
llama_3_1_405b,256x256,512,1.908e+16
llama_3_1_405b,32x32,32,1.026e+16
llama_3_1_405b,32x32,64,1.732e+16
llama_3_1_405b,32x32,128,3.143e+16
llama_3_1_405b,32x32,256,5.967e+16
llama_3_1_405b,32x32,512,1.161e+17
llama_3_1_405b,512x512,32,1.341e+15
llama_3_1_405b,512x512,64,2.475e+15
llama_3_1_405b,512x512,128,4.743e+15
llama_3_1_405b,512x512,256,9.281e+15
llama_3_1_405b,512x512,512,1.836e+16
llama_3_1_405b,64x64,32,4.501e+15
llama_3_1_405b,64x64,64,7.375e+15
llama_3_1_405b,64x64,128,1.312e+16
llama_3_1_405b,64x64,256,2.462e+16
llama_3_1_405b,64x64,512,4.761e+16
llama_3_1_70b,128x128,32,8.798e+14
llama_3_1_70b,128x128,64,1.619e+15
llama_3_1_70b,128x128,128,3.096e+15
llama_3_1_70b,128x128,256,6.051e+15
llama_3_1_70b,128x128,512,1.196e+16
llama_3_1_70b,256x256,32,7.886e+14
llama_3_1_70b,256x256,64,1.506e+15
llama_3_1_70b,256x256,128,2.942e+15
llama_3_1_70b,256x256,256,5.813e+15
llama_3_1_70b,256x256,512,1.156e+16
llama_3_1_70b,32x32,32,3.915e+15
llama_3_1_70b,32x32,64,7.279e+15
llama_3_1_70b,32x32,128,1.401e+16
llama_3_1_70b,32x32,256,2.746e+16
llama_3_1_70b,32x32,512,5.438e+16
llama_3_1_70b,512x512,32,7.472e+14
llama_3_1_70b,512x512,64,1.459e+15
llama_3_1_70b,512x512,128,2.882e+15
llama_3_1_70b,512x512,256,5.729e+15
llama_3_1_70b,512x512,512,1.142e+16
llama_3_1_70b,64x64,32,1.825e+15
llama_3_1_70b,64x64,64,3.371e+15
llama_3_1_70b,64x64,128,6.461e+15
llama_3_1_70b,64x64,256,1.264e+16
llama_3_1_70b,64x64,512,2.500e+16
llama_3_1_8b,128x128,32,3.011e+14
llama_3_1_8b,128x128,64,5.870e+14
llama_3_1_8b,128x128,128,1.159e+15
llama_3_1_8b,128x128,256,2.302e+15
llama_3_1_8b,128x128,512,4.589e+15
llama_3_1_8b,256x256,32,2.913e+14
llama_3_1_8b,256x256,64,5.749e+14
llama_3_1_8b,256x256,128,1.142e+15
llama_3_1_8b,256x256,256,2.277e+15
llama_3_1_8b,256x256,512,4.545e+15
llama_3_1_8b,32x32,32,1.252e+15
llama_3_1_8b,32x32,64,2.444e+15
llama_3_1_8b,32x32,128,4.828e+15
llama_3_1_8b,32x32,256,9.596e+15
llama_3_1_8b,32x32,512,1.913e+16
llama_3_1_8b,512x512,32,2.871e+14
llama_3_1_8b,512x512,64,5.703e+14
llama_3_1_8b,512x512,128,1.137e+15
llama_3_1_8b,512x512,256,2.270e+15
llama_3_1_8b,512x512,512,4.536e+15
llama_3_1_8b,64x64,32,6.100e+14
llama_3_1_8b,64x64,64,1.190e+15
llama_3_1_8b,64x64,128,2.349e+15
llama_3_1_8b,64x64,256,4.668e+15
llama_3_1_8b,64x64,512,9.306e+15
