model,array_dim,array_m,array_n,pe_count,batch_size,frequency,max_seq_len,cycle_count,llama_cycle_count,runtime_ms,runtime_ms_per_sequence,throughput_tokens_per_s,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase
deepseek_v4,32x32,32,32,1024,32,1000,1048576,1.3853287983735254e+17,1.3853287983735254e+17,138532879837.35254,4329152494.917267,0.24173969413844817,1.1761884621899366e+18,1.3853287983735254e+17,8.49031986897887,110.23514929470332,prefill
deepseek_v4,32x32,32,32,1024,64,1000,1048576,2.7706612065747885e+17,2.7706612065747885e+17,277066120657.4788,4329158135.273107,0.24173937918162453,2.2806224004704174e+18,2.7706612065747885e+17,8.231329023766936,92.00420600026062,prefill
deepseek_v4,32x32,32,32,1024,128,1000,1048576,5.541322413149577e+17,5.541322413149577e+17,554132241314.9576,4329158135.273107,0.24173937918162453,4.489490277031379e+18,5.541322413149577e+17,8.101839132077576,92.21927607081214,prefill
deepseek_v4,32x32,32,32,1024,256,1000,1048576,1.108263580172981e+18,1.108263580172981e+18,1108263580172.981,4329154610.050707,0.24173957602954313,8.907226009308135e+18,1.108263580172981e+18,8.037100712014619,103.2483188232678,prefill
deepseek_v4,32x32,32,32,1024,512,1000,1048576,2.2165262578890276e+18,2.2165262578890276e+18,2216526257889.0273,4329152847.439507,0.2417396744536227,1.8040177530236731e+19,2.2165262578890276e+18,8.138941492810382,109.80311257946404,prefill
deepseek_v4,32x64,32,64,2048,32,1000,1048576,6.926978342370652e+16,6.926978342370652e+16,69269783423.70653,2164680731.990829,0.4834560517557347,1.1761884621899366e+18,6.926978342370652e+16,16.979820118614725,186.8799867355164,prefill
deepseek_v4,32x64,32,64,2048,64,1000,1048576,1.3853956556816203e+17,1.3853956556816203e+17,138539565568.16205,2164680712.002532,0.48345605621988647,2.2806224004704174e+18,1.3853956556816205e+17,16.461885029864206,187.98794376774595,prefill
deepseek_v4,32x64,32,64,2048,128,1000,1048576,2.7707890664144534e+17,2.7707890664144534e+17,277078906641.4454,2164678958.136292,0.4834564479256645,4.489490277031379e+18,2.7707890664144538e+17,16.2029305350227,211.1360416942887,prefill
deepseek_v4,32x64,32,64,2048,256,1000,1048576,5.5415758878801197e+17,5.5415758878801197e+17,554157588788.012,2164678081.2031717,0.48345664377879166,8.907226009308135e+18,5.5415758878801197e+17,16.073453092628345,224.93059976439903,prefill
deepseek_v4,32x64,32,64,2048,512,1000,1048576,1.1083151762967729e+18,1.1083151762967729e+18,1108315176296.773,2164678078.7046347,0.48345664433681196,1.8040177530236731e+19,1.108315176296773e+18,16.277118563434815,225.09974175654452,prefill
