model,array_dim,array_m,array_n,pe_count,batch_size,frequency,max_seq_len,cycle_count,llama_cycle_count,runtime_ms,runtime_ms_per_sequence,throughput_tokens_per_s,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase
deepseek_v4,32x32,32,32,1024,32,1000,1048576,1.385e+17,1.385e+17,1.385e+11,4.329e+09,2.417e-01,1.176e+18,1.385e+17,8.5,110.2,prefill
deepseek_v4,32x32,32,32,1024,64,1000,1048576,2.771e+17,2.771e+17,2.771e+11,4.329e+09,2.417e-01,2.281e+18,2.771e+17,8.2,92.0,prefill
deepseek_v4,32x32,32,32,1024,128,1000,1048576,5.541e+17,5.541e+17,5.541e+11,4.329e+09,2.417e-01,4.489e+18,5.541e+17,8.1,92.2,prefill
deepseek_v4,32x32,32,32,1024,256,1000,1048576,1.108e+18,1.108e+18,1.108e+12,4.329e+09,2.417e-01,8.907e+18,1.108e+18,8.0,103.2,prefill
deepseek_v4,32x32,32,32,1024,512,1000,1048576,2.217e+18,2.217e+18,2.217e+12,4.329e+09,2.417e-01,1.804e+19,2.217e+18,8.1,109.8,prefill
deepseek_v4,32x64,32,64,2048,32,1000,1048576,6.927e+16,6.927e+16,6.927e+10,2.165e+09,4.835e-01,1.176e+18,6.927e+16,17.0,186.9,prefill
deepseek_v4,32x64,32,64,2048,64,1000,1048576,1.385e+17,1.385e+17,1.385e+11,2.165e+09,4.835e-01,2.281e+18,1.385e+17,16.5,188.0,prefill
deepseek_v4,32x64,32,64,2048,128,1000,1048576,2.771e+17,2.771e+17,2.771e+11,2.165e+09,4.835e-01,4.489e+18,2.771e+17,16.2,211.1,prefill
deepseek_v4,32x64,32,64,2048,256,1000,1048576,5.542e+17,5.542e+17,5.542e+11,2.165e+09,4.835e-01,8.907e+18,5.542e+17,16.1,224.9,prefill
deepseek_v4,32x64,32,64,2048,512,1000,1048576,1.108e+18,1.108e+18,1.108e+12,2.165e+09,4.835e-01,1.804e+19,1.108e+18,16.3,225.1,prefill
deepseek_v4,32x128,32,128,4096,32,1000,1048576,3.464e+16,3.464e+16,3.464e+10,1.082e+09,9.668e-01,1.176e+18,3.464e+16,34.0,350.2,prefill
deepseek_v4,32x128,32,128,4096,64,1000,1048576,6.928e+16,6.928e+16,6.928e+10,1.082e+09,9.668e-01,2.281e+18,6.928e+16,32.9,392.3,prefill
deepseek_v4,32x128,32,128,4096,128,1000,1048576,1.386e+17,1.386e+17,1.386e+11,1.082e+09,9.668e-01,4.489e+18,1.386e+17,32.4,416.6,prefill
deepseek_v4,32x128,32,128,4096,256,1000,1048576,2.771e+17,2.771e+17,2.771e+11,1.082e+09,9.668e-01,8.907e+18,2.771e+17,32.1,417.0,prefill
deepseek_v4,32x128,32,128,4096,512,1000,1048576,5.542e+17,5.542e+17,5.542e+11,1.082e+09,9.668e-01,1.804e+19,5.542e+17,32.6,417.4,prefill
deepseek_v4,32x256,32,256,8192,32,1000,1048576,1.732e+16,1.747e+16,1.747e+10,5.459e+08,1.917e+00,1.176e+18,1.732e+16,67.9,677.2,prefill
deepseek_v4,32x256,32,256,8192,64,1000,1048576,3.465e+16,3.465e+16,3.465e+10,5.414e+08,1.933e+00,2.281e+18,3.465e+16,65.8,718.5,prefill
deepseek_v4,32x256,32,256,8192,128,1000,1048576,6.929e+16,6.930e+16,6.930e+10,5.414e+08,1.933e+00,4.489e+18,6.929e+16,64.8,720.2,prefill
