model,array_dim,batch_size,pe_count,useful_macs,cycle_count,utilization
deepseek_v4,128x128,32,16384,2.344e+18,1.703e+14,0.8405
deepseek_v4,128x128,64,16384,4.689e+18,3.047e+14,0.9393
deepseek_v4,128x128,128,16384,9.378e+18,5.736e+14,0.9979
deepseek_v4,128x128,256,16384,1.876e+19,1.147e+15,0.9979
deepseek_v4,128x128,512,16384,3.751e+19,2.294e+15,0.9979
deepseek_v4,256x256,32,65536,2.344e+18,5.164e+13,0.6927
deepseek_v4,256x256,64,65536,4.689e+18,8.532e+13,0.8385
deepseek_v4,256x256,128,65536,9.378e+18,1.527e+14,0.9371
deepseek_v4,256x256,256,65536,1.876e+19,2.874e+14,0.9957
deepseek_v4,256x256,512,65536,3.751e+19,5.748e+14,0.9957
deepseek_v4,32x32,32,1024,2.344e+18,2.291e+15,0.9995
deepseek_v4,32x32,64,1024,4.689e+18,4.582e+15,0.9994
deepseek_v4,32x32,128,1024,9.378e+18,9.163e+15,0.9994
deepseek_v4,32x32,256,1024,1.876e+19,1.833e+16,0.9995
deepseek_v4,32x32,512,1024,3.751e+19,3.665e+16,0.9995
deepseek_v4,512x512,32,262144,2.344e+18,2.594e+13,0.3448
deepseek_v4,512x512,64,262144,4.689e+18,4.285e+13,0.4175
deepseek_v4,512x512,128,262144,9.378e+18,7.666e+13,0.4667
deepseek_v4,512x512,256,262144,1.876e+19,1.443e+14,0.4959
deepseek_v4,512x512,512,262144,3.751e+19,2.795e+14,0.5119
deepseek_v4,64x64,32,4096,2.344e+18,6.087e+14,0.9403
deepseek_v4,64x64,64,4096,4.689e+18,1.146e+15,0.9989
deepseek_v4,64x64,128,4096,9.378e+18,2.292e+15,0.9990
deepseek_v4,64x64,256,4096,1.876e+19,4.584e+15,0.9990
deepseek_v4,64x64,512,4096,3.751e+19,9.167e+15,0.9990
llama_3_1_405b,128x128,32,16384,2.829e+18,9.642e+14,0.1791
llama_3_1_405b,128x128,64,16384,5.657e+18,1.521e+15,0.2270
llama_3_1_405b,128x128,128,16384,1.131e+19,2.634e+15,0.2621
llama_3_1_405b,128x128,256,16384,2.263e+19,5.269e+15,0.2621
llama_3_1_405b,128x128,512,16384,4.526e+19,1.054e+16,0.2621
llama_3_1_405b,256x256,32,65536,2.829e+18,7.602e+14,0.0568
llama_3_1_405b,256x256,64,65536,5.657e+18,1.317e+15,0.0656
llama_3_1_405b,256x256,128,65536,1.131e+19,2.430e+15,0.0710
llama_3_1_405b,256x256,256,65536,2.263e+19,4.657e+15,0.0741
llama_3_1_405b,256x256,512,65536,4.526e+19,9.314e+15,0.0741
llama_3_1_405b,32x32,32,1024,2.829e+18,3.871e+15,0.7135
llama_3_1_405b,32x32,64,1024,5.657e+18,7.756e+15,0.7123
llama_3_1_405b,32x32,128,1024,1.131e+19,1.551e+16,0.7123
llama_3_1_405b,32x32,256,1024,2.263e+19,3.099e+16,0.7131
llama_3_1_405b,32x32,512,1024,4.526e+19,6.195e+16,0.7134
llama_3_1_405b,512x512,32,262144,2.829e+18,6.603e+14,0.0163
llama_3_1_405b,512x512,64,262144,5.657e+18,1.219e+15,0.0177
llama_3_1_405b,512x512,128,262144,1.131e+19,2.336e+15,0.0185
llama_3_1_405b,512x512,256,262144,2.263e+19,4.571e+15,0.0189
llama_3_1_405b,512x512,512,262144,4.526e+19,9.039e+15,0.0191
llama_3_1_405b,64x64,32,4096,2.829e+18,1.931e+15,0.3576
llama_3_1_405b,64x64,64,4096,5.657e+18,3.049e+15,0.4530
llama_3_1_405b,64x64,128,4096,1.131e+19,6.093e+15,0.4533
llama_3_1_405b,64x64,256,4096,2.263e+19,1.218e+16,0.4535
llama_3_1_405b,64x64,512,4096,4.526e+19,2.437e+16,0.4535
llama_3_1_70b,128x128,32,16384,6.519e+17,4.229e+14,0.0941
llama_3_1_70b,128x128,64,16384,1.304e+18,7.756e+14,0.1026
llama_3_1_70b,128x128,128,16384,2.608e+18,1.481e+15,0.1075
llama_3_1_70b,128x128,256,16384,5.215e+18,2.962e+15,0.1075
llama_3_1_70b,128x128,512,16384,1.043e+19,5.925e+15,0.1075
llama_3_1_70b,256x256,32,65536,6.519e+17,3.883e+14,0.0256
