model,array_dim,batch_size,pe_count,useful_macs,cycle_count,utilization
deepseek_v4,128x128,32,16384,4789260049711104.0,741923032697.7964,0.3939940163241521
deepseek_v4,128x128,64,16384,9578520099422208.0,901439298803.5929,0.6485477964938151
deepseek_v4,128x128,128,16384,1.9157040198844416e+16,1220471831015.1858,0.9580335343351742
deepseek_v4,128x128,256,16384,3.831408039768883e+16,2440943662030.3716,0.9580335343351742
deepseek_v4,128x128,512,16384,7.662816079537766e+16,4881887324060.743,0.9580335343351742
deepseek_v4,256x256,32,65536,4789260049711104.0,331473981807.86755,0.22046469066871868
deepseek_v4,256x256,64,65536,9578520099422208.0,376145674975.735,0.38856386621334543
deepseek_v4,256x256,128,65536,1.9157040198844416e+16,467277907391.47,0.6255661370506644
deepseek_v4,256x256,256,65536,3.831408039768883e+16,649542372222.94,0.9000590198776761
deepseek_v4,256x256,512,65536,7.662816079537766e+16,1297295898365.88,0.9013001145666403
deepseek_v4,32x32,32,1024,4789260049711104.0,4735541468835.4,0.9876403359732812
deepseek_v4,32x32,64,1024,9578520099422208.0,9832065711430.8,0.9513792736064582
deepseek_v4,32x32,128,1024,1.9157040198844416e+16,19664131422861.6,0.9513792736064582
deepseek_v4,32x32,256,1024,3.831408039768883e+16,38425805911323.2,0.973723081429044
deepseek_v4,32x32,512,1024,7.662816079537766e+16,75949154888246.4,0.9852932318581564
deepseek_v4,512x512,32,262144,4789260049711104.0,163870235699.14206,0.1114880755376594
deepseek_v4,512x512,64,262144,9578520099422208.0,184330926182.28415,0.19822584950214253
deepseek_v4,512x512,128,262144,1.9157040198844416e+16,225252307148.5683,0.3244286808383285
deepseek_v4,512x512,256,262144,3.831408039768883e+16,306867055001.1366,0.4762864417865211
deepseek_v4,512x512,512,262144,7.662816079537766e+16,470096550706.27313,0.621815316485153
deepseek_v4,64x64,32,4096,4789260049711104.0,1793358169408.6316,0.6519907521928912
deepseek_v4,64x64,64,4096,9578520099422208.0,2452035472001.2627,0.9536998588929042
deepseek_v4,64x64,128,4096,1.9157040198844416e+16,4791263827202.525,0.9761540870995548
deepseek_v4,64x64,256,4096,3.831408039768883e+16,9469720537605.05,0.9877824268885647
deepseek_v4,64x64,512,4096,7.662816079537766e+16,18939441075210.1,0.9877824268885647
llama_3_1_405b,128x128,32,16384,5.430556434314035e+16,8935638744116.55,0.37093583344675635
llama_3_1_405b,128x128,64,16384,1.086111286862807e+17,10906626259049.104,0.607804563244836
llama_3_1_405b,128x128,128,16384,2.172222573725614e+17,14848601288914.207,0.8928918058841282
llama_3_1_405b,128x128,256,16384,4.344445147451228e+17,29697202577828.414,0.8928918058841282
llama_3_1_405b,128x128,512,16384,8.688890294902456e+17,59394405155656.83,0.8928918058841282
llama_3_1_405b,256x256,32,65536,5.430556434314035e+16,4116135497230.402,0.2013143522096296
llama_3_1_405b,256x256,64,65536,1.086111286862807e+17,4939202206748.803,0.33553481576428307
llama_3_1_405b,256x256,128,65536,2.172222573725614e+17,6648421234745.605,0.49854672077721135
llama_3_1_405b,256x256,256,65536,4.344445147451228e+17,10066859290739.21,0.6585069899560724
llama_3_1_405b,256x256,512,65536,8.688890294902456e+17,20070632972518.42,0.6605767958522132
llama_3_1_405b,32x32,32,1024,5.430556434314035e+16,53853173452749.73,0.9847660644433233
llama_3_1_405b,32x32,64,1024,1.086111286862807e+17,120626279620507.45,0.8792906130519836
llama_3_1_405b,32x32,128,1024,2.172222573725614e+17,241252559241014.9,0.8792906130519836
llama_3_1_405b,32x32,256,1024,4.344445147451228e+17,450205286694509.8,0.9423750319455274
llama_3_1_405b,32x32,512,1024,8.688890294902456e+17,868110741601499.6,0.9774380182143598
llama_3_1_405b,512x512,32,262144,5.430556434314035e+16,2167609393601.5896,0.09557039585614392
llama_3_1_405b,512x512,64,262144,1.086111286862807e+17,2720210420611.1797,0.15231122286595405
llama_3_1_405b,512x512,128,262144,2.172222573725614e+17,3825412474630.3594,0.21661380484520673
llama_3_1_405b,512x512,256,262144,4.344445147451228e+17,6027930799628.719,0.27493253614757446
llama_3_1_405b,512x512,512,262144,8.688890294902456e+17,10432967449625.438,0.31769950600651
llama_3_1_405b,64x64,32,4096,5.430556434314035e+16,21950713088064.797,0.6039983469567028
llama_3_1_405b,64x64,64,4096,1.086111286862807e+17,30981493461121.594,0.8558783285479502
llama_3_1_405b,64x64,128,4096,2.172222573725614e+17,57925507948803.19,0.9155340981337691
llama_3_1_405b,64x64,256,4096,4.344445147451228e+17,111813536924166.38,0.9485931513787214
llama_3_1_405b,64x64,512,4096,8.688890294902456e+17,223627073848332.75,0.9485931513787214
llama_3_1_70b,128x128,32,16384,9549576314814464.0,1733546002627.9058,0.33622406420852685
llama_3_1_70b,128x128,64,16384,1.909915262962893e+16,2268187431303.8115,0.5139433139006131
llama_3_1_70b,128x128,128,16384,3.819830525925786e+16,3337470288655.623,0.6985648794863533
llama_3_1_70b,128x128,256,16384,7.639661051851571e+16,6674940577311.246,0.6985648794863533
llama_3_1_70b,128x128,512,16384,1.5279322103703142e+17,13349881154622.492,0.6985648794863533
llama_3_1_70b,256x256,32,65536,9549576314814464.0,907576237634.0327,0.16055397285837436
llama_3_1_70b,256x256,64,65536,1.909915262962893e+16,1248279116932.0654,0.23346536627501746
llama_3_1_70b,256x256,128,65536,3.819830525925786e+16,1940544518408.1309,0.30035893377706796
llama_3_1_70b,256x256,256,65536,7.639661051851571e+16,3325075321360.2617,0.350584468719678
llama_3_1_70b,256x256,512,65536,1.5279322103703142e+17,6639290999840.523,0.3511579067764919
llama_3_1_70b,32x32,32,1024,9549576314814464.0,10104384306387.89,0.9229417485675351
llama_3_1_70b,32x32,64,1024,1.909915262962893e+16,22432823474599.78,0.8314386399460917
llama_3_1_70b,32x32,128,1024,3.819830525925786e+16,44865646949199.56,0.8314386399460917
llama_3_1_70b,32x32,256,1024,7.639661051851571e+16,84171156743839.12,0.8863614074657321
llama_3_1_70b,32x32,512,1024,1.5279322103703142e+17,162782176333118.25,0.9166367797763532
llama_3_1_70b,512x512,32,262144,9549576314814464.0,578914908152.8824,0.06292590179139027
llama_3_1_70b,512x512,64,262144,1.909915262962893e+16,879814569969.7649,0.08281004634249665
llama_3_1_70b,512x512,128,262144,3.819830525925786e+16,1481613893603.5298,0.09834881493288182
llama_3_1_70b,512x512,256,262144,7.639661051851571e+16,2683855044551.0596,0.10858631945852679
llama_3_1_70b,512x512,512,262144,1.5279322103703142e+17,5088337346446.119,0.11454819969888409
