model,array_dim,batch_size,pe_count,useful_macs,compute_cycle_count,with_load_cycle_count,utilization,utilization_with_load
deepseek_v4,128x128,32,16384,1.4184398421840259e+20,8660879705952536.0,8878656121262360.0,0.9996062794801945,0.9750878535728021
deepseek_v4,128x128,64,16384,2.8368796843680517e+20,1.7321745241055792e+16,1.7466929517929008e+16,0.9996070972540233,0.9912984112068738
deepseek_v4,128x128,128,16384,5.6737593687361035e+20,3.4643476311262304e+16,3.4643476311262304e+16,0.9996075061414395,0.9996075061414395
deepseek_v4,128x128,256,16384,1.1347518737472207e+21,6.928695262252461e+16,6.928695262252461e+16,0.9996075061414395,0.9996075061414395
deepseek_v4,128x128,512,16384,2.2695037474944414e+21,1.3857390524504922e+17,1.3857390524504922e+17,0.9996075061414395,0.9996075061414395
deepseek_v4,256x256,32,65536,1.4184398421840259e+20,2166087363347115.8,2293523998851756.0,0.9992059746051636,0.94368641272416
deepseek_v4,256x256,64,65536,2.8368796843680517e+20,4332172937848151.5,4441404339709272.0,0.9992063871985011,0.9746320170051711
deepseek_v4,256x256,128,65536,5.6737593687361035e+20,8664345875696303.0,8737166810270383.0,0.9992063871985011,0.9908783851666922
deepseek_v4,256x256,256,65536,1.1347518737472207e+21,1.7328691751392606e+16,1.7328691751392606e+16,0.9992063871985011,0.9992063871985011
deepseek_v4,256x256,512,65536,2.2695037474944414e+21,3.4657381713939132e+16,3.4657381713939132e+16,0.9992064387726922,0.9992064387726922
deepseek_v4,32x32,32,1024,1.4184398421840259e+20,1.3853287983735254e+17,1.3853287983735254e+17,0.9999035319334698,0.9999035319334698
deepseek_v4,32x32,64,1024,2.8368796843680517e+20,2.7706612065747885e+17,2.7706612065747885e+17,0.9999022291832469,0.9999022291832469
deepseek_v4,32x32,128,1024,5.6737593687361035e+20,5.541322413149577e+17,5.541322413149577e+17,0.9999022291832469,0.9999022291832469
deepseek_v4,32x32,256,1024,1.1347518737472207e+21,1.108263580172981e+18,1.108263580172981e+18,0.9999030434017384,0.9999030434017384
deepseek_v4,32x32,512,1024,2.2695037474944414e+21,2.2165262578890276e+18,2.2165262578890276e+18,0.9999034505114814,0.9999034505114814
deepseek_v4,512x512,32,262144,1.4184398421840259e+20,541951195268014.75,1148017261653853.5,0.9984143654775154,0.4713272847167731
deepseek_v4,512x512,64,262144,2.8368796843680517e+20,1083902390536029.5,2222752245702331.0,0.9984143654775154,0.48686655005252305
deepseek_v4,512x512,128,262144,5.6737593687361035e+20,2167804781072059.0,4372222213799286.0,0.9984143654775154,0.49502686028678206
deepseek_v4,512x512,256,262144,1.1347518737472207e+21,4335609334130038.0,8671161921979116.0,0.9984144179851367,0.49921047593104717
deepseek_v4,512x512,512,262144,2.2695037474944414e+21,8671218440245996.0,1.7269041338338776e+16,0.9984144442389494,0.5013289139954977
deepseek_v4,64x64,32,4096,1.4184398421840259e+20,3.4636523870108804e+16,3.4926434831580292e+16,0.9998081530767123,0.9915091284455634
deepseek_v4,64x64,64,4096,2.8368796843680517e+20,6.927304774021761e+16,6.927304774021761e+16,0.9998081530767123,0.9998081530767123
deepseek_v4,64x64,128,4096,5.6737593687361035e+20,1.3854598267331842e+17,1.3854598267331842e+17,0.999808967141999,0.999808967141999
deepseek_v4,64x64,256,4096,1.1347518737472207e+21,2.7709185253952003e+17,2.7709185253952003e+17,0.9998093741751395,0.9998093741751395
deepseek_v4,64x64,512,4096,2.2695037474944414e+21,5.5418370507904006e+17,5.5418370507904006e+17,0.9998093741751395,0.9998093741751395
llama_3_1_405b,128x128,32,16384,2.828634127211692e+18,173199326848830.94,964189607770615.5,0.9968059868912437,0.17905827291339277
llama_3_1_405b,128x128,64,16384,5.657268254423384e+18,345893968825981.9,1520896650146799.2,0.9982604005177419,0.22703202865465438
llama_3_1_405b,128x128,128,16384,1.1314536508846768e+19,691283252780283.8,2634310734899166.5,0.9989892000657018,0.26214997895463743
llama_3_1_405b,128x128,256,16384,2.2629073017693536e+19,1382566505560567.5,5268621469798333.0,0.9989892000657018,0.26214997895463743
llama_3_1_405b,128x128,512,16384,4.525814603538707e+19,2765133011121135.0,1.0537242939596666e+16,0.9989892000657018,0.26214997895463743
llama_3_1_405b,256x256,32,65536,2.828634127211692e+18,60666092654566.41,760227463888486.4,0.7114605472924451,0.05677449649259597
llama_3_1_405b,256x256,64,65536,5.657268254423384e+18,121269099700172.81,1316902901906636.8,0.7118306574193276,0.0655500590356691
llama_3_1_405b,256x256,128,65536,1.1314536508846768e+19,242538199400345.62,2430316863551897.5,0.7118306574193276,0.07103852527119713
llama_3_1_405b,256x256,256,65536,2.2629073017693536e+19,485076398800691.25,4657144786842419.0,0.7118306574193276,0.07414247734629846
llama_3_1_405b,256x256,512,65536,4.525814603538707e+19,970089711992422.5,9314226488075878.0,0.7118769482622719,0.0741429795161071
llama_3_1_405b,32x32,32,1024,2.828634127211692e+18,2762890868819059.0,3871489184237798.0,0.9997999001805934,0.7135078734306228
llama_3_1_405b,32x32,64,1024,5.657268254423384e+18,5538701670353126.0,7755898301190604.0,0.9974677024549156,0.712319297541878
llama_3_1_405b,32x32,128,1024,1.1314536508846768e+19,1.1077403340706252e+16,1.5511796602381208e+16,0.9974677024549156,0.712319297541878
llama_3_1_405b,32x32,256,1024,2.2629073017693536e+19,2.2122506849624984e+16,3.0991293372974896e+16,0.9989240491167916,0.7130616929370205
llama_3_1_405b,32x32,512,1024,4.525814603538707e+19,4.421271386746245e+16,6.195028691416227e+16,0.9996538183603557,0.7134334712431953
llama_3_1_405b,512x512,32,262144,2.828634127211692e+18,23923731125549.438,660349196707246.0,0.4510326091653977,0.016340419469476123
llama_3_1_405b,512x512,64,262144,5.657268254423384e+18,47847462251098.875,1218952866319196.0,0.4510326091653977,0.017704348000117703
llama_3_1_405b,512x512,128,262144,1.1314536508846768e+19,95694924502197.75,2336160205543096.0,0.4510326091653977,0.01847541593239239
llama_3_1_405b,512x512,256,262144,2.2629073017693536e+19,191381963221355.5,4570566998207856.0,0.4510511937030416,0.018886729589145446
llama_3_1_405b,512x512,512,262144,4.525814603538707e+19,382756040659671.0,9039380583537376.0,0.4510604865461992,0.019099331456723163
llama_3_1_405b,64x64,32,4096,2.828634127211692e+18,692480008504801.8,1931333524723591.0,0.9972627299449374,0.357568744535011
llama_3_1_405b,64x64,64,4096,5.657268254423384e+18,1384960017009603.5,3048711288401678.0,0.9972627299449374,0.45303371712566387
llama_3_1_405b,64x64,128,4096,1.1314536508846768e+19,2765882555045767.0,6093385097829916.0,0.9987184776938078,0.4533338974158946
llama_3_1_405b,64x64,256,4096,2.2629073017693536e+19,5527727631118094.0,1.2182732716686392e+16,0.9994479464960286,0.45348413678511734
llama_3_1_405b,64x64,512,4096,4.525814603538707e+19,1.1055455262236188e+16,2.4365465433372784e+16,0.9994479464960286,0.45348413678511734
llama_3_1_70b,128x128,32,16384,6.518899557982536e+17,39902468073963.35,422892614885045.6,0.9971364487078956,0.09408583623709668
llama_3_1_70b,128x128,64,16384,1.3037799115965071e+18,79718059004886.7,775640624479595.2,0.998223133042238,0.10259443369575263
llama_3_1_70b,128x128,128,16384,2.6075598231930143e+18,159349240866733.4,1481136643668694.5,0.9987673638992126,0.1074531657292572
llama_3_1_70b,128x128,256,16384,5.215119646386029e+18,318698481733466.8,2962273287337389.0,0.9987673638992126,0.1074531657292572
llama_3_1_70b,128x128,512,16384,1.0430239292772057e+19,637396963466933.6,5924546574674778.0,0.9987673638992126,0.1074531657292572
llama_3_1_70b,256x256,32,65536,6.518899557982536e+17,15498554353558.348,388302567109323.1,0.6418051065004159,0.025616753969817295
llama_3_1_70b,256x256,64,65536,1.3037799115965071e+18,30986249064236.695,741565410502038.2,0.6420300377026633,0.026827171781795667
llama_3_1_70b,256x256,128,65536,2.6075598231930143e+18,61972498128473.39,1448101956930348.5,0.6420300377026633,0.027476107686708797
llama_3_1_70b,256x256,256,65536,5.215119646386029e+18,123944996256946.78,2861175049786969.0,0.6420300377026633,0.02781249285178442
llama_3_1_70b,256x256,512,65536,1.0430239292772057e+19,247879132871013.56,5722339239931058.0,0.6420581651890189,0.027812545633300385
llama_3_1_70b,32x32,32,1024,6.518899557982536e+17,636786794154118.0,1692594713600535.8,0.999724383111432,0.37611560513799214
llama_3_1_70b,32x32,64,1024,1.3037799115965071e+18,1275797643170060.0,3387413482062895.5,0.9979815974223016,0.37586866104786426
llama_3_1_70b,32x32,128,1024,2.6075598231930143e+18,2551595286340120.0,6774826964125791.0,0.9979815974223016,0.37586866104786426
llama_3_1_70b,32x32,256,1024,5.215119646386029e+18,5097630435525680.0,1.3544093791097022e+16,0.9990701256374355,0.3760229630882784
llama_3_1_70b,32x32,512,1024,1.0430239292772057e+19,1.01897007338968e+16,2.7082627445039484e+16,0.9996152806984755,0.376100161626429
llama_3_1_70b,512x512,32,262144,6.518899557982536e+17,6656282233285.281,372133998965074.0,0.37359636276189434,0.006682439225622572
llama_3_1_70b,512x512,64,262144,1.3037799115965071e+18,13312564466570.562,726753037410980.0,0.37359636276189434,0.006843487963204016
llama_3_1_70b,512x512,128,262144,2.6075598231930143e+18,26625128933141.125,1435991114302792.0,0.37359636276189434,0.006926958828932261
llama_3_1_70b,512x512,256,262144,5.215119646386029e+18,53248900369962.25,2854465910590096.0,0.3736058870090448,0.006969465839885734
llama_3_1_70b,512x512,512,262144,1.0430239292772057e+19,106496443243604.5,5691415503164704.0,0.37361064931472654,0.006990915579406884
llama_3_1_70b,64x64,32,4096,6.518899557982536e+17,159519879907578.47,845781782644691.8,0.9976989785349442,0.1881724393993802
