model,array_dim,batch_size,pe_count,useful_macs,compute_cycle_count,with_load_cycle_count,utilization,utilization_with_load
deepseek_v4,128x128,32,16384,1.418e+20,8.661e+15,8.879e+15,0.9996,0.9751
deepseek_v4,128x128,64,16384,2.837e+20,1.732e+16,1.747e+16,0.9996,0.9913
deepseek_v4,128x128,128,16384,5.674e+20,3.464e+16,3.464e+16,0.9996,0.9996
deepseek_v4,128x128,256,16384,1.135e+21,6.929e+16,6.929e+16,0.9996,0.9996
deepseek_v4,128x128,512,16384,2.270e+21,1.386e+17,1.386e+17,0.9996,0.9996
deepseek_v4,256x256,32,65536,1.418e+20,2.166e+15,2.294e+15,0.9992,0.9437
deepseek_v4,256x256,64,65536,2.837e+20,4.332e+15,4.441e+15,0.9992,0.9746
deepseek_v4,256x256,128,65536,5.674e+20,8.664e+15,8.737e+15,0.9992,0.9909
deepseek_v4,256x256,256,65536,1.135e+21,1.733e+16,1.733e+16,0.9992,0.9992
deepseek_v4,256x256,512,65536,2.270e+21,3.466e+16,3.466e+16,0.9992,0.9992
deepseek_v4,32x32,32,1024,1.418e+20,1.385e+17,1.385e+17,0.9999,0.9999
deepseek_v4,32x32,64,1024,2.837e+20,2.771e+17,2.771e+17,0.9999,0.9999
deepseek_v4,32x32,128,1024,5.674e+20,5.541e+17,5.541e+17,0.9999,0.9999
deepseek_v4,32x32,256,1024,1.135e+21,1.108e+18,1.108e+18,0.9999,0.9999
deepseek_v4,32x32,512,1024,2.270e+21,2.217e+18,2.217e+18,0.9999,0.9999
deepseek_v4,512x512,32,262144,1.418e+20,5.420e+14,1.148e+15,0.9984,0.4713
deepseek_v4,512x512,64,262144,2.837e+20,1.084e+15,2.223e+15,0.9984,0.4869
deepseek_v4,512x512,128,262144,5.674e+20,2.168e+15,4.372e+15,0.9984,0.4950
deepseek_v4,512x512,256,262144,1.135e+21,4.336e+15,8.671e+15,0.9984,0.4992
deepseek_v4,512x512,512,262144,2.270e+21,8.671e+15,1.727e+16,0.9984,0.5013
deepseek_v4,64x64,32,4096,1.418e+20,3.464e+16,3.493e+16,0.9998,0.9915
deepseek_v4,64x64,64,4096,2.837e+20,6.927e+16,6.927e+16,0.9998,0.9998
deepseek_v4,64x64,128,4096,5.674e+20,1.385e+17,1.385e+17,0.9998,0.9998
deepseek_v4,64x64,256,4096,1.135e+21,2.771e+17,2.771e+17,0.9998,0.9998
deepseek_v4,64x64,512,4096,2.270e+21,5.542e+17,5.542e+17,0.9998,0.9998
llama_3_1_405b,128x128,32,16384,2.829e+18,1.732e+14,9.642e+14,0.9968,0.1791
llama_3_1_405b,128x128,64,16384,5.657e+18,3.459e+14,1.521e+15,0.9983,0.2270
llama_3_1_405b,128x128,128,16384,1.131e+19,6.913e+14,2.634e+15,0.9990,0.2621
llama_3_1_405b,128x128,256,16384,2.263e+19,1.383e+15,5.269e+15,0.9990,0.2621
llama_3_1_405b,128x128,512,16384,4.526e+19,2.765e+15,1.054e+16,0.9990,0.2621
llama_3_1_405b,256x256,32,65536,2.829e+18,6.067e+13,7.602e+14,0.7115,0.0568
llama_3_1_405b,256x256,64,65536,5.657e+18,1.213e+14,1.317e+15,0.7118,0.0656
llama_3_1_405b,256x256,128,65536,1.131e+19,2.425e+14,2.430e+15,0.7118,0.0710
llama_3_1_405b,256x256,256,65536,2.263e+19,4.851e+14,4.657e+15,0.7118,0.0741
llama_3_1_405b,256x256,512,65536,4.526e+19,9.701e+14,9.314e+15,0.7119,0.0741
llama_3_1_405b,32x32,32,1024,2.829e+18,2.763e+15,3.871e+15,0.9998,0.7135
llama_3_1_405b,32x32,64,1024,5.657e+18,5.539e+15,7.756e+15,0.9975,0.7123
llama_3_1_405b,32x32,128,1024,1.131e+19,1.108e+16,1.551e+16,0.9975,0.7123
llama_3_1_405b,32x32,256,1024,2.263e+19,2.212e+16,3.099e+16,0.9989,0.7131
llama_3_1_405b,32x32,512,1024,4.526e+19,4.421e+16,6.195e+16,0.9997,0.7134
llama_3_1_405b,512x512,32,262144,2.829e+18,2.392e+13,6.603e+14,0.4510,0.0163
llama_3_1_405b,512x512,64,262144,5.657e+18,4.785e+13,1.219e+15,0.4510,0.0177
llama_3_1_405b,512x512,128,262144,1.131e+19,9.569e+13,2.336e+15,0.4510,0.0185
llama_3_1_405b,512x512,256,262144,2.263e+19,1.914e+14,4.571e+15,0.4511,0.0189
llama_3_1_405b,512x512,512,262144,4.526e+19,3.828e+14,9.039e+15,0.4511,0.0191
llama_3_1_405b,64x64,32,4096,2.829e+18,6.925e+14,1.931e+15,0.9973,0.3576
llama_3_1_405b,64x64,64,4096,5.657e+18,1.385e+15,3.049e+15,0.9973,0.4530
llama_3_1_405b,64x64,128,4096,1.131e+19,2.766e+15,6.093e+15,0.9987,0.4533
llama_3_1_405b,64x64,256,4096,2.263e+19,5.528e+15,1.218e+16,0.9994,0.4535
llama_3_1_405b,64x64,512,4096,4.526e+19,1.106e+16,2.437e+16,0.9994,0.4535
llama_3_1_70b,128x128,32,16384,6.519e+17,3.990e+13,4.229e+14,0.9971,0.0941
llama_3_1_70b,128x128,64,16384,1.304e+18,7.972e+13,7.756e+14,0.9982,0.1026
llama_3_1_70b,128x128,128,16384,2.608e+18,1.593e+14,1.481e+15,0.9988,0.1075
llama_3_1_70b,128x128,256,16384,5.215e+18,3.187e+14,2.962e+15,0.9988,0.1075
llama_3_1_70b,128x128,512,16384,1.043e+19,6.374e+14,5.925e+15,0.9988,0.1075
llama_3_1_70b,256x256,32,65536,6.519e+17,1.550e+13,3.883e+14,0.6418,0.0256
llama_3_1_70b,256x256,64,65536,1.304e+18,3.099e+13,7.416e+14,0.6420,0.0268
llama_3_1_70b,256x256,128,65536,2.608e+18,6.197e+13,1.448e+15,0.6420,0.0275
llama_3_1_70b,256x256,256,65536,5.215e+18,1.239e+14,2.861e+15,0.6420,0.0278
llama_3_1_70b,256x256,512,65536,1.043e+19,2.479e+14,5.722e+15,0.6421,0.0278
llama_3_1_70b,32x32,32,1024,6.519e+17,6.368e+14,1.693e+15,0.9997,0.3761
llama_3_1_70b,32x32,64,1024,1.304e+18,1.276e+15,3.387e+15,0.9980,0.3759
llama_3_1_70b,32x32,128,1024,2.608e+18,2.552e+15,6.775e+15,0.9980,0.3759
llama_3_1_70b,32x32,256,1024,5.215e+18,5.098e+15,1.354e+16,0.9991,0.3760
llama_3_1_70b,32x32,512,1024,1.043e+19,1.019e+16,2.708e+16,0.9996,0.3761
llama_3_1_70b,512x512,32,262144,6.519e+17,6.656e+12,3.721e+14,0.3736,0.0067
llama_3_1_70b,512x512,64,262144,1.304e+18,1.331e+13,7.268e+14,0.3736,0.0068
