gemm_class,model,array_dim,batch_size,max_seq_len,frequency,asram_size,wsram_size,osram_size,isram_active_elements,wsram_active_elements,active_fraction,input_data_moved,weight_data_moved,output_read_data_moved,output_write_data_moved,output_data_moved,total_data_moved,array_cycle_count,sram_cycle_count,window_cycle_count,sram_stall_cycle_count,dram_cycle_count,dram_stall_cycle_count,input_dram_bandwidth,weight_dram_bandwidth,output_dram_bandwidth,total_required_bandwidth
attention,deepseek_v4,256x512,256,1048576,1000,10485760,10485760,10485760,327680,327680,0.5,2142513297096704.0,8.790992944686432e+18,3137775599616.0,2145651072696320.0,2148788848295936.0,8.795284246831825e+18,8594683205853902.0,8588140939837440.0,8594683205853902.0,0.0,3.4339832001069056e+16,2.5745182128004404e+16,0.24928356819916556,1022.8408347498861,0.25001373486720024,1023.3401320529525
attention,deepseek_v4,256x512,256,1048576,1000,12582912,12582912,12582912,393216,393216,0.5,2142513297096704.0,8.790992944686432e+18,3123447857152.0,2145636744953856.0,2148760192811008.0,8.79528421817634e+18,8594683253826254.0,8588140939837440.0,8594683253826254.0,0.0,3.433983194510131e+16,2.5745182128004404e+16,0.24928356680775662,1022.8408290407659,0.25001039937735986,1023.3401230069511
attention,deepseek_v4,256x512,256,1048576,1000,14680064,14680064,14680064,458752,458752,0.5,2142513297096704.0,8.790992944686432e+18,3109120114688.0,2145622417211392.0,2148731537326080.0,8.795284189520855e+18,8594683341775566.0,8588140939837440.0,8594683341775566.0,0.0,3.433983188913357e+16,2.5745182128004404e+16,0.24928356425684026,1022.8408185740454,0.2500070627246839,1023.340109201027
attention,deepseek_v4,256x512,256,1048576,1000,16777216,16777216,16777216,524288,524288,0.5,2142513297096704.0,8.790992944686432e+18,3094792372224.0,2145608089468928.0,2148702881841152.0,8.79528416086537e+18,8594683157881550.0,8588140939837440.0,8594683157881550.0,0.0,3.4339831833165824e+16,2.5745182128004404e+16,0.24928356959057452,1022.8408404590064,0.2500037339795051,1023.3401277625765
attention,deepseek_v4,256x512,256,1048576,1000,18874368,18874368,18874368,589824,589824,0.5,2142513297096704.0,8.790992944686432e+18,3080464629760.0,2145593761726464.0,2148674226356224.0,8.795284132209885e+18,8594683253826254.0,8588140939837440.0,8594683253826254.0,0.0,3.433983177719808e+16,2.5745182128004404e+16,0.24928356680775662,1022.8408290407659,0.2500003970942919,1023.340113004668
attention,deepseek_v4,256x512,256,1048576,1000,20971520,20971520,20971520,655360,655360,0.5,2142513297096704.0,8.790992944686432e+18,3066136887296.0,2145579433984000.0,2148645570871296.0,8.7952841035544e+18,8594683365761742.0,8588140939837440.0,8594683365761742.0,0.0,3.4339831721230336e+16,2.5745182128004404e+16,0.24928356356113582,1022.8408157194854,0.24999705974402267,1023.3400963427905
attention,deepseek_v4,256x512,256,1048576,1000,23068672,23068672,23068672,720896,720896,0.5,2142513297096704.0,8.790992944686432e+18,3051809144832.0,2145565106241536.0,2148616915386368.0,8.795284074898915e+18,8594683549655758.0,8588140939837440.0,8594683549655758.0,0.0,3.433983166526259e+16,2.5745182128004404e+16,0.24928355822740186,1022.8407938345254,0.24999372030078135,1023.3400711130536
attention,deepseek_v4,256x512,256,1048576,1000,25165824,25165824,25165824,786432,786432,0.5,2142513297096704.0,8.790992944686432e+18,3037481402368.0,2145550778499072.0,2148588259901440.0,8.79528404624343e+18,8594683445715662.0,8588140939837440.0,8594683445715662.0,0.0,3.433983160929485e+16,2.5745182128004404e+16,0.249283561242121,1022.8408062042853,0.24999038922980732,1023.3400801547572
attention,deepseek_v4,256x512,256,1048576,1000,27262976,27262976,27262976,851968,851968,0.5,2142513297096704.0,8.790992944686432e+18,3023153659904.0,2145536450756608.0,2148559604416512.0,8.795284017587945e+18,8594683301798606.0,8588140939837440.0,8594683301798606.0,0.0,3.4339831553327104e+16,2.5745182128004404e+16,0.2492835654163477,1022.8408233316455,0.24998705932153237,1023.3400939563834
attention,deepseek_v4,256x512,256,1048576,1000,29360128,29360128,29360128,917504,917504,0.5,2142513297096704.0,8.790992944686432e+18,3008825917440.0,2145522123014144.0,2148530948931584.0,8.795283988932461e+18,8594683621614286.0,8588140939837440.0,8594683621614286.0,0.0,3.433983149735936e+16,2.5745182128004404e+16,0.2492835561402886,1022.8407852708456,0.2499837159250824,1023.340052542911
