gemm_class,model,array_dim,batch_size,max_seq_len,frequency,asram_size,wsram_size,osram_size,isram_active_elements,wsram_active_elements,active_fraction,input_data_moved,weight_data_moved,output_read_data_moved,output_write_data_moved,output_data_moved,total_data_moved,array_cycle_count,sram_cycle_count,window_cycle_count,sram_stall_cycle_count,dram_cycle_count,dram_stall_cycle_count,input_dram_bandwidth,weight_dram_bandwidth,output_dram_bandwidth,total_required_bandwidth
attention,deepseek_v4,256x512,256,1048576,1000,1.049e+07,1.049e+07,1.049e+07,327680,327680,0.5,2.143e+15,8.791e+18,3.138e+12,2.146e+15,2.149e+15,8.795e+18,8.595e+15,8.588e+15,8.595e+15,0.000e+00,3.434e+16,2.575e+16,2.493e-01,1.023e+03,2.500e-01,1.023e+03
attention,deepseek_v4,256x512,256,1048576,1000,1.258e+07,1.258e+07,1.258e+07,393216,393216,0.5,2.143e+15,8.791e+18,3.123e+12,2.146e+15,2.149e+15,8.795e+18,8.595e+15,8.588e+15,8.595e+15,0.000e+00,3.434e+16,2.575e+16,2.493e-01,1.023e+03,2.500e-01,1.023e+03
attention,deepseek_v4,256x512,256,1048576,1000,1.468e+07,1.468e+07,1.468e+07,458752,458752,0.5,2.143e+15,8.791e+18,3.109e+12,2.146e+15,2.149e+15,8.795e+18,8.595e+15,8.588e+15,8.595e+15,0.000e+00,3.434e+16,2.575e+16,2.493e-01,1.023e+03,2.500e-01,1.023e+03
attention,deepseek_v4,256x512,256,1048576,1000,1.678e+07,1.678e+07,1.678e+07,524288,524288,0.5,2.143e+15,8.791e+18,3.095e+12,2.146e+15,2.149e+15,8.795e+18,8.595e+15,8.588e+15,8.595e+15,0.000e+00,3.434e+16,2.575e+16,2.493e-01,1.023e+03,2.500e-01,1.023e+03
attention,deepseek_v4,256x512,256,1048576,1000,1.887e+07,1.887e+07,1.887e+07,589824,589824,0.5,2.143e+15,8.791e+18,3.080e+12,2.146e+15,2.149e+15,8.795e+18,8.595e+15,8.588e+15,8.595e+15,0.000e+00,3.434e+16,2.575e+16,2.493e-01,1.023e+03,2.500e-01,1.023e+03
attention,deepseek_v4,256x512,256,1048576,1000,2.097e+07,2.097e+07,2.097e+07,655360,655360,0.5,2.143e+15,8.791e+18,3.066e+12,2.146e+15,2.149e+15,8.795e+18,8.595e+15,8.588e+15,8.595e+15,0.000e+00,3.434e+16,2.575e+16,2.493e-01,1.023e+03,2.500e-01,1.023e+03
attention,deepseek_v4,256x512,256,1048576,1000,2.307e+07,2.307e+07,2.307e+07,720896,720896,0.5,2.143e+15,8.791e+18,3.052e+12,2.146e+15,2.149e+15,8.795e+18,8.595e+15,8.588e+15,8.595e+15,0.000e+00,3.434e+16,2.575e+16,2.493e-01,1.023e+03,2.500e-01,1.023e+03
attention,deepseek_v4,256x512,256,1048576,1000,2.517e+07,2.517e+07,2.517e+07,786432,786432,0.5,2.143e+15,8.791e+18,3.037e+12,2.146e+15,2.149e+15,8.795e+18,8.595e+15,8.588e+15,8.595e+15,0.000e+00,3.434e+16,2.575e+16,2.493e-01,1.023e+03,2.500e-01,1.023e+03
attention,deepseek_v4,256x512,256,1048576,1000,2.726e+07,2.726e+07,2.726e+07,851968,851968,0.5,2.143e+15,8.791e+18,3.023e+12,2.146e+15,2.149e+15,8.795e+18,8.595e+15,8.588e+15,8.595e+15,0.000e+00,3.434e+16,2.575e+16,2.493e-01,1.023e+03,2.500e-01,1.023e+03
attention,deepseek_v4,256x512,256,1048576,1000,2.936e+07,2.936e+07,2.936e+07,917504,917504,0.5,2.143e+15,8.791e+18,3.009e+12,2.146e+15,2.149e+15,8.795e+18,8.595e+15,8.588e+15,8.595e+15,0.000e+00,3.434e+16,2.575e+16,2.493e-01,1.023e+03,2.500e-01,1.023e+03
