arch,subarch,arch_dim,accumulator,fifo,pe,nonlinear,vector,tc,value_reuse,total
mugi,vlp,128x8,20.580018461119476,48.486556532434754,12.157997716357292,13.853652656380975,2.6805456187209593,0.7429093786728308,1.4983196363137143,0.476638484
mugi,vlp,256x8,20.96776211124113,48.28996701043589,12.387063906050818,13.955006373888548,2.7310491955026843,0.7569063726376526,0.9122450302432769,0.935648616
mugi,lut,128x8,13.047074732119041,30.73892901393342,7.70778243459445,45.38596581850964,1.6993803516930477,0.4709808303159945,0.9498868188344217,0.7518335719999999
mugi,lut,256x8,13.18872166306759,30.37438762613167,7.79146278047242,45.87770190187284,1.7178298521576236,0.4760940829430855,0.5738020933547825,1.4875177519999998
carat,,128x8,12.233493367916438,54.30723529390653,7.434728980057689,0.0,23.747489116013313,1.202113748577814,1.0749394935282301,0.8893561039999999
carat,,256x8,10.479038754942692,60.29711594807333,6.561468897323949,0.0,20.958183094799413,1.0609172161481566,0.6432760887124447,2.01543944
systolic,figna,8x8,20.76408867320524,8.79464741529979,65.21760891456806,0.0,5.223654996926907,0.0,0.0,0.26573240400000003
systolic,figna,16x16,20.216333800453633,9.066330395084709,68.02482410753537,0.0,2.6925116969262928,0.0,0.0,1.031077712
simd,figna,8x8,19.666829504510748,9.371140156452325,65.66901821579498,0.0,5.293012123241938,0.0,0.0,0.24938510800000002
simd,figna,16x16,19.977247364486384,9.519052623595565,67.8154219530429,0.0,2.6882780588751527,0.0,0.0,0.9820400800000001
