arch,subarch,arch_dim,network,array,node_memory,router,dram,total
mugi,vlp,128x8,multi_node_4x4,15.048883117026959,13.611863471456,0.25657079184,131.780881512,160.69819889232298
mugi,vlp,256x8,multi_node_4x4,29.724805146636655,17.498751282512,0.25657079184,131.780881512,179.26100873298867
mugi,lut,128x8,multi_node_4x4,23.720475347798995,13.611863471456,0.25657079184,131.780881512,169.369791123095
mugi,lut,256x8,multi_node_4x4,47.06836093344373,17.498751282512,0.25657079184,131.780881512,196.60456451979576
carat,vlp,128x8,multi_node_4x4,26.82702722161487,12.42562974264,0.25657079184,131.780881512,171.29010926809488
carat,vlp,256x8,multi_node_4x4,58.33286669591057,14.798097200272,0.25657079184,131.780881512,205.1684162000226
systolic,figna,8x8,multi_node_4x4,10.953112345552,12.42562974264,0.25657079184,131.780881512,155.416194392032
systolic,figna,16x16,multi_node_4x4,41.894058201152,15.984330929088,0.25657079184,131.780881512,189.91584143408
simd,figna,8x8,multi_node_4x4,10.448786225232002,12.42562974264,0.25657079184,131.780881512,154.91186827171202
simd,figna,16x16,multi_node_4x4,40.343448371520005,15.984330929088,0.25657079184,131.780881512,188.365231604448
tensor,core,8x16x16,single_node,12.867346111008002,17.465465931000004,0.0,131.780881512,162.11369355400802
tensor,core,8x16x16,multi_node_2x1,25.734692222016005,34.93093186200001,0.03207134898,131.780881512,192.478576944996
