arch,subarch,arch_dim,network,array,node_memory,router,total
mugi,vlp,128x8,multi_node_4x4,71.31304822636093,28.66616529850584,0.020786475133238606,2.5660964200491847
mugi,vlp,256x8,multi_node_4x4,74.40456824257345,25.579996417436384,0.015435339990169612,4.1477858705338155
mugi,lut,128x8,multi_node_4x4,72.13629272816681,27.84351731707969,0.02018995475350666,2.6419127767277786
mugi,lut,256x8,multi_node_4x4,75.30984109020915,24.675269495117334,0.014889414673513379,4.299865812186694
carat,vlp,128x8,multi_node_4x4,78.86325937830696,21.121484815782306,0.0152558059107288,3.235538438336084
carat,vlp,256x8,multi_node_4x4,84.63017006608946,15.36129163625293,0.008538297657620774,5.993571415664823
systolic,figna,8x8,multi_node_4x4,54.997262950354866,44.9911650619165,0.011571987728623463,2.003687818332204
systolic,figna,16x16,multi_node_4x4,67.24405486204684,32.742392699179966,0.013552438773192224,3.4355740329043423
simd,figna,8x8,multi_node_4x4,53.03461730138014,46.953306036890176,0.012076661729685158,1.9199553125462148
simd,figna,16x16,multi_node_4x4,65.99816850636057,33.987763582072425,0.014067911566991411,3.3096886136925496
