arch,subarch,arch_dim,max_seq_len,attn_size,throughput,energy_per_token
mugi,vlp,64x8,max_seq_len_128,attn_size_1,8.542203742203741,1.83720733047837e-05
mugi,vlp,64x8,max_seq_len_128,attn_size_2,16.018713450292395,1.4512800332521384e-05
mugi,vlp,64x8,max_seq_len_128,attn_size_4,28.48388214904679,1.2583163846390216e-05
mugi,vlp,64x8,max_seq_len_128,attn_size_8,46.62468085106382,1.1622459036924633e-05
mugi,vlp,64x8,max_seq_len_256,attn_size_1,6.504331625523986,3.6436791100560414e-05
mugi,vlp,64x8,max_seq_len_256,attn_size_2,12.817622762735198,2.6847927803025454e-05
mugi,vlp,64x8,max_seq_len_256,attn_size_4,24.90378956754347,2.205349615425799e-05
mugi,vlp,64x8,max_seq_len_256,attn_size_8,47.11868409953606,1.9658337046674252e-05
mugi,vlp,64x8,max_seq_len_512,attn_size_1,6.237586247222548,7.249938125668391e-05
mugi,vlp,64x8,max_seq_len_512,attn_size_2,12.42866130723523,5.241290764942972e-05
mugi,vlp,64x8,max_seq_len_512,attn_size_4,24.673343356077247,4.236967084580263e-05
mugi,vlp,64x8,max_seq_len_512,attn_size_8,48.62687179487178,3.734908080238907e-05
mugi,vlp,64x8,max_seq_len_1024,attn_size_1,6.262858501500875,0.00014448722860276793
mugi,vlp,64x8,max_seq_len_1024,attn_size_2,12.513815730870865,0.00010388631954648827
mugi,vlp,64x8,max_seq_len_1024,attn_size_4,24.980161811338643,8.358586501834845e-05
mugi,vlp,64x8,max_seq_len_1024,attn_size_8,49.771521360455836,7.343615193347853e-05
mugi,vlp,64x8,max_seq_len_2048,attn_size_1,6.3167943695438025,0.0002883942568118544
mugi,vlp,64x8,max_seq_len_2048,attn_size_2,12.630549604203784,0.00020700486944273038
mugi,vlp,64x8,max_seq_len_2048,attn_size_4,25.248951437781297,0.0001663101757581683
mugi,vlp,64x8,max_seq_len_2048,attn_size_8,50.449381826370896,0.0001459630860054873
mugi,vlp,64x8,max_seq_len_4096,attn_size_1,6.354630721558535,0.0005761739799884869
mugi,vlp,64x8,max_seq_len_4096,attn_size_2,12.708491649931178,0.0004133278322862772
mugi,vlp,64x8,max_seq_len_4096,attn_size_4,25.413904686562546,0.00033190475843517236
mugi,vlp,64x8,max_seq_len_4096,attn_size_8,50.81549939357924,0.00029119335005442
mugi,vlp,256x8,max_seq_len_128,attn_size_1,16.534406438631787,1.8021419824153637e-05
mugi,vlp,256x8,max_seq_len_128,attn_size_2,30.156330275229347,1.4293037221196313e-05
mugi,vlp,256x8,max_seq_len_128,attn_size_4,51.27987519500779,1.242884591971765e-05
mugi,vlp,256x8,max_seq_len_128,attn_size_8,78.9205282112845,1.1500839945778317e-05
mugi,vlp,256x8,max_seq_len_256,attn_size_1,15.699606520517142,3.533450980148562e-05
mugi,vlp,256x8,max_seq_len_256,attn_size_2,30.57427476737821,2.6081635109876165e-05
mugi,vlp,256x8,max_seq_len_256,attn_size_4,58.09589183567341,2.1455197764071446e-05
mugi,vlp,256x8,max_seq_len_256,attn_size_8,105.64387706855791,1.9144023929569086e-05
mugi,vlp,256x8,max_seq_len_512,attn_size_1,15.453455019556714,7.015473708352275e-05
