arch,subarch,arch_dim,max_seq_len,batch_size,throughput,energy_per_token
mugi,vlp,64x8,max_seq_len_128,batch_size_1,6.492365946239403,1.2715192486572173
mugi,vlp,64x8,max_seq_len_128,batch_size_2,12.957322089689637,1.8223079898329761
mugi,vlp,64x8,max_seq_len_128,batch_size_4,25.805696335037414,2.9238855359227394
mugi,vlp,64x8,max_seq_len_128,batch_size_8,51.18105335485266,5.127114323700165
mugi,vlp,64x8,max_seq_len_128,batch_size_16,51.18105335485266,9.955958749591582
mugi,vlp,64x8,max_seq_len_128,batch_size_32,51.18105335485266,19.613647600603894
mugi,vlp,64x8,max_seq_len_256,batch_size_1,6.492280752165688,0.6358784175253265
mugi,vlp,64x8,max_seq_len_256,batch_size_2,12.95463283698695,0.9113911638544157
mugi,vlp,64x8,max_seq_len_256,batch_size_4,25.79037530897838,1.4624168320997277
mugi,vlp,64x8,max_seq_len_256,batch_size_8,51.111684023829135,2.564505011930831
mugi,vlp,64x8,max_seq_len_256,batch_size_16,51.111684023829135,4.979875066304493
mugi,vlp,64x8,max_seq_len_256,batch_size_32,51.111684023829135,9.810615174334432
mugi,vlp,64x8,max_seq_len_512,batch_size_1,6.492130722987579,0.31817584043037567
mugi,vlp,64x8,max_seq_len_512,batch_size_2,12.944666707492393,0.4561680030757111
mugi,vlp,64x8,max_seq_len_512,batch_size_4,25.73240276785684,0.7321526966221396
mugi,vlp,64x8,max_seq_len_512,batch_size_8,50.84843637307564,1.2841404897415445
mugi,vlp,64x8,max_seq_len_512,batch_size_16,50.84843637307564,2.4937134736813142
mugi,vlp,64x8,max_seq_len_512,batch_size_32,50.84843637307564,4.912859440034231
mugi,vlp,64x8,max_seq_len_1024,batch_size_1,6.491912590083873,0.15955970676284353
mugi,vlp,64x8,max_seq_len_1024,batch_size_2,12.906644049597467,0.22902582085228737
mugi,vlp,64x8,max_seq_len_1024,batch_size_4,25.510128348250465,0.36795873887679686
mugi,vlp,64x8,max_seq_len_1024,batch_size_8,49.85029744106133,0.6458336939533846
mugi,vlp,64x8,max_seq_len_1024,batch_size_16,49.85029744106133,1.254383495139805
mugi,vlp,64x8,max_seq_len_1024,batch_size_32,49.85029744106133,2.471483090481374
mugi,vlp,64x8,max_seq_len_2048,batch_size_1,6.491803397744194,0.08072130100923415
mugi,vlp,64x8,max_seq_len_2048,batch_size_2,12.76214869953515,0.11639175132857013
mugi,vlp,64x8,max_seq_len_2048,batch_size_4,24.68394060053786,0.18773359197122805
mugi,vlp,64x8,max_seq_len_2048,batch_size_8,46.32839803806494,0.33042127371548924
mugi,vlp,64x8,max_seq_len_2048,batch_size_16,46.32839803806494,0.6421996652160984
mugi,vlp,64x8,max_seq_len_2048,batch_size_32,46.3283980380649,1.2657564033831725
mugi,vlp,64x8,max_seq_len_4096,batch_size_1,6.492820787815857,0.04223654710495229
mugi,vlp,64x8,max_seq_len_4096,batch_size_2,12.252926814696208,0.061935732282095056
mugi,vlp,64x8,max_seq_len_4096,batch_size_4,22.035841658739333,0.10133310869122954
mugi,vlp,64x8,max_seq_len_4096,batch_size_8,36.73852067301761,0.18012639580547746
mugi,vlp,64x8,max_seq_len_4096,batch_size_16,36.73852067301761,0.3509252637504355
mugi,vlp,64x8,max_seq_len_4096,batch_size_32,36.73852067301761,0.6925227307500649
mugi,vlp,256x8,max_seq_len_128,batch_size_1,25.967890281846767,1.219233801283599
mugi,vlp,256x8,max_seq_len_128,batch_size_2,51.82308647845275,1.7441259031531664
mugi,vlp,256x8,max_seq_len_128,batch_size_4,103.19828892870356,2.7939100868074807
mugi,vlp,256x8,max_seq_len_128,batch_size_8,204.62788741118678,4.893552138511667
mugi,vlp,256x8,max_seq_len_128,batch_size_16,204.62788762271032,9.490556879435525
mugi,vlp,256x8,max_seq_len_128,batch_size_32,204.62788772847236,18.684566360513518
mugi,vlp,256x8,max_seq_len_256,batch_size_1,25.964748589602248,0.6097322071301152
mugi,vlp,256x8,max_seq_len_256,batch_size_2,51.80143336599219,0.8722923234455106
mugi,vlp,256x8,max_seq_len_256,batch_size_4,103.09425125542577,1.397412530493106
mugi,vlp,256x8,max_seq_len_256,batch_size_8,204.18283040256154,2.447690619721641
mugi,vlp,256x8,max_seq_len_256,batch_size_16,204.18283103562757,4.747107270939382
mugi,vlp,256x8,max_seq_len_256,batch_size_32,204.1828313521607,9.345940572647333
mugi,vlp,256x8,max_seq_len_512,batch_size_1,25.952208882338287,0.3050960326473232
mugi,vlp,256x8,max_seq_len_512,batch_size_2,51.7151503888859,0.436603508333651
mugi,vlp,256x8,max_seq_len_512,batch_size_4,102.68100259117779,0.6996184194111139
mugi,vlp,256x8,max_seq_len_512,batch_size_8,202.42584852878474,1.2256687483081625
mugi,vlp,256x8,max_seq_len_512,batch_size_16,202.42584999207673,2.377199962659005
mugi,vlp,256x8,max_seq_len_512,batch_size_32,202.425850723723,4.680262389778829
mugi,vlp,256x8,max_seq_len_1024,batch_size_1,25.90852460745103,0.15300617744329725
mugi,vlp,256x8,max_seq_len_1024,batch_size_2,51.39860981284937,0.21921296233906812
mugi,vlp,256x8,max_seq_len_1024,batch_size_4,101.1624915519636,0.35162641715380133
mugi,vlp,256x8,max_seq_len_1024,batch_size_8,196.0822203773503,0.6164668759123608
mugi,vlp,256x8,max_seq_len_1024,batch_size_16,196.082223405196,1.1958637983085758
mugi,vlp,256x8,max_seq_len_1024,batch_size_32,196.08222491911914,2.3546576357273516
mugi,vlp,256x8,max_seq_len_2048,batch_size_1,25.750032793323047,0.07741707663752322
mugi,vlp,256x8,max_seq_len_2048,batch_size_2,50.23665010527348,0.11142367187916465
mugi,vlp,256x8,max_seq_len_2048,batch_size_4,95.78063115325315,0.17943623865862654
mugi,vlp,256x8,max_seq_len_2048,batch_size_8,175.2295730799405,0.31547436363066683
mugi,vlp,256x8,max_seq_len_2048,batch_size_16,175.22957860283324,0.612410715202375
mugi,vlp,256x8,max_seq_len_2048,batch_size_32,175.2295813642795,1.2062833711998349
mugi,vlp,256x8,max_seq_len_4096,batch_size_1,25.193721444319355,0.04052939967969833
mugi,vlp,256x8,max_seq_len_4096,batch_size_2,46.39129188324118,0.05932822863375166
mugi,vlp,256x8,max_seq_len_4096,batch_size_4,80.15603715104429,0.09692200969644178
mugi,vlp,256x8,max_seq_len_4096,batch_size_8,126.23584432780332,0.17212620642310952
mugi,vlp,256x8,max_seq_len_4096,batch_size_16,126.23585203232949,0.3349731010839763
mugi,vlp,256x8,max_seq_len_4096,batch_size_32,126.2358558845922,0.6606666084991114
carat,none,64x8,max_seq_len_128,batch_size_1,6.4991218705016385,1.2693913450467949
carat,none,64x8,max_seq_len_128,batch_size_2,12.968779995804125,1.8504182559063427
carat,none,64x8,max_seq_len_128,batch_size_4,25.82049405255945,3.0124720553643494
carat,none,64x8,max_seq_len_128,batch_size_8,51.179012444323874,5.336653345170696
carat,none,64x8,max_seq_len_128,batch_size_16,51.179012444323874,10.375036872107302
carat,none,64x8,max_seq_len_128,batch_size_32,51.179012444323874,20.45180392479798
