arch,subarch,arch_dim,max_seq_len,batch_size,throughput,energy_per_token
mugi,vlp,64x8,max_seq_len_128,batch_size_1,1.0020712480694027,0.7096142518140363
mugi,vlp,64x8,max_seq_len_128,batch_size_2,1.9999118939857423,1.1497298217095115
mugi,vlp,64x8,max_seq_len_128,batch_size_4,3.983008115086659,2.0299609982240434
mugi,vlp,64x8,max_seq_len_128,batch_size_8,7.89959503898052,3.7904546609580207
mugi,vlp,64x8,max_seq_len_128,batch_size_16,7.89959503898052,7.454201041724408
mugi,vlp,64x8,max_seq_len_128,batch_size_32,7.89959503898052,14.781693803155864
mugi,vlp,64x8,max_seq_len_256,batch_size_1,1.0020913386310952,0.7096128031908989
mugi,vlp,64x8,max_seq_len_256,batch_size_2,1.9995631320523866,1.1497769409093914
mugi,vlp,64x8,max_seq_len_256,batch_size_4,3.980775393524798,2.0301054057729004
mugi,vlp,64x8,max_seq_len_256,batch_size_8,7.889149782842545,3.7907936381299168
mugi,vlp,64x8,max_seq_len_256,batch_size_16,7.889149782842545,7.4549027105387315
mugi,vlp,64x8,max_seq_len_256,batch_size_32,7.889149782842545,14.78312085516737
mugi,vlp,64x8,max_seq_len_512,batch_size_1,1.002197569632779,0.7096070906871065
mugi,vlp,64x8,max_seq_len_512,batch_size_2,1.9982828094025136,1.1499645249028618
mugi,vlp,64x8,max_seq_len_512,batch_size_4,3.9723400576899874,2.0306801882894274
mugi,vlp,64x8,max_seq_len_512,batch_size_8,7.8495304837182465,3.792142786032534
mugi,vlp,64x8,max_seq_len_512,batch_size_16,7.8495304837182465,7.457695362829603
mugi,vlp,64x8,max_seq_len_512,batch_size_32,7.8495304837182465,14.78880051561715
mugi,vlp,64x8,max_seq_len_1024,batch_size_1,1.0026725223950081,0.709583665505678
mugi,vlp,64x8,max_seq_len_1024,batch_size_2,1.9934243629535522,1.1507084396344538
mugi,vlp,64x8,max_seq_len_1024,batch_size_4,3.940025862335667,2.0329611149223643
mugi,vlp,64x8,max_seq_len_1024,batch_size_8,7.699352075581089,3.7974975550231855
mugi,vlp,64x8,max_seq_len_1024,batch_size_16,7.699352075581089,7.468779760358259
mugi,vlp,64x8,max_seq_len_1024,batch_size_32,7.699352075581089,14.811344163576157
mugi,vlp,64x8,max_seq_len_2048,batch_size_1,1.004644668778027,0.7094901153416434
mugi,vlp,64x8,max_seq_len_2048,batch_size_2,1.9750172033980053,1.1536290227111925
mugi,vlp,64x8,max_seq_len_2048,batch_size_4,3.81998427386478,2.0419179246859516
mugi,vlp,64x8,max_seq_len_2048,batch_size_8,7.169590626302471,3.8185252758203934
mugi,vlp,64x8,max_seq_len_2048,batch_size_16,7.169590626302471,7.512307248408305
mugi,vlp,64x8,max_seq_len_2048,batch_size_32,7.169590626302471,14.89987109801846
mugi,vlp,64x8,max_seq_len_4096,batch_size_1,1.0122602770212363,0.7091355917778616
mugi,vlp,64x8,max_seq_len_4096,batch_size_2,1.9102866318279117,1.164578625782796
mugi,vlp,64x8,max_seq_len_4096,batch_size_4,3.435487241006857,2.075490282650038
mugi,vlp,64x8,max_seq_len_4096,batch_size_8,5.727701130215046,3.897327278691245
mugi,vlp,64x8,max_seq_len_4096,batch_size_16,5.727701130215046,7.675419404555694
mugi,vlp,64x8,max_seq_len_4096,batch_size_32,5.727701130215046,15.231602493437878
mugi,vlp,256x8,max_seq_len_128,batch_size_1,4.008042133642009,0.6756340479990148
mugi,vlp,256x8,max_seq_len_128,batch_size_2,7.99869037671467,1.0928840306398628
mugi,vlp,256x8,max_seq_len_128,batch_size_4,15.928251586821354,1.9273839838990883
mugi,vlp,256x8,max_seq_len_128,batch_size_8,31.583512630317742,3.5964150675265687
mugi,vlp,256x8,max_seq_len_128,batch_size_16,31.583512662965514,7.067428194472056
mugi,vlp,256x8,max_seq_len_128,batch_size_32,31.583512662965514,14.009454448201591
mugi,vlp,256x8,max_seq_len_256,batch_size_1,4.007690173899327,0.6756340090354943
mugi,vlp,256x8,max_seq_len_256,batch_size_2,7.995613544191998,1.0929311425906023
mugi,vlp,256x8,max_seq_len_256,batch_size_4,15.912721613472737,1.9275253748315289
mugi,vlp,256x8,max_seq_len_256,batch_size_8,31.515865019762778,3.596745780197791
mugi,vlp,256x8,max_seq_len_256,batch_size_16,31.515865117476466,7.068112818270135
mugi,vlp,256x8,max_seq_len_256,batch_size_32,31.515865117476466,14.010846894042288
mugi,vlp,256x8,max_seq_len_512,batch_size_1,4.006271904241612,0.6756347288282916
mugi,vlp,256x8,max_seq_len_512,batch_size_2,7.983326389054915,1.0931202627026135
mugi,vlp,256x8,max_seq_len_512,batch_size_4,15.850982618073253,1.9280912405990753
mugi,vlp,256x8,max_seq_len_512,batch_size_8,31.248706701707512,3.598068207361085
mugi,vlp,256x8,max_seq_len_512,batch_size_16,31.248706927590273,7.070849969017619
mugi,vlp,256x8,max_seq_len_512,batch_size_32,31.248706927590273,14.016413491077484
mugi,vlp,256x8,max_seq_len_1024,batch_size_1,4.0015582289803575,0.6756361885864214
mugi,vlp,256x8,max_seq_len_1024,batch_size_2,7.938488708038282,1.0938687553474131
mugi,vlp,256x8,max_seq_len_1024,batch_size_4,15.624494194685482,1.930333595983574
mugi,vlp,256x8,max_seq_len_1024,batch_size_8,30.28479546969672,3.6033105087444204
mugi,vlp,256x8,max_seq_len_1024,batch_size_16,30.284795937286475,7.081701228085301
mugi,vlp,256x8,max_seq_len_1024,batch_size_32,30.284795937286475,14.038482658120923
mugi,vlp,256x8,max_seq_len_2048,batch_size_1,3.9849688407352315,0.6756391142722358
mugi,vlp,256x8,max_seq_len_2048,batch_size_2,7.774416708899207,1.0968042361049062
mugi,vlp,256x8,max_seq_len_2048,batch_size_4,14.822614698058684,1.939132495232019
mugi,vlp,256x8,max_seq_len_2048,batch_size_8,27.117801988122583,3.623883683781129
mugi,vlp,256x8,max_seq_len_2048,batch_size_16,27.117802842395015,7.124287320598732
mugi,vlp,256x8,max_seq_len_2048,batch_size_32,27.117802842395015,14.12509449287761
mugi,vlp,256x8,max_seq_len_4096,batch_size_1,3.9278160494203394,0.6756441967735649
mugi,vlp,256x8,max_seq_len_4096,batch_size_2,7.232613901633189,1.1078028404085598
mugi,vlp,256x8,max_seq_len_4096,batch_size_4,12.496690579185874,1.9720989708591963
mugi,vlp,256x8,max_seq_len_4096,batch_size_8,19.680738285948138,3.7009554156622637
mugi,vlp,256x8,max_seq_len_4096,batch_size_16,19.680739484833822,7.283817299431861
mugi,vlp,256x8,max_seq_len_4096,batch_size_32,19.680739484833822,14.44953985556444
carat,none,64x8,max_seq_len_128,batch_size_1,1.003111685374489,0.8334430169459306
carat,none,64x8,max_seq_len_128,batch_size_2,2.0016757675968795,1.3797722518895528
carat,none,64x8,max_seq_len_128,batch_size_4,3.9852829078070062,2.472430710923462
carat,none,64x8,max_seq_len_128,batch_size_8,7.899261846718546,4.657778937301153
carat,none,64x8,max_seq_len_128,batch_size_16,7.899261846718546,9.188849628898316
carat,none,64x8,max_seq_len_128,batch_size_32,7.899261846718546,18.25099101191878
carat,none,64x8,max_seq_len_256,batch_size_1,1.003145711673794,0.8334450944104476
carat,none,64x8,max_seq_len_256,batch_size_2,2.0013515557361545,1.37983016982943
