arch,subarch,network,arch_dim,throughput,energy_efficiency,power_efficiency,area,flops,execution_time,energy,power,gemm_flops,gemm_execution_time,nonlinear_flops,nonlinear_execution_time
mugi,vlp,single_node,128x8,0.7066277184067696,68.64423295801812,3.183195573816297,2.160319532715,32768,46372.3671552,8423.468894317712,0.0403384442875,4732381.02605824,46241.0858496,1260.30053376,131.2813056
mugi,vlp,single_node,256x8,1.3867522912246375,142.82241735366972,3.374795196993796,3.100791880805,32768,23629.310156800002,8257.3101964448,0.0614624817275,4732381.02605824,23563.669504,1260.30053376,65.6406528
mugi,vlp,multi_node_4x4,256x8,22.188036659594196,2314.233593438934,3.417733959665898,50.12004881288,32768,1476.8318848000004,8135.323130838584,0.98339970764,4732381.02605824,1472.7293440000003,1260.30053376,4.1025408
carat,,single_node,128x8,0.7030203579685085,53.00389220260713,2.4705280864325,2.41906967464,32768,46610.3145216,11148.058757496083,0.045386998000000005,4732381.02605824,46241.0858496,1260.30053376,369.22867199999996
carat,,single_node,256x8,1.3798049669933539,95.78087423176217,2.2746313876992303,3.8384430707899995,32768,23748.28384,12638.3139802828,0.07442797372,4732381.02605824,23563.669504,1260.30053376,184.61433599999998
carat,,multi_node_4x4,256x8,22.076879471893662,1551.0949568461692,2.3022402061234613,61.92246785263999,32768,1484.26774,12465.556805285583,1.19084757952,4732381.02605824,1472.729344,1260.30053376,11.538395999999999
systolic,mac,single_node,16x16,0.6710958686411375,45.96958544806119,2.2445844868813616,2.578712052865,32768,48827.599052800004,12166.126724465481,0.04981949544000001,4732381.02605824,45873.7696768,1260.30053376,2953.8293759999997
systolic,mac,single_node,64x64,2.6980917573199847,138.59121115536504,1.6831735966051555,25.841848178800003,32768,12144.879769600002,12936.704259412107,0.53778068256,4732381.02605824,11406.422425600002,1260.30053376,738.4573439999999
systolic,figna,single_node,16x16,0.6710958686411375,44.3355811944734,2.1647999823366066,2.810672564865,32768,48827.599052800004,12464.891069276464,0.05471991848,4732381.02605824,45873.7696768,1260.30053376,2953.8293759999997
systolic,figna,single_node,64x64,2.6980917573199847,131.65567296709915,1.5989423191711962,29.5618986108,32768,12144.879769600002,13008.165555415024,0.6163405366399998,4732381.02605824,11406.422425600002,1260.30053376,738.4573439999999
systolic,mac,multi_node_4x4,16x16,10.737533898258198,770.3122493562873,2.350781103564331,41.76677156584,32768,3051.7249408000007,11506.630266043127,0.7971119270400001,4732381.02605824,2867.1106048000006,1260.30053376,184.61433599999998
systolic,figna,multi_node_4x4,16x16,10.7375338982582,741.6839282984502,2.2634153421788996,45.47813975783999,32768,3051.7249408000002,11805.394610854108,0.87551869568,4732381.02605824,2867.1106048,1260.30053376,184.61433599999998
simd,mac,single_node,16x16,0.6710958686411373,47.83143525721226,2.335494142859122,2.5419359568649997,32768,48827.59905280001,11631.681621229638,0.0491270092,4732381.02605824,45873.76967680001,1260.30053376,2953.8293759999997
simd,mac,single_node,64x64,2.6980917573199847,143.1834284251413,1.7389455232224682,25.1390804348,32768,12144.879769600002,12455.320555827771,0.5260062755199999,4732381.02605824,11406.422425600002,1260.30053376,738.4573439999999
simd,figna,single_node,16x16,0.6710958686411373,46.0649335903237,2.249240107742185,2.773896468865,32768,48827.59905280001,11930.445966040616,0.054027432240000006,4732381.02605824,45873.76967680001,1260.30053376,2953.8293759999997
simd,figna,single_node,64x64,2.6980917573199847,135.79291245059434,1.6491885952762875,28.8591308668,32768,12144.879769600002,12526.781851830689,0.6045661296,4732381.02605824,11406.422425600002,1260.30053376,738.4573439999999
simd,mac,multi_node_4x4,16x16,10.737533898258198,803.8230293063956,2.4530467865237378,41.178354029839994,32768,3051.7249408000007,10959.32804147988,0.7860321472,4732381.02605824,2867.1106048000006,1260.30053376,184.61433599999998
simd,figna,multi_node_4x4,16x16,10.7375338982582,772.7000205436888,2.3580679244498475,44.889722221839996,32768,3051.7249408000002,11258.09238629086,0.8644389158400001,4732381.02605824,2867.1106048,1260.30053376,184.61433599999998
tensor,,single_node,8x16x16,10.057605643498533,488.31038794073925,1.590930819840359,38.747338291199995,32768,3258.0318976000003,17980.502216594676,0.8030139430399998,4732698.11544064,2888.8032256000006,1260.30053376,369.22867199999996
tensor,,multi_node_2x1,8x16x16,20.115211286997067,989.0231192714607,1.611134435025134,77.5580989224,32768,1629.0159488000002,17722.219141888505,1.6060278860799997,4732698.11544064,1444.4016128000003,1260.30053376,184.61433599999998
