arch,subarch,network,arch_dim,throughput,energy_efficiency,power_efficiency,flops,execution_time
systolic,mac,single_node,64x64,302.8937326858379,0.035895109485527384,214.09635334483454,1806609.4392382165,5964.499242749395
systolic,figna,single_node,64x64,302.8937326858379,0.0338987091279019,202.18882492355294,1806609.4392382165,5964.499242749395
simd,mac,single_node,64x64,305.9870124043139,0.03739029953320085,223.01441325194958,1825059.30377668,5964.499242749395
simd,figna,single_node,64x64,305.9870124043139,0.03524991135434201,210.24806957995622,1825059.30377668,5964.499242749395
tensor,,single_node,8x16x16,1137.5405724932518,0.12446380629179833,199.70689697335268,1825226.9851150159,1604.5379208888348
mugi,vlp,multi_node_4x4,64x8,639.4714842415625,0.1351860085454436,383.26083709075016,1812941.8789940749,2835.062897518088
mugi,vlp,multi_node_4x4,128x8,1276.5580281196183,0.3090319776550768,438.88096106724896,1812941.8789940749,1420.1797639113645
mugi,vlp,multi_node_4x4,256x8,2271.4076608491064,0.5715634845850809,456.197867175804,1812941.7961652498,798.1578240726401
carat,,multi_node_4x4,64x8,640.3882519718197,0.11489334091155813,327.43755077794935,1825059.30377668,2849.926272315489
carat,,multi_node_4x4,128x8,1277.9274575345307,0.24258918303997096,346.4512697466436,1825059.0762490397,1428.1398098841016
carat,,multi_node_4x4,256x8,2273.8852993831847,0.390259331829552,313.22870957912545,1825058.6211935005,802.6168345820104
systolic,mac,multi_node_4x4,8x8,602.2789050200286,0.09070662865254493,272.71334468345503,1810777.195230842,3006.5426169469224
systolic,mac,multi_node_4x4,16x16,1209.3653348076473,0.2132653002910899,318.901203316173,1808395.7399193347,1495.3262573934833
systolic,figna,multi_node_4x4,8x8,602.2789050200286,0.08693686071598657,261.3793767261922,1810777.195230842,3006.5426169469224
systolic,figna,multi_node_4x4,16x16,1209.3653348076473,0.20487828534159502,306.3598796410415,1808395.7399193347,1495.3262573934833
simd,mac,multi_node_4x4,8x8,607.0292479771956,0.09580283297559895,288.03530016538605,1825059.30377668,3006.5426169469224
simd,mac,multi_node_4x4,16x16,1220.5090994375753,0.2241472777003195,335.17330986855666,1825059.30377668,1495.3262573934833
simd,figna,multi_node_4x4,8x8,607.0292479771956,0.09163868060345286,275.5155985950683,1825059.30377668,3006.5426169469224
simd,figna,multi_node_4x4,16x16,1220.5090994375753,0.21498251704884505,321.46900262368024,1825059.30377668,1495.3262573934833
tensor,,multi_node_2x1,8x16x16,2275.081144986504,0.25165441725270077,201.89452772056995,1825226.9851150159,802.2689604444174
mugi,vlp,multi_node_8x8,64x8,2557.8859369662505,0.5414698515166217,383.77527153985073,1812941.8789940749,708.7657243795219
mugi,vlp,multi_node_8x8,128x8,5106.232112478474,1.2370558222700685,439.2104114041713,1812941.8789940749,355.04494097784107
mugi,vlp,multi_node_8x8,256x8,9085.630643396427,2.2871539013146434,456.3774452981363,1812941.7961652498,199.53945601816
carat,,multi_node_8x8,64x8,2561.5530078872794,0.46051235948115316,328.1065680028332,1825059.30377668,712.4815680788721
carat,,multi_node_8x8,128x8,5111.709830138124,0.9713409595566966,346.8026733284854,1825059.0762490397,357.03495247102535
carat,,multi_node_8x8,256x8,9095.54119753275,1.5618164799680554,313.38504983749465,1825058.6211935005,200.65420864550254
systolic,mac,multi_node_8x8,8x8,2409.1156200801147,0.3637785302065388,273.428913549068,1810777.195230842,751.6356542367305
systolic,mac,multi_node_8x8,16x16,4837.46133923059,0.854861230543535,319.574111114863,1808395.7399193347,373.83156434837105
systolic,figna,multi_node_8x8,8x8,2409.1156200801124,0.34862185542395396,262.0366163828064,1810777.195230842,751.6356542367305
systolic,figna,multi_node_8x8,16x16,4837.46133923059,0.8211743747050168,306.98090109877165,1808395.7399193347,373.83156434837105
simd,mac,multi_node_8x8,8x8,2428.116991908783,0.3842951274537873,288.84991954371503,1825059.30377668,751.6356542367305
simd,mac,multi_node_8x8,16x16,4882.0363977502975,0.8986003031440586,335.9251570482639,1825059.30377668,373.83156434837105
simd,figna,multi_node_8x8,8x8,2428.116991908783,0.3675461979633989,276.2608269684422,1825059.30377668,751.6356542367305
simd,figna,multi_node_8x8,16x16,4882.0363977502975,0.8617801449955389,322.1606197280483,1825059.30377668,373.83156434837105
tensor,,multi_node_2x2,8x16x16,4550.162289973,0.5060910355322277,203.01056448333958,1825226.9851150159,401.13448022220865
