arch,subarch,network,arch_dim,throughput,energy_efficiency,power_efficiency,flops,execution_time
systolic,mac,single_node,64x64,0.5029127372072998,0.3957275231011497,0.7850600548841544,0.9976983606798216,1.9838399127055157
systolic,figna,single_node,64x64,0.5029127372072998,0.3737181023203073,0.7413968874835898,0.9976983606798216,1.9838399127055157
simd,mac,single_node,64x64,0.5080486961337927,0.41221132444934944,0.8177612779118227,1.0078872809882153,1.9838399127055157
simd,figna,single_node,64x64,0.5080486961337927,0.38861450235757394,0.7709489604331472,1.0078872809882153,1.9838399127055157
tensor,,single_node,8x16x16,1.888727237517016,1.372157780977193,0.7322960202228362,1.0079798828493263,0.5336820811534705
mugi,vlp,multi_node_4x4,64x8,1.0617530830177377,1.490365263858263,1.4053615071004695,1.0011954445687377,0.9429644807087524
mugi,vlp,multi_node_4x4,128x8,2.1195463056723973,3.4069392970036967,1.609312377348709,1.0011954445687377,0.4723630910489224
mugi,vlp,multi_node_4x4,256x8,3.771355167708508,6.301231707932567,1.6728109425863404,1.0011953988265971,0.26547364390369155
carat,,multi_node_4x4,64x8,1.0632752477866112,1.2666476818542258,1.2006656702407212,1.0078872809882153,0.9479081574468171
carat,,multi_node_4x4,128x8,2.1218200519442627,2.6744372119618482,1.2703862003847959,1.0078871553362903,0.4750106656842756
carat,,multi_node_4x4,256x8,3.775468940436437,4.302434536779607,1.1485639250352695,1.0078869040322975,0.26695674628322746
systolic,mac,multi_node_4x4,8x8,1.0,1.0,1.0,1.0,1.0
systolic,mac,multi_node_4x4,16x16,2.007982223397697,2.351154523756036,1.1693641309937706,0.998684843547964,0.49735741278530554
systolic,figna,multi_node_4x4,8x8,1.0,0.9584399950416127,0.9584399950416126,1.0,1.0
systolic,figna,multi_node_4x4,16x16,2.007982223397697,2.2586914361726396,1.123376928975151,0.998684843547964,0.49735741278530554
simd,mac,multi_node_4x4,8x8,1.0078872809882145,1.0561833726901615,1.0561833726901615,1.0078872809882153,1.0
simd,mac,multi_node_4x4,16x16,2.0264848880884974,2.471123456246223,1.2290315688717046,1.0078872809882153,0.49735741278530554
simd,figna,multi_node_4x4,8x8,1.0078872809882145,1.0102754557715752,1.0102754557715754,1.0078872809882153,1.0
simd,figna,multi_node_4x4,16x16,2.0264848880884974,2.370086070251199,1.178779875978629,1.0078872809882153,0.49735741278530554
tensor,,multi_node_2x1,8x16x16,3.7774544750340326,2.774377363496468,0.740317742627937,1.0079798828493263,0.26684104057673524
mugi,vlp,multi_node_8x8,64x8,4.247012332070951,5.9694628668290814,1.407247863082417,1.0011954445687377,0.23574112017718804
mugi,vlp,multi_node_8x8,128x8,8.478185222689591,13.637986998818533,1.6105204236117356,1.0011954445687377,0.11809077276223058
mugi,vlp,multi_node_8x8,256x8,15.085420670834035,25.214848520891127,1.6734694293301438,1.0011953988265971,0.06636841097592287
carat,,multi_node_8x8,64x8,4.253100991146446,5.0769427364031205,1.203118858681721,1.0078872809882153,0.23697703936170425
carat,,multi_node_8x8,128x8,8.487280207777053,10.708599514567494,1.2716747459902544,1.0078871553362903,0.11875266642106888
carat,,multi_node_8x8,256x8,15.101875761745767,17.21832795650085,1.1491372019262507,1.0078869040322975,0.06673918657080685
systolic,mac,multi_node_8x8,8x8,4.000000000000001,4.010495546031215,1.0026238865078039,1.0,0.24999999999999997
systolic,mac,multi_node_8x8,16x16,8.03192889359079,9.424462613621241,1.1718315856006254,0.998684843547964,0.12433935319632647
systolic,figna,multi_node_8x8,8x8,3.999999999999997,3.8433999874404194,0.9608499968601046,1.0,0.24999999999999997
systolic,figna,multi_node_8x8,16x16,8.03192889359079,9.05308009903615,1.1256541239486897,0.998684843547964,0.12433935319632647
simd,mac,multi_node_8x8,8x8,4.031549123952859,4.23668185183956,1.0591704629598897,1.0078872809882153,0.24999999999999997
simd,mac,multi_node_8x8,16x16,8.105939552353984,9.906666320784339,1.2317884826581564,1.0078872809882153,0.12433935319632647
simd,figna,multi_node_8x8,8x8,4.031549123952859,4.05203239744802,1.0130080993620052,1.0078872809882153,0.24999999999999997
simd,figna,multi_node_8x8,16x16,8.105939552353984,9.50074055002771,1.1813159348765565,1.0078872809882153,0.12433935319632647
tensor,,multi_node_2x2,8x16x16,7.554908950068052,5.579427248595336,0.7444100864186857,1.0079798828493263,0.1334205202883676
