carbon,layer,arch,subarch,arch_dim,model,normalized_carbon
5.371365105598987e-06,projection,mugi,vlp,128x8,llama_2_7b,0.19245416927947084
9.662861538297614e-06,attention,mugi,vlp,128x8,llama_2_7b,0.3462170144191376
1.0826587587691706e-05,ffn,mugi,vlp,128x8,llama_2_7b,0.3879129195944469
2.79031637937613e-07,nonlinear,mugi,vlp,128x8,llama_2_7b,0.009997607875509509
4.426985793309138e-06,onchip_em,mugi,vlp,128x8,llama_2_7b,0.1586173824555759
1.023172573978931e-05,projection,mugi,vlp,128x8,llama_2_13b,0.2105528543333951
1.5019853632475126e-05,attention,mugi,vlp,128x8,llama_2_13b,0.30908501013559925
2.071915621924901e-05,ffn,mugi,vlp,128x8,llama_2_13b,0.42636771081319325
4.409860061606113e-07,nonlinear,mugi,vlp,128x8,llama_2_13b,0.009074799762968709
7.968996721232795e-06,onchip_em,mugi,vlp,128x8,llama_2_13b,0.1639894430813372
4.973247119029841e-05,projection,mugi,vlp,128x8,llama_2_70b,0.2183386451836905
4.756197948945001e-05,attention,mugi,vlp,128x8,llama_2_70b,0.20880961503491055
0.0001305475288666205,ffn,mugi,vlp,128x8,llama_2_70b,0.573138030397673
1.442589805245482e-06,nonlinear,mugi,vlp,128x8,llama_2_70b,0.0063333491397979435
4.0755513100248526e-05,onchip_em,mugi,vlp,128x8,llama_2_70b,0.17892743515649576
2.7974515044965058e-05,projection,mugi,vlp,128x8,llama_2_70b_GQA,0.18354045536730895
6.2172178945521895e-06,attention,mugi,vlp,128x8,llama_2_70b_GQA,0.040791091522041294
0.0001305475288666205,ffn,mugi,vlp,128x8,llama_2_70b_GQA,0.8565207602971109
1.442589805245482e-06,nonlinear,mugi,vlp,128x8,llama_2_70b_GQA,0.009464814290342741
2.9216442340137995e-05,onchip_em,mugi,vlp,128x8,llama_2_70b_GQA,0.19168872535242734
5.9239465110862695e-06,projection,mugi,lut,128x8,llama_2_7b,0.21225297149484887
1.0767590569548068e-05,attention,mugi,lut,128x8,llama_2_7b,0.38579907667117136
1.1940384483127012e-05,ffn,mugi,lut,128x8,llama_2_7b,0.42781988030981827
2.912547265343906e-07,nonlinear,mugi,lut,128x8,llama_2_7b,0.010435556947239922
