carbon,layer,arch,subarch,arch_dim,model
5.371365105598987e-06,projection,mugi,vlp,128x8,llama_2_7b
9.662861538297614e-06,attention,mugi,vlp,128x8,llama_2_7b
1.0826587587691706e-05,ffn,mugi,vlp,128x8,llama_2_7b
2.79031637937613e-07,nonlinear,mugi,vlp,128x8,llama_2_7b
4.426985793309138e-06,onchip_em,mugi,vlp,128x8,llama_2_7b
1.023172573978931e-05,projection,mugi,vlp,128x8,llama_2_13b
1.5019853632475126e-05,attention,mugi,vlp,128x8,llama_2_13b
2.071915621924901e-05,ffn,mugi,vlp,128x8,llama_2_13b
4.409860061606113e-07,nonlinear,mugi,vlp,128x8,llama_2_13b
7.968996721232795e-06,onchip_em,mugi,vlp,128x8,llama_2_13b
4.973247119029841e-05,projection,mugi,vlp,128x8,llama_2_70b
4.756197948945001e-05,attention,mugi,vlp,128x8,llama_2_70b
0.0001305475288666205,ffn,mugi,vlp,128x8,llama_2_70b
1.442589805245482e-06,nonlinear,mugi,vlp,128x8,llama_2_70b
4.0755513100248526e-05,onchip_em,mugi,vlp,128x8,llama_2_70b
2.7974515044965058e-05,projection,mugi,vlp,128x8,llama_2_70b_GQA
6.2172178945521895e-06,attention,mugi,vlp,128x8,llama_2_70b_GQA
0.0001305475288666205,ffn,mugi,vlp,128x8,llama_2_70b_GQA
1.442589805245482e-06,nonlinear,mugi,vlp,128x8,llama_2_70b_GQA
2.9216442340137995e-05,onchip_em,mugi,vlp,128x8,llama_2_70b_GQA
5.9239465110862695e-06,projection,mugi,lut,128x8,llama_2_7b
1.0767590569548068e-05,attention,mugi,lut,128x8,llama_2_7b
1.1940384483127012e-05,ffn,mugi,lut,128x8,llama_2_7b
2.912547265343906e-07,nonlinear,mugi,lut,128x8,llama_2_7b
4.990923084304868e-06,onchip_em,mugi,lut,128x8,llama_2_7b
1.1310986297381657e-05,projection,mugi,lut,128x8,llama_2_13b
1.6745992743803965e-05,attention,mugi,lut,128x8,llama_2_13b
2.2904658848373515e-05,ffn,mugi,lut,128x8,llama_2_13b
4.6009737681067534e-07,nonlinear,mugi,lut,128x8,llama_2_13b
8.984137639398387e-06,onchip_em,mugi,lut,128x8,llama_2_13b
5.525828524517123e-05,projection,mugi,lut,128x8,llama_2_70b
5.3085624645702294e-05,attention,mugi,lut,128x8,llama_2_70b
0.00014505279076066168,ffn,mugi,lut,128x8,llama_2_70b
1.5063967955032062e-06,nonlinear,mugi,lut,128x8,llama_2_70b
4.5947206664215234e-05,onchip_em,mugi,lut,128x8,llama_2_70b
3.108278545083102e-05,projection,mugi,lut,128x8,llama_2_70b_GQA
6.908109394308906e-06,attention,mugi,lut,128x8,llama_2_70b_GQA
