design,model,network,subarch,arch_dim,max_seq_len,batch_size,kv_heads,run_path,checkpoint_mtime,runtime|llama_2|llama_2,runtime|llama_2|projection,runtime|llama_2|attention,runtime|llama_2|ffn,runtime|llama_2|nonlinear,runtime|gemm|gemm,runtime|nonlinear|nonlinear,runtime|projection|projection,runtime|attention|attention,runtime|ffn|ffn,runtime|softmax|softmax,runtime|silu|silu,cycle_count|llama_2|llama_2,cycle_count|gemm|gemm,cycle_count|nonlinear|nonlinear,cycle_count|projection|projection,cycle_count|attention|attention,cycle_count|ffn|ffn,cycle_count|softmax|softmax,cycle_count|silu|silu,tag_dynamic_energy|llama_2|accumulator,tag_leakage_power|None|accumulator,tag_area|llama_2|accumulator,tag_dynamic_energy|llama_2|fifo,tag_leakage_power|None|fifo,tag_area|llama_2|fifo,tag_dynamic_energy|llama_2|pe,tag_leakage_power|None|pe,tag_area|llama_2|pe,tag_dynamic_energy|llama_2|nonlinear,tag_leakage_power|None|nonlinear,tag_area|llama_2|nonlinear,tag_dynamic_energy|llama_2|vector,tag_leakage_power|None|vector,tag_area|llama_2|vector,tag_dynamic_energy|llama_2|tc,tag_leakage_power|None|tc,tag_area|llama_2|tc,tag_dynamic_energy|llama_2|value_reuse,tag_leakage_power|None|value_reuse,tag_area|llama_2|value_reuse,tag_dynamic_energy|llama_2|array,tag_leakage_power|None|array,tag_area|llama_2|array,tag_dynamic_energy|llama_2|node_memory,tag_leakage_power|None|node_memory,tag_area|llama_2|node_memory,tag_dynamic_energy|llama_2|router,tag_leakage_power|None|router,tag_area|llama_2|router,tag_dynamic_energy|llama_2|onchip,tag_leakage_power|llama_2|onchip,tag_dynamic_energy|None|onchip,tag_leakage_power|None|onchip,tag_dynamic_energy|gemm|onchip,tag_leakage_power|gemm|onchip,tag_dynamic_energy|nonlinear|onchip,tag_leakage_power|nonlinear|onchip,tag_dynamic_energy|projection|onchip,tag_leakage_power|projection|onchip,tag_dynamic_energy|attention|onchip,tag_leakage_power|attention|onchip,tag_dynamic_energy|ffn|onchip,tag_leakage_power|ffn|onchip,tag_dynamic_energy|softmax|onchip,tag_leakage_power|softmax|onchip,tag_dynamic_energy|silu|onchip,tag_leakage_power|silu|onchip,tag_area|llama_2|onchip,tag_area|None|onchip,area_module|llama_2|pe_fifo,count|gemm|multiplier,count|gemm|and_gate,count|gemm|register_vector,count|gemm|accumulator_vector,count|gemm|magnitude_register,count|gemm|adder_vector,count|nonlinear|multiplier,count|nonlinear|and_gate,count|nonlinear|register_vector,count|nonlinear|accumulator_vector,count|nonlinear|magnitude_register,count|nonlinear|adder_vector,count|projection|multiplier,count|projection|and_gate,count|projection|register_vector,count|projection|accumulator_vector,count|projection|magnitude_register,count|projection|adder_vector,count|attention|multiplier,count|attention|and_gate,count|attention|register_vector,count|attention|accumulator_vector,count|attention|magnitude_register,count|attention|adder_vector,count|ffn|multiplier,count|ffn|and_gate,count|ffn|register_vector,count|ffn|accumulator_vector,count|ffn|magnitude_register,count|ffn|adder_vector,count|softmax|multiplier,count|softmax|and_gate,count|softmax|register_vector,count|softmax|accumulator_vector,count|softmax|magnitude_register,count|softmax|adder_vector,count|silu|multiplier,count|silu|and_gate,count|silu|register_vector,count|silu|accumulator_vector,count|silu|magnitude_register,count|silu|adder_vector
carat,llama_2_13b,multi_node_4x4,,256x8,4096,8,40,/home/da109073/research/archx/zoo/llm/designs/carat/description/runs/llama_2_13b/arch_0/event_0/config_0,1787938741585914085,468410.98160000017,85196.800000000003,205413.88800000015,172523.52000000002,5224.7736000000014,463186.20800000016,5224.7736000000014,2129.9200000000001,5135.3472000000038,4313.0880000000006,117.98334000000006,12.635999999999999,187364392640.00006,185274483200.00006,2089909440.0000012,851968000,2054138880.0000014,1725235200,47193336.00000003,5054400,940769538479.02869,80.481065279999996,3.37917888,1278322579843.4636,367.73507199999995,19.454925056,17157521533.803562,44.147671040000006,2.1158789119999999,,,,11000012358.644196,151.29849856000001,6.7583918079999998,6626503202.0657778,6.0545433599999994,0.34211430399999998,3772771673.2428017,3.9577897599999998,0.19654208000000001,2255786911779.3726,651.3127955199999,32.148938751999999,183308632381.39392,539.53478399999995,29.266150380639999,246408627.64278269,0,0.50737872000000006,2439341952788.4092,1190.8475795199997,,1190.8475795199997,2428331708263.707,1190.8475795199997,11010244524.702417,1190.8475795199997,18323403448.176079,1190.8475795199997,5270150756.8647251,1190.8475795199997,37103802053.368134,1190.8475795199997,237980235.81833759,1190.8475795199997,37275877.299222879,1190.8475795199997,61.92246785263999,61.92246785263999,10.636050431999999,,449835276697600,1877912985600,0,,,,0,5535782010880,125813227520,,,,3489660928000,13631488000,0,,,,687527690240,5704253440,0,,,,7066563379200,27603763200,0,,,,0,118151790592,2685267968,,,,0,20242759680,460062720,,
carat,llama_2_13b,multi_node_8x8,,32x8,4096,8,40,/home/da109073/research/archx/zoo/llm/designs/carat/description/runs/llama_2_13b/arch_1/event_0/config_0,1787938741536913633,791907.36950000015,170393.60000000001,269450.75200000009,345047.04000000004,6911.9775,784995.39200000011,6911.9775,4259.8400000000001,6736.2688000000026,8626.1760000000013,147.52743749999999,25.271999999999998,316762947800,313998156800,2764791000,1703936000,2694507520.000001,3450470400,59010975,10108800,942544587671.96863,48.776403199999997,2.0479872000000001,696729992706.74463,118.51344831999999,6.2756422399999989,17157521533.803562,22.073835520000003,1.0579394559999999,,,,10908972233.564331,75.649249280000006,3.3791959039999999,6626503202.0657778,3.0272716799999997,0.17105715199999999,5229328076.6907244,10.710974719999999,0.47020287999999999,1675589144939.2668,269.30380479999991,13.009655680000003,239590875232.95935,1748.0440319999998,98.294037672960002,746886931.43625116,0,2.0295148800000002,1915926907103.6626,2017.3478368000001,,2017.3478368000001,1904790297804.0598,2017.3478368000001,11136609299.603008,2017.3478368000001,14359043742.119923,2017.3478368000001,4175635089.0337944,2017.3478368000001,29076565744.128418,2017.3478368000001,240818045.83878717,2017.3478368000001,37597186.65128804,2017.3478368000001,113.33320823296,113.33320823296,5.3180252159999997,,449835276697600,1814306816000,0,,,,0,5536463257600,125828710400,,,,3489660928000,13631488000,0,,,,687527690240,4114099200,0,,,,7066563379200,27603763200,0,,,,0,118168821760,2685655040,,,,0,20242759680,460062720,,
carat,llama_2_13b,single_node,,64x8,4096,8,40,/home/da109073/research/archx/zoo/llm/designs/carat/description/runs/llama_2_13b/arch_10/event_1/config_0,1787938743973936115,25374065.968000017,5452595.2000000002,8655454.2080000155,11041505.280000001,221183.28,25152882.688000016,221183.28,136314.88,216386.35520000037,276037.63200000004,4720.8779999999997,808.70399999999995,10149626387200.006,10061153075200.006,88473312000,54525952000,86554542080.000137,110415052800,1888351200,323481600,1056290090378.6566,1.3718363399999998,0.057599640000000001,784709706449.90088,3.9870284200000001,0.211013012,17157521533.803562,0.68980736000000009,0.033060607999999998,,,,10909394623.34379,2.3640390400000002,0.105599872,6626503202.0657778,0.09460223999999999,0.0053455359999999997,122122304215.13435,0.17563514,0.0078576399999999991,1882340064484.917,8.5353332599999998,0.41434554000000001,211770588526.52734,27.313187999999997,1.53584433864,,,,2094110653011.4443,35.848521259999998,,35.848521259999998,2082974080251.125,35.848521259999998,11136572760.319559,35.848521259999998,15727569807.556604,35.848521259999998,4490249761.6808767,35.848521259999998,31847182368.029488,35.848521259999998,240817359.29862475,35.848521259999998,37596959.709364228,35.848521259999998,1.9501898786400003,1.9501898786400003,0.16618828799999999,,449835276697600,1814598656000,0,,,,0,5536463257600,125828710400,,,,3489660928000,13631488000,0,,,,687527690240,4121395200,0,,,,7066563379200,27603763200,0,,,,0,118168821760,2685655040,,,,0,20242759680,460062720,,
carat,llama_2_13b,single_node,,64x8,2048,8,40,/home/da109073/research/archx/zoo/llm/designs/carat/description/runs/llama_2_13b/arch_10/event_1/config_1,1787938742937926558,18755955.504000001,5452595.2000000002,2178924.5440000007,11041505.280000001,79602.479999999996,18676353.024,79602.479999999996,136314.88,54473.113600000012,276037.63200000004,1181.3579999999999,808.70399999999995,7502382201600,7470541209600,31840992000,54525952000,21789245440,110415052800,472543200,323481600,1007847602163.1903,1.3718363399999998,0.057599640000000001,745820027371.65393,3.9870284200000001,0.211013012,16371068447.569345,0.68980736000000009,0.033060607999999998,,,,5429774702.2603569,2.3640390400000002,0.105599872,4924569302.3290977,0.09460223999999999,0.0053455359999999997,116196108325.03438,0.17563514,0.0078576399999999991,1786431441233.3125,8.5353332599999998,0.41434554000000001,165809250457.69922,27.313187999999997,1.53584433864,,,,1952240691691.0117,35.848521259999998,,35.848521259999998,1948326316662.425,35.848521259999998,3914375028.5868745,35.848521259999998,15727569807.556604,35.848521259999998,1124055671.9633622,35.848521259999998,31847182368.029488,35.848521259999998,60262416.005307645,35.848521259999998,37596959.709364228,35.848521259999998,1.9501898786400003,1.9501898786400003,0.16618828799999999,,429216078233600,1691905433600,0,,,,0,1992538521600,45284966400,,,,3489660928000,13631488000,0,,,,172047728640,1054064640,0,,,,7066563379200,27603763200,0,,,,0,29570703360,672061440,,,,0,20242759680,460062720,,
carat,llama_2_13b,single_node,,64x8,2048,4,40,/home/da109073/research/archx/zoo/llm/designs/carat/description/runs/llama_2_13b/arch_10/event_1/config_10,1787938743164928652,17502889.433600001,5410652.1600000001,1089462.2720000003,10956570.624,44514.777600000016,17458374.655999999,44514.777600000016,135266.304,27236.556800000006,273914.26559999998,708.51744000000031,404.35199999999998,7001155773440,6983349862400,17805911040.000004,54106521600,10894622720,109565706240,283406976.00000012,161740800,503923801081.59515,1.3718363399999998,0.057599640000000001,377387926857.50305,3.9870284200000001,0.211013012,8185534223.7846727,0.68980736000000009,0.033060607999999998,,,,2714802342.450757,2.3640390400000002,0.105599872,4607088177.7197056,0.09460223999999999,0.0053455359999999997,58559710579.718544,0.17563514,0.0078576399999999991,900300008723.40955,8.5353332599999998,0.41434554000000001,134527242091.68222,27.313187999999997,1.53584433864,,,,1034827250815.0918,35.848521259999998,,35.848521259999998,1032870146886.691,35.848521259999998,1957103928.4006419,35.848521259999998,8348965109.5361938,35.848521259999998,562027800.41201544,35.848521259999998,16906081100.674477,35.848521259999998,30129118.355333932,35.848521259999998,18798479.854682114,35.848521259999998,1.9501898786400003,1.9501898786400003,0.16618828799999999,,214608039116800,845951733760,0,,,,0,996213391360,22641213440,,,,1744830464000,6815744000,0,,,,86023864320,527007744,0,,,,3533281689600,13801881600,0,,,,0,14783954944,335998976,,,,0,10121379840,230031360,,
carat,llama_2_13b,single_node,,64x8,4096,4,40,/home/da109073/research/archx/zoo/llm/designs/carat/description/runs/llama_2_13b/arch_10/event_1/config_11,1787938743999936355,20826099.980800007,5410652.1600000001,4327727.1040000077,10956570.624,129460.49280000039,20696639.488000005,129460.49280000039,135266.304,108193.17760000018,273914.26559999998,2832.1603200000095,404.35199999999998,8330439992320.0029,8278655795200.0029,51784197120.000153,54106521600,43277271040.000069,109565706240,1132864128.0000038,161740800,528145045189.32831,1.3718363399999998,0.057599640000000001,396832766396.62646,3.9870284200000001,0.211013012,8578760766.9017811,0.68980736000000009,0.033060607999999998,,,,5454524597.9939299,2.3640390400000002,0.105599872,5458055127.5880451,0.09460223999999999,0.0053455359999999997,61522808524.768539,0.17563514,0.0078576399999999991,948254232644.21338,8.5353332599999998,0.41434554000000001,157507911126.09631,27.313187999999997,1.53584433864,,,,1105762143770.3096,35.848521259999998,,35.848521259999998,1100194027258.2544,35.848521259999998,5568116512.0550661,35.848521259999998,8348965109.5361938,35.848521259999998,2245124809.701107,35.848521259999998,16906081100.674477,35.848521259999998,120404432.94669454,35.848521259999998,18798479.854682114,35.848521259999998,1.9501898786400003,1.9501898786400003,0.16618828799999999,,224917638348800,907297361920,0,,,,0,2768118087680,62911774720,,,,1744830464000,6815744000,0,,,,343763845120,2060648448,0,,,,3533281689600,13801881600,0,,,,0,59081572352,1342763008,,,,0,10121379840,230031360,,
carat,llama_2_13b,single_node,,64x8,4096,1,40,/home/da109073/research/archx/zoo/llm/designs/carat/description/runs/llama_2_13b/arch_10/event_1/config_12,1787938744447940488,17396248.019200005,5379194.8799999999,1081931.7760000019,10892869.632000001,41790.931200000043,17354457.088000003,41790.931200000043,134479.872,27048.294400000046,272321.74080000003,943.68528000000117,101.08799999999999,6958499207680.001,6941782835200.001,16716372480.000019,53791948800,10819317760.000017,108928696320,377474112.00000048,40435200,132036261297.33208,1.3718363399999998,0.057599640000000001,105925061356.67065,3.9870284200000001,0.211013012,2144690191.7254453,0.68980736000000009,0.033060607999999998,,,,1363372078.9815361,2.3640390400000002,0.105599872,4581719071.7297468,0.09460223999999999,0.0053455359999999997,16073186756.994171,0.17563514,0.0078576399999999991,247689858763.68524,8.5353332599999998,0.41434554000000001,116820514553.6252,27.313187999999997,1.53584433864,,,,364510373317.31042,35.848521259999998,,35.848521259999998,363118598991.4538,35.848521259999998,1391774325.8566968,35.848521259999998,2815090007.0538445,35.848521259999998,561281095.71627975,35.848521259999998,5700413952.7499552,35.848521259999998,30094738.182746891,35.848521259999998,4699619.9636705285,35.848521259999998,1.9501898786400003,1.9501898786400003,0.16618828799999999,,56229409587200,226821391360,0,,,,0,691859210240,15724072960,,,,436207616000,1703936000,0,,,,85940961280,515088384,0,,,,883320422400,3450470400,0,,,,0,14766135296,335593984,,,,0,2530344960,57507840,,
carat,llama_2_13b,single_node,,64x8,4096,2,40,/home/da109073/research/archx/zoo/llm/designs/carat/description/runs/llama_2_13b/arch_10/event_1/config_13,1787938744634942213,18552114.265600003,5389680.6400000006,2163863.5520000039,10914103.296,83596.377600000051,18468517.888000004,83596.377600000051,134742.016,54096.588800000092,272852.58240000001,1887.7334400000016,202.17599999999999,7420845706240.001,7387407155200.001,33438551040.000031,53896806400,21638635520.000034,109141032960,755093376.00000072,80870400,264072522594.66415,1.3718363399999998,0.057599640000000001,202894296369.98923,3.9870284200000001,0.211013012,4289380383.4508905,0.68980736000000009,0.033060607999999998,,,,2727089585.3190002,2.3640390400000002,0.105599872,4873831090.3491783,0.09460223999999999,0.0053455359999999997,31223060679.585629,0.17563514,0.0078576399999999991,481211316723.86139,8.5353332599999998,0.41434554000000001,130382980077.78224,27.313187999999997,1.53584433864,,,,611594296801.64368,35.848521259999998,,35.848521259999998,608810408413.72083,35.848521259999998,2783888387.9228196,35.848521259999998,4659715041.2146273,35.848521259999998,1122562333.7112222,35.848521259999998,9435636335.3914604,35.848521259999998,60197969.770729437,35.848521259999998,9399239.927341057,35.848521259999998,1.9501898786400003,1.9501898786400003,0.16618828799999999,,112458819174400,453646714880,0,,,,0,1383945502720,31453306880,,,,872415232000,3407872000,0,,,,171881922560,1030275072,0,,,,1766640844800,6900940800,0,,,,0,29537947648,671316992,,,,0,5060689920,115015680,,
carat,llama_2_13b,single_node,,64x8,2048,2,40,/home/da109073/research/archx/zoo/llm/designs/carat/description/runs/llama_2_13b/arch_10/event_1/config_14,1787938743447931263,16876355.059200004,5389680.6400000006,544731.13600000017,10914103.296,26969.587199999987,16849385.472000003,26969.587199999987,134742.016,13618.278400000003,272852.58240000001,472.06367999999964,202.17599999999999,6750542023680,6739754188800,10787834879.999994,53896806400,5447311360,109141032960,188825471.99999985,80870400,251961900540.79758,1.3718363399999998,0.057599640000000001,193171876600.42752,3.9870284200000001,0.211013012,4092767111.8923364,0.68980736000000009,0.033060607999999998,,,,1357316162.5459578,2.3640390400000002,0.105599872,4448347615.4150095,0.09460223999999999,0.0053455359999999997,29741511707.060631,0.17563514,0.0078576399999999991,457234292468.45782,8.5353332599999998,0.41434554000000001,118892645560.5752,27.313187999999997,1.53584433864,,,,576126938029.03308,35.848521259999998,,35.848521259999998,575148469650.72559,35.848521259999998,978468378.30752552,35.848521259999998,4659715041.2146273,35.848521259999998,281013864.63634205,35.848521259999998,9435636335.3914604,35.848521259999998,15062469.530347083,35.848521259999998,9399239.927341057,35.848521259999998,1.9501898786400003,1.9501898786400003,0.16618828799999999,,107304019558400,422974883840,0,,,,0,498050826240,11319336960,,,,872415232000,3407872000,0,,,,43011932160,263479296,0,,,,1766640844800,6900940800,0,,,,0,7390580736,167967744,,,,0,5060689920,115015680,,
carat,llama_2_13b,single_node,,64x8,2048,1,40,/home/da109073/research/archx/zoo/llm/designs/carat/description/runs/llama_2_13b/arch_10/event_1/config_15,1787938743397930801,16558372.102400003,5379194.8799999999,272365.56800000009,10892869.632000001,13481.222400000006,16544890.880000003,13481.222400000006,134479.872,6809.1392000000014,272321.74080000003,235.94256000000016,101.08799999999999,6623348840960,6617956352000,5392488960.0000019,53791948800,2723655680,108928696320,94377024.00000006,40435200,125980950270.39879,1.3718363399999998,0.057599640000000001,101063851471.8898,3.9870284200000001,0.211013012,2046383555.9461682,0.68980736000000009,0.033060607999999998,,,,678573072.59355795,2.3640390400000002,0.105599872,4368977334.262661,0.09460223999999999,0.0053455359999999997,15332412270.731672,0.17563514,0.0078576399999999991,235701434340.98206,8.5353332599999998,0.41434554000000001,111075347295.02168,27.313187999999997,1.53584433864,,,,346776781636.00372,35.848521259999998,,35.848521259999998,346287631032.74274,35.848521259999998,489150603.26096743,35.848521259999998,2815090007.0538445,35.848521259999998,140506896.74850541,35.848521259999998,5700413952.7499552,35.848521259999998,7529145.1178536573,35.848521259999998,4699619.9636705285,35.848521259999998,1.9501898786400003,1.9501898786400003,0.16618828799999999,,53652009779200,211486458880,0,,,,0,248969543680,5658398720,,,,436207616000,1703936000,0,,,,21505966080,131715072,0,,,,883320422400,3450470400,0,,,,0,3693893632,83952128,,,,0,2530344960,57507840,,
